id , BZCAT5 Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
145 , 5BZGJ0056-0936 , 14.08358 , -9.6085 , 0.103 ,  , 15.2 , 7309 , 199 ,  , 4.2 , 
146 , 5BZBJ0056-2117 , 14.13446 , -21.28553 ,  ,  , 16.7 , 7300 , 90 ,  , 0.46 , 5e-10
147 , 5BZBJ0056+1625 , 14.23025 , 16.42042 , 0.206 ,  , 20.9 , 7390 , 125 ,  ,  , 
148 , 5BZQJ0057-0024 , 14.32075 , -0.40906 , 2.747 ,  , 19.1 , 7211 , 134 ,  ,  , 
149 , 5BZBJ0057-2212 , 14.33021 , -22.21031 ,  ,  , 20.6 , 7300 , 98 ,  , 0.06 , 
150 , 5BZBJ0058-3234 , 14.50925 , -32.57239 ,  ,  , 18.8 , 7300 , 186 ,  , 0.09 , 9e-10
151 , 5BZQJ0058-0539 , 14.52113 , -5.66453 , 1.246 ,  , 18.6 , 7211 , 742 ,  ,  , 
152 , 5BZBJ0058+1723 , 14.56992 , 17.38708 ,  ,  , 19.1 , 7300 , 9 ,  , 3.88 , 
153 , 5BZUJ0058+3311 , 14.63358 , 33.18817 , 1.369 ,  , 20.9 , 7900 , 161 ,  ,  , 8e-10
154 , 5BZQJ0058+0620 , 14.64083 , 6.33511 , 0.592 ,  , 20.9 , 7211 , 90 ,  , 0.31 , 
155 , 5BZUJ0058-5659 , 14.69408 , -56.98653 ,  ,  , 17.4 , 7900 , 485 , 663 , 1.38 , 6e-10
156 , 5BZBJ0058-5219 , 14.73271 , -52.32447 ,  ,  , 20.2 , 7300 , 86 ,  ,  , 
157 , 5BZQJ0059+0006 , 14.77296 , 0.11436 , 0.719 ,  , 17.5 , 7211 , 2510 ,  , 0.47 , 
158 , 5BZGJ0059-0150 , 14.8205 , -1.83825 , 0.114 ,  , 17.1 , 7309 , 18 ,  , 1.01 , 2e-10
159 , 5BZQJ0100-3337 , 15.03871 , -33.62561 , 0.874 ,  , 19.4 , 7211 , 70 ,  , 0.07 , 
160 , 5BZUJ0100+0745 , 15.08667 , 7.76428 ,  ,  , 21.3 , 7900 , 99 ,  ,  , 2e-9
161 , 5BZQJ0100+3345 , 15.15954 , 33.75172 , 2.144 ,  , 19.7 , 7211 , 84 ,  ,  , 
162 , 5BZBJ0100-0055 , 15.24242 , -0.92983 ,  ,  , 18.7 , 7300 , 33 ,  ,  , 
163 , 5BZQJ0102-8012 , 15.56175 , -80.21094 , 1.169 ,  , 19.8 , 7211 , 113 ,  , 0.17 , 
164 , 5BZQJ0102-7546 , 15.5775 , -75.78083 , 1.017 ,  , 17.8 , 7211 , 184 ,  , 0.28 , 
165 , 5BZQJ0102+4214 , 15.613 , 42.23869 , 0.874 ,  , 18.7 , 7211 , 43 ,  ,  , 8e-10
166 , 5BZUJ0102+5824 , 15.69067 , 58.40308 , 0.644 ,  ?  , 19 , 7900 , 849 , 1376 , 0.79 , 2.8e-9
167 , 5BZQJ0102-2646 , 15.73475 , -26.77669 , 1.597 ,  , 17.5 , 7211 , 291 ,  , 0.51 , 
168 , 5BZGJ0103+1526 , 15.85838 , 15.44022 , 0.246 ,  , 17.2 , 7309 , 225 ,  ,  , 
169 , 5BZGJ0103+4322 , 15.87021 , 43.38331 ,  ,  , 19.2 , 7309 , 40 ,  ,  , 
170 , 5BZUJ0103-6439 , 15.8905 , -64.65211 , 0.163 ,  , 14.9 , 7900 , 153 ,  , 1.92 , 
171 , 5BZQJ0104-2416 , 16.2425 , -24.27456 , 1.747 ,  , 19.9 , 7211 , 235 , 617 ,  , 8e-10
172 , 5BZBJ0105+3928 , 16.28875 , 39.47092 , 0.44 ,  ?  , 18.2 , 7300 , 91 ,  ,  , 6e-10
173 , 5BZUJ0106+3402 , 16.50121 , 34.03417 , 0.579 ,  , 24.1 , 7900 , 348 ,  ,  , 
