id , BZCAT5 Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
1988 , 5BZBJ1248+5128 , 192.14292 , 51.46886 , 0.351 ,  , 17.6 , 7300 , 115 ,  , 0.32 , 
1989 , 5BZBJ1249+3707 , 192.44475 , 37.12992 ,  ,  , 18.8 , 7300 , 6 ,  , 0.26 , 7e-10
1990 , 5BZBJ1250+3155 , 192.56479 , 31.93317 ,  ,  , 18.9 , 7300 , 6 ,  , 1.17 , 
1991 , 5BZBJ1250+0216 , 192.63571 , 2.27558 , 0.959 ,  ?  , 19.7 , 7300 , 341 ,  ,  , 
1992 , 5BZQJ1251-1717 , 192.81033 , -17.287 , 0.606 ,  , 18.6 , 7211 , 163 ,  , 0.38 , 
1993 , 5BZBJ1251+1039 , 192.82454 , 10.65147 , 0.245 ,  , 18.2 , 7300 , 5 ,  , 0.89 , 4e-10
1994 , 5BZBJ1251-2958 , 192.89537 , -29.97858 , 0.382 ,  , 17.7 , 7300 , 11 ,  , 1.8 , 
1995 , 5BZQJ1251-3518 , 192.91346 , -35.311 , 0.41 ,  , 20 , 7211 , 252 ,  ,  , 
1996 , 5BZQJ1252+6451 , 193.09913 , 64.86056 , 0.312 ,  , 17.9 , 7211 , 43 ,  , 1.01 , 
1997 , 5BZBJ1252+0849 , 193.14408 , 8.82889 , 0.37 ,  ?  , 19 , 7300 , 47 ,  ,  , 
1998 , 5BZBJ1252+2937 , 193.14442 , 29.62572 , 0.528 ,  , 19 , 7300 , 10 ,  ,  , 
1999 , 5BZQJ1252-3319 , 193.24333 , -33.33322 , 0.856 ,  , 18 , 7211 , 283 ,  ,  , 
2000 , 5BZBJ1253+3826 , 193.25379 , 38.44056 , 0.371 ,  , 18.9 , 7300 , 5 ,  , 3.66 , 
2001 , 5BZBJ1253+5301 , 193.29967 , 53.01992 ,  ,  , 17.5 , 7300 , 488 ,  , 0.27 , 4e-10
2002 , 5BZGJ1253-3931 , 193.42188 , -39.53322 , 0.179 ,  , 16.1 , 7309 , 48 ,  , 7.04 , 
2003 , 5BZGJ1253+0326 , 193.44579 , 3.44169 , 0.066 ,  , 14.8 , 7309 , 107 ,  , 1.67 , 
2004 , 5BZBJ1253+6242 , 193.49758 , 62.71589 ,  ,  , 18.8 , 7300 , 12 ,  , 0.32 , 3e-10
2005 , 5BZQJ1253-4059 , 193.49804 , -40.99186 , 4.464 ,  , 23.7 , 7211 , 183 ,  ,  , 
2006 , 5BZBJ1254+2211 , 193.63863 , 22.18436 ,  ,  , 17.3 , 7300 , 101 ,  ,  , 7e-10
2007 , 5BZQJ1254-2000 , 193.65521 , -20.01569 , 0.959 ,  , 18.6 , 7211 , 136 ,  ,  , 
2008 , 5BZQJ1254+1141 , 193.65983 , 11.68497 , 0.872 ,  , 16.7 , 7211 , 793 , 245 , 0.65 , 
2009 , 5BZGJ1254-4424 , 193.73962 , -44.41572 , 0.041 ,  , 9.8 , 7309 , 361 ,  ,  , 
2010 , 5BZQJ1255+0340 , 193.75208 , 3.67864 , 0.437 ,  , 17.9 , 7211 , 118 ,  , 0.74 , 
2011 , 5BZQJ1255+1817 , 193.88229 , 18.29747 , 1.366 ,  , 19.7 , 7211 , 413 ,  , 0.14 , 
2012 , 5BZQJ1255+6124 , 193.93754 , 61.41414 , 2.055 ,  , 19.8 , 7211 , 99 ,  , 0.18 , 
2013 , 5BZBJ1255+3848 , 193.98083 , 38.80314 , 0.56 ,  ?  , 19 , 7300 , 24 ,  ,  , 
2014 , 5BZQJ1256-0547 , 194.04654 , -5.78931 , 0.536 ,  , 15 , 7211 , 9711 , 9712 , 20.9 , 2.56e-8
2015 , 5BZGJ1256-1146 , 194.06646 , -11.77703 , 0.058 ,  , 12.2 , 7309 , 54 ,  , 0.74 , 1e-9
2016 , 5BZUJ1256-2155 , 194.10629 , -21.92258 , 0.129 ,  , 15.9 , 7900 , 71 ,  ,  , 
2017 , 5BZBJ1256+0609 , 194.16396 , 6.15225 , 0.423 ,  , 18.6 , 7300 , 65 ,  , 0.73 , 
2018 , 5BZUJ1257+0024 , 194.263 , 0.41 , 1.259 ,  , 17.3 , 7900 , 298 ,  ,  , 
2019 , 5BZBJ1257+3647 , 194.31908 , 36.78747 , 0.531 ,  ?  , 17.7 , 7300 , 73 ,  , 0.46 , 8e-10
2020 , 5BZBJ1257+2412 , 194.38304 , 24.21114 , 0.141 ,  , 16.7 , 7300 , 15 ,  , 7.22 , 
2021 , 5BZQJ1257+3229 , 194.48846 , 32.49147 , 0.805 ,  , 18.8 , 7211 , 652 ,  , 0.31 , 4e-10
2022 , 5BZQJ1257-3155 , 194.49608 , -31.92136 , 1.924 ,  , 18.2 , 7211 , 1144 , 477 , 0.24 , 
2023 , 5BZBJ1258+6120 , 194.58663 , 61.34597 , 0.224 ,  , 18.4 , 7300 , 10 ,  ,  , 
2024 , 5BZQJ1258-1800 , 194.65958 , -18.00086 , 1.956 ,  , 20.6 , 7211 , 359 ,  ,  , 8e-10
2025 , 5BZBJ1258-0447 , 194.70017 , -4.79586 , 0.586 ,  , 18.6 , 7390 , 4 ,  , 4.5 , 
2026 , 5BZQJ1258-2219 , 194.727 , -22.32531 , 1.303 ,  , 18.8 , 7211 , 793 , 420 ,  , 2e-9
2027 , 5BZBJ1258+0134 , 194.7275 , 1.57817 ,  ,  , 19.9 , 7300 , 16 ,  , 0.22 , 
2028 , 5BZUJ1259-2310 , 194.78525 , -23.17742 , 0.481 ,  , 18.1 , 7900 , 482 ,  ,  , 
2029 , 5BZQJ1259-2436 , 194.80263 , -24.60153 , 2.263 ,  , 17.9 , 7211 , 638 ,  ,  , 
2030 , 5BZBJ1300+1755 , 195.0355 , 17.92711 ,  ,  , 19.8 , 7300 , 16 ,  ,  , 
2031 , 5BZBJ1300+6344 , 195.07321 , 63.7445 ,  ,  , 20.7 , 7300 , 15 ,  , 0.4 , 
2032 , 5BZQJ1300+1417 , 195.08712 , 14.28847 , 1.106 ,  , 18.7 , 7211 , 560 ,  , 0.34 , 
2033 , 5BZQJ1300+2830 , 195.11888 , 28.50283 , 0.649 ,  , 17 , 7211 , 171 ,  , 0.09 , 
2034 , 5BZBJ1300+5351 , 195.13658 , 53.8535 ,  ,  , 18.8 , 7300 , 32 ,  ,  , 
2035 , 5BZQJ1300+5029 , 195.17188 , 50.49356 , 1.561 ,  , 21.6 , 7211 , 410 ,  , 0.29 , 
2036 , 5BZQJ1300-3253 , 195.17688 , -32.88669 , 1.256 ,  , 18 , 7211 , 244 ,  , 0.22 , 2.3e-9
2037 , 5BZUJ1301-3226 , 195.25333 , -32.44128 , 0.017 ,  , 8.3 , 7900 , 1387 ,  , 0.31 , 
2038 , 5BZQJ1301+3337 , 195.37146 , 33.61675 , 1.009 ,  , 19.7 , 7211 , 76 ,  ,  , 6e-10
2039 , 5BZGJ1301+4634 , 195.38592 , 46.56744 , 0.205 ,  , 16.3 , 7309 , 87 ,  ,  , 
2040 , 5BZBJ1301+4056 , 195.44017 , 40.94017 ,  ,  , 18.1 , 7300 , 28 ,  , 1.09 , 
2041 , 5BZBJ1301+4416 , 195.44296 , 44.27206 ,  ,  , 18.6 , 7300 , 58 ,  ,  , 
2042 , 5BZQJ1302+4819 , 195.57167 , 48.32156 , 0.874 ,  , 17.9 , 7211 , 129 ,  , 0.35 , 
2043 , 5BZUJ1302+5748 , 195.71863 , 57.81044 , 1.088 ,  , 19.5 , 7900 , 320 ,  , 0.22 , 
2044 , 5BZBJ1302+5056 , 195.73058 , 50.93842 ,  ,  , 19.5 , 7300 , 3 ,  , 4.04 , 
2045 , 5BZBJ1303+2433 , 195.76346 , 24.5655 ,  ,  , 19.4 , 7300 , 123 ,  ,  , 3e-9
2046 , 5BZUJ1303-1051 , 195.80779 , -10.85475 ,  ,  , 21.4 , 7900 , 255 ,  ,  , 
2047 , 5BZQJ1303-4621 , 195.91783 , -46.35064 , 1.664 ,  ,  , 7211 , 76 ,  ,  , 7e-10
2048 , 5BZBJ1304-4353 , 196.0875 , -43.88617 ,  ,  , 16.1 , 7300 , 44 ,  , 2.24 , 3.7e-9
2049 , 5BZQJ1304-0346 , 196.18192 , -3.76733 , 1.25 ,  , 19.4 , 7211 , 826 ,  ,  , 
2050 , 5BZBJ1305+7854 , 196.25021 , 78.90989 ,  ,  , 19.6 , 7390 , 287 ,  ,  , 3e-10
2051 , 5BZBJ1305+3855 , 196.38021 , 38.92275 , 0.376 ,  , 18.7 , 7300 , 44 ,  , 0.63 , 
2052 , 5BZQJ1305-1033 , 196.38758 , -10.55539 , 0.286 ,  , 14.4 , 7211 , 711 , 417 , 4.02 , 
2053 , 5BZQJ1306+5529 , 196.51396 , 55.49553 , 1.601 ,  , 18.3 , 7211 , 133 ,  , 0.18 , 
2054 , 5BZQJ1306+4741 , 196.62479 , 47.69236 , 2.523 ,  , 18.3 , 7211 , 54 ,  , 0.19 , 
2055 , 5BZQJ1307-3207 , 196.81321 , -32.13292 , 1.211 ,  , 19.4 , 7211 , 453 ,  ,  , 
2056 , 5BZBJ1307-4259 , 196.90821 , -42.99414 ,  ,  , 15.6 , 7300 , 36 ,  , 2.39 , 2e-9
2057 , 5BZQJ1308+3546 , 197.09879 , 35.777 , 1.055 ,  , 20 , 7211 , 239 , 447 , 0.23 , 1.1e-9
2058 , 5BZQJ1308+4729 , 197.21388 , 47.49858 , 0.884 ,  , 18.9 , 7211 , 77 ,  , 0.33 , 
2059 , 5BZQJ1309+5557 , 197.29063 , 55.96064 , 1.629 ,  , 17.7 , 7211 , 266 ,  , 0.53 , 
2060 , 5BZBJ1309+4305 , 197.35638 , 43.08489 ,  ,  , 17 , 7300 , 60 ,  , 0.4 , 1.8e-9
2061 , 5BZBJ1309+1154 , 197.39138 , 11.90683 ,  ,  , 18.4 , 7300 , 855 , 369 , 0.48 , 5e-10
2062 , 5BZQJ1309-3948 , 197.452 , -39.80919 , 1.828 ,  , 19.3 , 7211 , 294 ,  ,  , 
2063 , 5BZBJ1310-1157 , 197.55204 , -11.96289 , 0.14 ,  , 14.7 , 7390 , 83 ,  , 1.21 , 
2064 , 5BZQJ1310+0044 , 197.61875 , 0.73581 , 1.601 ,  , 19.3 , 7211 , 170 ,  ,  , 4e-10
2065 , 5BZUJ1310+3220 , 197.61942 , 32.3455 , 0.997 ,  , 17.6 , 7900 , 1687 , 1303 , 0.53 , 5.3e-9
2066 , 5BZQJ1310+4653 , 197.72329 , 46.89783 , 0.972 ,  , 20.8 , 7211 , 131 ,  , 0.24 , 
2067 , 5BZQJ1310+3233 , 197.7475 , 32.55956 , 1.639 ,  , 18.8 , 7211 , 374 , 346 , 0.14 , 5.3e-9
2068 , 5BZQJ1311+5513 , 197.76338 , 55.23175 , 0.925 ,  , 19.2 , 7211 , 425 ,  , 0.18 , 
2069 , 5BZBJ1311+0035 , 197.77696 , 0.58611 ,  ,  , 17.8 , 7300 , 17 ,  , 0.94 , 4e-10
2070 , 5BZQJ1311+1417 , 197.78258 , 14.29628 , 1.947 ,  , 19.7 , 7211 , 735 ,  ,  , 
2071 , 5BZBJ1311+3953 , 197.94179 , 39.88819 ,  ,  , 19.8 , 7300 , 16 ,  , 0.11 , 
2072 , 5BZBJ1311+0853 , 197.98233 , 8.89472 , 0.469 ,  , 19.3 , 7300 , 5 ,  , 2.69 , 
2073 , 5BZQJ1312+4809 , 198.04642 , 48.15703 , 0.715 ,  , 17.2 , 7211 , 160 ,  , 0.58 , 4e-10
2074 , 5BZQJ1312+3515 , 198.07396 , 35.25586 , 0.184 ,  , 15.5 , 7211 , 47 ,  , 1.1 , 
2075 , 5BZBJ1312-2156 , 198.1315 , -21.93983 , 1.491 ,  ?  , 18.1 , 7300 , 349 ,  ,  , 2.2e-9
2076 , 5BZUJ1312+4828 , 198.18062 , 48.47525 , 0.501 ,  , 21 , 7900 , 221 ,  , 0.28 , 9e-9
2077 , 5BZQJ1312-0424 , 198.21208 , -4.41386 , 0.825 ,  , 19.3 , 7211 , 226 ,  , 0.32 , 4e-10
2078 , 5BZBJ1313+0201 , 198.3755 , 2.01831 , 0.356 ,  , 18.4 , 7300 , 60 ,  , 0.39 , 
2079 , 5BZQJ1313+1027 , 198.42354 , 10.454 , 2.912 ,  , 18.8 , 7211 , 81 ,  ,  , 
2080 , 5BZQJ1314-3303 , 198.51487 , -33.06525 , 0.484 ,  , 18.1 , 7211 , 95 ,  , 0.34 , 
2081 , 5BZBJ1314+2348 , 198.68254 , 23.80744 ,  ,  , 16.8 , 7300 , 184 ,  , 1.1 , 1.4e-9
2082 , 5BZGJ1315-4236 , 198.76413 , -42.61381 , 0.105 ,  , 14.1 , 7309 , 14 ,  , 8.85 , 
2083 , 5BZUJ1315-5334 , 198.76738 , -53.57661 ,  ,  , 18.3 , 7900 ,  , 307 ,  , 1.6e-9
2084 , 5BZQJ1315+2840 , 198.80621 , 28.68158 , 1.576 ,  , 19.9 , 7211 , 110 ,  , 0.14 , 
2085 , 5BZQJ1316-3338 , 199.03329 , -33.64978 , 1.21 ,  , 17.7 , 7211 , 1278 , 838 , 0.97 , 2.6e-9
2086 , 5BZQJ1316-3025 , 199.13742 , -30.42558 , 1.334 ,  , 19.5 , 7211 , 107 ,  ,  , 
2087 , 5BZQJ1317+3425 , 199.40204 , 34.42108 , 1.055 ,  , 18.2 , 7211 , 529 , 316 , 0.34 , 3e-10
2088 , 5BZQJ1318-0607 , 199.64046 , -6.12328 , 2.734 ,  , 18.8 , 7211 , 68 ,  ,  , 
2089 , 5BZQJ1319-1217 , 199.80038 , -12.29222 , 0.86 ,  , 17.9 , 7211 , 466 ,  , 0.26 , 5e-10
2090 , 5BZQJ1319+4851 , 199.87625 , 48.85089 , 1.17 ,  , 19.2 , 7211 , 20 ,  , 0.31 , 
2091 , 5BZBJ1319+1405 , 199.88225 , 14.09253 , 0.573 ,  , 17.7 , 7300 , 76 ,  , 5.49 , 
2092 , 5BZBJ1319+2725 , 199.89696 , 27.41731 ,  ,  , 19.8 , 7300 , 14 ,  ,  , 
2093 , 5BZUJ1320+0140 , 200.11163 , 1.67689 , 1.235 ,  , 20.1 , 7900 , 671 ,  , 0.22 , 
2094 , 5BZQJ1321+2216 , 200.29671 , 22.27003 , 0.943 ,  , 18.7 , 7211 , 314 , 445 ,  , 1.3e-9
2095 , 5BZQJ1321-2636 , 200.30854 , -26.60283 , 2.027 ,  , 21.4 , 7211 , 510 ,  ,  , 
2096 , 5BZQJ1321+0023 , 200.41487 , 0.39933 , 1.618 ,  , 17.6 , 7211 , 163 ,  , 0.23 , 
2097 , 5BZQJ1322+2148 , 200.5475 , 21.80342 , 1.68 ,  , 18.8 , 7211 , 241 ,  ,  , 
2098 , 5BZQJ1322-8419 , 200.61558 , -84.32614 , 1.139 ,  , 18.4 , 7211 , 100 ,  ,  , 
2099 , 5BZGJ1322+1344 , 200.63121 , 13.74175 , 0.377 ,  , 18.7 , 7309 , 8 ,  , 0.65 , 
2100 , 5BZQJ1322-0937 , 200.65379 , -9.62717 , 1.864 ,  , 18.5 , 7211 , 403 ,  ,  , 5e-10
2101 , 5BZBJ1322+3216 , 200.69754 , 32.26906 ,  ,  , 18.9 , 7300 , 906 ,  ,  , 
2102 , 5BZQJ1322+3912 , 200.73192 , 39.20222 , 2.985 ,  , 17.6 , 7211 , 104 ,  , 0.13 , 
2103 , 5BZGJ1323+0439 , 200.75421 , 4.66433 , 0.224 ,  , 17.9 , 7309 , 37 ,  , 2.55 , 
2104 , 5BZQJ1323-3407 , 200.82142 , -34.12011 , 1.346 ,  , 19 , 7211 , 466 ,  ,  , 
2105 , 5BZQJ1323-3038 , 200.83125 , -30.63517 , 2.057 ,  , 19.2 , 7211 , 166 ,  ,  , 
2106 , 5BZBJ1323-3653 , 200.94117 , -36.89383 ,  ,  , 19.1 , 7300 , 127 ,  , 0.09 , 
2107 , 5BZQJ1323+7942 , 200.96487 , 79.71439 , 1.97 ,  , 20.4 , 7211 , 599 ,  ,  , 
2108 , 5BZBJ1323+1405 , 200.99321 , 14.09986 ,  ,  , 18.7 , 7300 , 31 ,  , 1.02 , 
2109 , 5BZGJ1324+5739 , 201.00379 , 57.65456 , 0.115 ,  , 15.8 , 7309 , 43 ,  , 1.47 , 
2110 , 5BZQJ1324-3623 , 201.01487 , -36.39322 , 0.739 ,  , 17.1 , 7211 , 255 ,  , 0.58 , 
2111 , 5BZBJ1324+4048 , 201.05033 , 40.80328 , 0.496 ,  , 19.7 , 7300 , 349 ,  ,  , 
2112 , 5BZQJ1324-1049 , 201.10746 , -10.82308 , 0.872 ,  , 21.5 , 7211 , 204 ,  , 0.67 , 
2113 , 5BZQJ1324+4743 , 201.12225 , 47.72239 , 2.26 ,  , 20.8 , 7211 , 208 ,  ,  , 
2114 , 5BZQJ1325-0804 , 201.29008 , -8.08011 , 2.354 ,  , 17.8 , 7211 , 140 ,  , 0.3 , 
2115 , 5BZQJ1325+1123 , 201.30208 , 11.39156 , 4.418 ,  , 19.4 , 7211 , 82 ,  ,  , 
2116 , 5BZUJ1325-4301 , 201.36508 , -43.01911 , 0.002 ,  , 7.2 , 7900 , 5700 , 17923 , 5.43 , 3e-9
2117 , 5BZBJ1325+6621 , 201.3825 , 66.35086 , 0.21 ,  , 18.4 , 7300 , 5 ,  , 0.24 , 
2118 , 5BZBJ1325-3001 , 201.38692 , -30.02864 ,  ,  , 20 , 7390 , 3 ,  , 3.68 , 
2119 , 5BZBJ1325-0228 , 201.42462 , -2.46942 ,  ,  , 19.9 , 7300 , 9 ,  , 1.45 , 
2120 , 5BZBJ1325+4115 , 201.49563 , 41.25014 , 0.31 ,  , 18.7 , 7300 , 146 ,  , 0.17 , 
2121 , 5BZBJ1326+2933 , 201.56246 , 29.55861 , 0.431 ,  , 18.2 , 7300 , 16 ,  , 2.43 , 
2122 , 5BZGJ1326+1229 , 201.57379 , 12.49967 , 0.204 ,  , 17.4 , 7309 , 57 ,  , 3.43 , 
2123 , 5BZBJ1326-5256 , 201.70508 , -52.93989 ,  ,  , 15.8 , 7300 ,  , 678 , 0.26 , 3.9e-9
2124 , 5BZQJ1326-0500 , 201.72754 , -5.01639 , 1.882 ,  , 19.6 , 7211 , 118 ,  ,  , 
2125 , 5BZQJ1327+2210 , 201.75358 , 22.18061 , 1.398 ,  ?  , 18.7 , 7211 , 850 , 653 , 0.32 , 1.9e-9
2126 , 5BZQJ1327+5008 , 201.85467 , 50.147 , 1.026 ,  , 19.3 , 7211 , 293 ,  , 0.18 , 
2127 , 5BZQJ1327-1336 , 201.92538 , -13.60017 , 1.33 ,  , 17.9 , 7211 , 61 ,  ,  , 
2128 , 5BZBJ1327+2527 , 201.99563 , 25.46289 ,  ,  , 19.4 , 7300 , 10 ,  ,  , 
2129 , 5BZBJ1327+6458 , 201.99908 , 64.96983 , 0.447 ,  , 19 , 7300 , 39 ,  ,  , 
2130 , 5BZBJ1328+1129 , 202.00871 , 11.48711 ,  ,  , 18.5 , 7300 , 4 ,  , 0.27 , 
2131 , 5BZBJ1328+1145 , 202.13983 , 11.75569 , 0.49 ,  ?  , 19 , 7300 , 3 ,  , 2.19 , 
2132 , 5BZUJ1329-5608 , 202.25475 , -56.13406 ,  ,  ,  , 7900 ,  , 930 , 0.63 , 3.7e-9
2133 , 5BZGJ1329-2640 , 202.33667 , -26.67256 , 0.05 ,  , 14.7 , 7309 , 102 ,  ,  , 
2134 , 5BZBJ1329+3154 , 202.47025 , 31.90308 ,  ,  , 20 , 7390 , 829 , 731 ,  , 
2135 , 5BZQJ1330+5414 , 202.5225 , 54.24764 , 0.839 ,  , 18.4 , 7211 , 63 ,  , 0.14 , 
2136 , 5BZQJ1330-3122 , 202.5795 , -31.38308 , 1.335 ,  , 18.4 , 7211 , 461 ,  , 0.21 , 
2137 , 5BZBJ1330+4441 , 202.58971 , 44.68897 ,  ,  , 18.5 , 7300 , 21 ,  , 0.75 , 
2138 , 5BZBJ1330+7001 , 202.60754 , 70.02742 ,  ,  , 17.3 , 7300 , 21 ,  , 0.78 , 5e-10
2139 , 5BZBJ1330+2415 , 202.6105 , 24.25597 , 0.463 ,  , 19.2 , 7300 , 49 ,  , 0.27 , 
2140 , 5BZBJ1330+5655 , 202.66954 , 56.92228 ,  ,  , 19.1 , 7300 , 16 ,  , 0.77 , 
2141 , 5BZUJ1330+5202 , 202.6775 , 52.03764 , 0.688 ,  , 19.9 , 7900 , 83 ,  ,  , 
2142 , 5BZGJ1331+5655 , 202.76213 , 56.92828 , 0.27 ,  , 18.4 , 7309 , 3 ,  , 0.47 , 
2143 , 5BZBJ1331-0022 , 202.77379 , -0.37253 , 0.243 ,  , 18.3 , 7300 , 9 ,  , 0.3 , 
2144 , 5BZQJ1331-2639 , 202.79871 , -26.65267 , 0.883 ,  , 16.8 , 7211 , 179 ,  , 0.36 , 
2145 , 5BZQJ1331-0341 , 202.8715 , -3.68725 , 1.352 ,  , 18.7 , 7211 , 199 ,  ,  , 
2146 , 5BZBJ1331+1712 , 202.88938 , 17.21406 ,  ,  , 19.7 , 7300 , 180 ,  , 0.22 , 
2147 , 5BZQJ1332-0509 , 203.01858 , -5.16203 , 2.15 ,  , 18.4 , 7211 , 527 , 1396 , 0.29 , 5e-9
2148 , 5BZQJ1332-1256 , 203.16354 , -12.93758 , 1.498 ,  , 18.7 , 7211 , 127 ,  , 0.09 , 3.5e-9
2149 , 5BZQJ1332+4722 , 203.18854 , 47.37297 , 0.668 ,  , 17.4 , 7211 , 233 ,  , 0.26 , 3e-10
2150 , 5BZQJ1333+2725 , 203.28121 , 27.42178 , 2.126 ,  , 20.4 , 7211 , 218 , 344 ,  , 4e-10
2151 , 5BZQJ1333-3324 , 203.28637 , -33.41119 , 2.24 ,  , 18.7 , 7211 , 183 ,  , 0.07 , 
2152 , 5BZBJ1333-1436 , 203.34983 , -14.60603 ,  ,  , 20.4 , 7300 , 819 ,  ,  , 
2153 , 5BZBJ1333+6235 , 203.35825 , 62.59497 ,  ,  , 19.7 , 7300 , 7 ,  , 0.14 , 
2154 , 5BZQJ1333+1649 , 203.39908 , 16.81778 , 2.084 ,  , 16.1 , 7211 , 391 ,  , 0.64 , 
2155 , 5BZUJ1333+5057 , 203.47408 , 50.96 , 1.362 ,  , 19.6 , 7900 , 54 ,  , 0.08 , 1e-9
2156 , 5BZUJ1334-1150 , 203.51746 , -11.83731 , 1.402 ,  ?  , 18.2 , 7900 , 292 ,  ,  , 
2157 , 5BZQJ1334+5631 , 203.65621 , 56.52997 , 0.343 ,  , 18.3 , 7211 , 180 ,  , 0.39 , 
2158 , 5BZQJ1335+4542 , 203.8415 , 45.71061 , 2.452 ,  , 18 , 7211 , 251 ,  , 0.32 , 
2159 , 5BZBJ1335-2950 , 203.874 , -29.84414 , 0.513 ,  ?  , 19.1 , 7300 , 10 ,  , 3.35 , 
2160 , 5BZBJ1335-0511 , 203.98533 , -5.19492 ,  ,  , 21.8 , 7390 , 398 ,  ,  , 
2161 , 5BZBJ1336+2105 , 204.02329 , 21.09067 ,  ,  , 19.7 , 7300 , 5 ,  ,  , 
2162 , 5BZGJ1336-0829 , 204.03442 , -8.49772 , 0.023 ,  , 8.1 , 7309 , 239 , 505 , 0.16 , 
2163 , 5BZBJ1336+2319 , 204.05067 , 23.33278 , 0.267 ,  , 18.3 , 7300 , 14 ,  , 0.7 , 
2164 , 5BZQJ1337-1319 , 204.31154 , -13.32169 , 3.475 ,  , 19.1 , 7211 , 114 ,  , 0.29 , 1.8e-9
2165 , 5BZQJ1337+6532 , 204.31692 , 65.54619 , 0.946 ,  , 19.3 , 7211 , 211 ,  ,  , 
2166 , 5BZBJ1337+0035 , 204.38071 , 0.59139 , 0.299 ,  , 18.3 , 7300 , 134 ,  , 0.24 , 
2167 , 5BZQJ1337-1257 , 204.41575 , -12.95686 , 0.539 ,  , 17.8 , 7211 , 2676 , 2772 , 1.77 , 1.8e-9
2168 , 5BZQJ1337+5501 , 204.45683 , 55.01725 , 1.099 ,  , 17.9 , 7211 , 707 ,  , 0.19 , 
2169 , 5BZBJ1338+1153 , 204.74608 , 11.88797 ,  ,  , 17.8 , 7300 , 16 ,  , 0.39 , 9e-10
2170 , 5BZUJ1339-2401 , 204.75729 , -24.02056 , 0.657 ,  ?  , 18.9 , 7900 , 502 ,  ,  , 6e-10
2171 , 5BZBJ1339+0800 , 204.795 , 8.00681 ,  ,  , 19.2 , 7300 , 13 ,  ,  , 
2172 , 5BZQJ1339-2620 , 204.83287 , -26.34181 , 1.51 ,  ?  , 18.7 , 7211 , 702 ,  ,  , 
2173 , 5BZQJ1340-0137 , 205.01925 , -1.62958 , 1.62 ,  , 18.8 , 7211 , 175 ,  ,  , 
2174 , 5BZBJ1340+2743 , 205.04521 , 27.72972 , 0.205 ,  ?  , 21.5 , 7390 , 5 ,  , 0.72 , 
2175 , 5BZBJ1340+4410 , 205.12417 , 44.16778 , 0.546 ,  , 18.7 , 7300 , 57 ,  , 2.3 , 4e-10
2176 , 5BZUJ1340+3600 , 205.15004 , 36.00744 , 0.763 ,  ?  , 21.5 , 7900 , 257 ,  ,  , 
2177 , 5BZBJ1340-0148 , 205.15663 , -1.81325 , 0.513 ,  , 19.9 , 7300 , 10 ,  ,  , 
2178 , 5BZGJ1341+3959 , 205.27129 , 39.99594 , 0.172 ,  , 17.5 , 7309 , 41 ,  , 5.15 , 
2179 , 5BZQJ1341+2816 , 205.31367 , 28.26808 , 1.275 ,  , 19.9 , 7211 , 119 ,  , 0.23 , 
2180 , 5BZBJ1341+5514 , 205.40096 , 55.24389 , 0.207 ,  , 17.8 , 7300 , 37 ,  , 0.73 , 
2181 , 5BZGJ1341+3716 , 205.41112 , 37.27914 , 0.175 ,  , 16.7 , 7309 , 116 ,  ,  , 
2182 , 5BZBJ1341+1905 , 205.43788 , 19.09353 ,  ,  , 19.7 , 7300 , 11 ,  ,  , 
2183 , 5BZQJ1342-2051 , 205.51975 , -20.85819 , 1.582 ,  , 18.3 , 7211 , 399 , 558 , 0.47 , 5e-10
2184 , 5BZQJ1342-3240 , 205.52583 , -32.67986 , 0.791 ,  , 19.7 , 7211 , 288 ,  ,  , 
2185 , 5BZQJ1342+2709 , 205.53492 , 27.1585 , 1.185 ,  , 17.7 , 7211 , 263 ,  , 0.34 , 
2186 , 5BZQJ1342-2900 , 205.56392 , -29.01161 , 1.442 ,  , 19.2 , 7211 , 306 ,  ,  , 
2187 , 5BZQJ1343+2844 , 205.75075 , 28.73542 , 0.905 ,  , 17 , 7211 , 252 ,  , 0.68 , 
2188 , 5BZQJ1343+6602 , 205.9415 , 66.04047 , 0.766 ,  , 19.7 , 7211 , 214 ,  , 0.11 , 
2189 , 5BZQJ1343+5754 , 205.99008 , 57.91181 , 0.933 ,  , 19 , 7211 , 116 ,  , 0.14 , 2e-10
2190 , 5BZQJ1344+6606 , 206.03617 , 66.10322 , 1.351 ,  , 20.1 , 7211 , 639 ,  ,  , 
2191 , 5BZQJ1344-1723 , 206.06 , -17.39456 , 2.49 ,  , 19.6 , 7211 , 340 ,  ,  , 5e-9
2192 , 5BZUJ1345+4125 , 206.34921 , 41.42828 , 0.916 ,  , 18.6 , 7900 , 57 ,  , 0.21 , 
2193 , 5BZQJ1345+4452 , 206.38821 , 44.88322 , 2.534 ,  , 20.3 , 7211 , 294 ,  , 0.2 , 2.1e-9
2194 , 5BZUJ1345+5332 , 206.439 , 53.54786 , 0.135 ,  , 17 , 7900 , 420 , 290 , 1.86 , 
2195 , 5BZQJ1345+0706 , 206.45546 , 7.10864 , 1.093 ,  , 19.7 , 7211 , 138 ,  , 0.29 , 6e-10
