id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
545 , 3HSPJ061841.8-173101 ,  , 94.67425 , -17.51694 , 7.2 , 0.5 , 0.31 , -12.3 , 0.2 ,  ,  , 
546 , 3HSPJ061949.6+573549 ,  , 94.95654 , 57.59694 , 2.9 , 0.45 , 0.58 , -11.9 , 0.5 ,  ,  , 2WHSPJ061949.4+573548
547 , 3HSPJ062040.0+264331 ,  , 95.16687 , 26.72528 , 82.6 , 0.14 , 0.87 , -11.5 , 1.26 , 2FHL J0620.6+2644 , 1.65 , 2WHSPJ062040.0+264331
548 , 3HSPJ062046.1-503350 ,  , 95.19221 , -50.56389 , 41.6 , 0.25 , 0.05 , -12.5 , 0.13 ,  , 1.76 , 
549 , 3HSPJ062149.7-341149 , 5BZBJ0621-3411 , 95.45704 , -34.19694 , 12 , 0.529 , 2.3 , -11.4 , 1.58 ,  , 2.5 , 2WHSPJ062149.6-341148
550 , 3HSPJ062337.9-525756 , 5BZBJ0623-5257 , 95.90779 , -52.96556 , 46.4 , 0.29 , 0.13 , -12.4 , 0.16 ,  , 2.18 , 2WHSPJ062337.7-525756
551 , 3HSPJ062445.1-323055 , 5BZBJ0624-3230 , 96.18771 , -32.51528 , 55.4 , 0.252 ,  , -12.4 , 0.16 ,  ,  , 2WHSPJ062444.9-323055
552 , 3HSPJ062550.4+485806 ,  , 96.46 , 48.96833 , 6.7 , 0.4 , 0.1 , -12.2 , 0.25 ,  ,  , 2WHSPJ062550.3+485805
553 , 3HSPJ062626.3-171046 ,  , 96.6095 , -17.17944 , 12.1 , 0.7 , 0.58 , -11.8 , 0.63 ,  , 2.05 , 2WHSPJ062626.2-171045
554 , 3HSPJ062636.7-425806 ,  , 96.65296 , -42.96833 , 14.1 , 0.27 , 0.09 , -12.2 , 0.25 ,  , 1.74 , 2WHSPJ062636.7-425805
555 , 3HSPJ062753.4-151957 ,  , 96.97237 , -15.3325 , 43.4 , 0.29 , 1.25 , -11.7 , 0.79 ,  , 2.72 , 2WHSPJ062753.2-151956
556 , 3HSPJ063015.1-201236 ,  , 97.56275 , -20.21 , 8.5 , 0.22 , 0.67 , -11.8 , 0.63 , 2FHL J0630.2-2013 , 1.84 , 2WHSPJ063014.9-201236
557 , 3HSPJ063059.5-240646 , 5BZBJ0630-2406 , 97.748 , -24.11278 , 105.8 , 1.239 , 1.85 , -11.2 , 2.51 , 2FHL J0631.0-2406 , 1.81 , 2WHSPJ063059.5-240646
558 , 3HSPJ063257.1+591541 ,  , 98.24125 , 59.26139 , 40 , 0.28 , 0.1 , -12.3 , 0.2 ,  ,  , 2WHSPJ063257.9+591541
559 , 3HSPJ063331.0-162951 ,  , 98.37921 , -16.4975 , 76.6 ,  , 0.25 , -11.4 , 1.58 ,  ,  , 
560 , 3HSPJ063359.1+584035 ,  , 98.49879 , 58.67639 , 6.9 , 0.29 ,  , >-12.4 , 0.16 ,  , 1.9 , 
561 , 3HSPJ063841.4-261744 ,  , 99.67267 , -26.29556 , 3.7 ,  , 0.37 , -12.2 , 0.25 ,  ,  , 2WHSPJ063841.4-261744
562 , 3HSPJ064007.2-125315 ,  , 100.02992 , -12.8875 , 225.2 , 0.11 , 1.7 , -10.9 , 5.01 , 2FHL J0639.9-1252 , 1.51 , 2WHSPJ064007.0-125314
563 , 3HSPJ064050.3+243319 ,  , 100.20975 , 24.55528 , 19.4 , 0.27 , 0.11 , -12.1 , 0.32 ,  , 1.76 , 
564 , 3HSPJ064326.7+421418 , 5BZGJ0643+4214 , 100.86133 , 42.23833 , 99.7 , 0.089 , 2.35 , -11.6 , 1 ,  ,  , 
565 , 3HSPJ064435.1+603851 ,  , 101.14879 , 60.6475 , 34 , 0.33 ,  , -12.3 , 0.2 ,  , 2.28 , 
566 , 3HSPJ064443.7-285116 ,  , 101.18225 , -28.85444 , 53.5 , 0.35 , 1.97 , -11.9 , 0.5 ,  , 2.11 , 2WHSPJ064443.6-285115
567 , 3HSPJ064710.0-513547 ,  , 101.79183 , -51.59639 , 70.8 , 0.22 , 2.84 , -11.2 , 2.51 ,  , 2.19 , 2WHSPJ064710.0-513547
568 , 3HSPJ064814.0+160656 ,  , 102.05821 , 16.11556 , 25 , 0.35 , 0.2 , -11.8 , 0.63 ,  , 1.77 , 
569 , 3HSPJ064827.5+711313 ,  , 102.11442 , 71.22028 , 3.9 ,  , 0.06 , -12.3 , 0.2 ,  ,  , 2WHSPJ064827.4+711313
570 , 3HSPJ064847.6+151624 , 5BZBJ0648+1516 , 102.19854 , 15.27333 , 64.8 , 0.179 , 2.79 , -11.1 , 3.16 , 2FHL J0648.6+1516 , 1.83 , 2WHSPJ064847.5+151623
571 , 3HSPJ064850.5-694522 ,  , 102.21038 , -69.75611 , 40.6 , 0.28 , 0.68 , -11.8 , 0.63 ,  ,  , 2WHSPJ064850.3-694521
572 , 3HSPJ064933.6-313920 ,  , 102.39 , -31.65556 , 7.5 ,  , 5.37 , -11.4 , 1.58 , 2FHL J0649.6-3139 , 1.73 , 2WHSPJ064933.5-313920
573 , 3HSPJ065010.3-514421 ,  , 102.54304 , -51.73917 , 38 , 0.31 ,  , >-12 , 0.4 ,  , 1.76 , 
574 , 3HSPJ065035.3+205555 ,  , 102.64721 , 20.93194 , 6.9 , 0.3 , 0.09 , -11.7 , 0.79 , 2FHL J0650.5+2056 , 1.56 , 
575 , 3HSPJ065046.5+250259 , 5BZBJ0650+2502 , 102.69367 , 25.04972 , 96.8 , 0.203 , 2.38 , -10.7 , 7.94 , 2FHL J0650.7+2502 , 1.72 , 2WHSPJ065046.3+250258
576 , 3HSPJ065105.0+401338 ,  , 102.77254 , 40.22722 , 32.2 , 0.18 , 0.2 , -11.8 , 0.63 ,  , 2.12 , 2WHSPJ065105.3+401337
577 , 3HSPJ065200.6-480859 ,  , 103.00237 , -48.14972 , 71.7 , 0.4 , 0.21 , -12 , 0.4 ,  , 2.04 , 2WHSPJ065200.4-480858
578 , 3HSPJ065610.7+423702 , 5BZGJ0656+4237 , 104.04442 , 42.61722 , 933.7 , 0.059 , 0.28 , -11.8 , 0.63 ,  , 2.08 , 
579 , 3HSPJ065635.6+421524 ,  , 104.14821 , 42.25667 , 12.1 , 0.45 , 0.15 , -12.1? , 0.32 ,  , 2.02 , 
580 , 3HSPJ065751.3-284307 ,  , 104.46392 , -28.71861 , 65.1 ,  ,  , -12 , 0.4 ,  ,  , 2WHSPJ065751.3-284306
581 , 3HSPJ065845.0+063711 ,  , 104.68758 , 6.61972 , 25.4 , 0.23 ,  , -12.1 , 0.32 ,  , 2.48 , 
582 , 3HSPJ065932.9-674350 ,  , 104.88717 , -67.73056 , 25.2 , 0.43 , 0.17 , -12 , 0.4 ,  , 1.53 , 2WHSPJ065932.8-674350
583 , 3HSPJ070014.3+130424 ,  , 105.05963 , 13.07333 , 78 , 0.21 , 0.11 , -11.9 , 0.5 ,  , 1.8 , 
584 , 3HSPJ070132.2+250953 ,  , 105.384 , 25.16472 , 10 , 0.33 , 0.67 , -11.6? , 1 ,  , 1.86 , 
585 , 3HSPJ070315.9+680831 ,  , 105.81625 , 68.14194 , 30.4 , 0.27 ,  , -12.4 , 0.16 ,  , 1.84 , 
586 , 3HSPJ070610.8+024449 ,  , 106.54508 , 2.74694 , 18.4 , 0.22 , 0.14 , -11.7 , 0.79 , 2FHL J0705.9+0245 , 1.61 , 
587 , 3HSPJ070631.7+374436 , 5BZBJ0706+3744 , 106.63204 , 37.74333 , 27.4 ,  , 0.09 , -11.6 , 1 , 2FHL J0706.5+3744 , 1.89 , 2WHSPJ070631.6+374435
588 , 3HSPJ070858.3+224135 , 5BZBJ0708+2241 , 107.24283 , 22.69306 , 40.7 ,  , 0.16 , -11.3 , 2 ,  , 2.08 , 
589 , 3HSPJ070912.5-152703 ,  , 107.30213 , -15.45083 , 1035.4 , 0.1 , 0.99 , -10.9 , 5.01 , 2FHL J0709.3-1526 , 1.75 , 
590 , 3HSPJ070947.1-300905 ,  , 107.44962 , -30.15139 , 6.3 ,  , 0.59 , -12 , 0.4 ,  , 2 , 
591 , 3HSPJ071030.1+590820 , 5BZBJ0710+5908 , 107.62521 , 59.13889 , 159.3 , 0.12 , 1.76 , -10.7 , 7.94 , 2FHL J0710.5+5908 , 1.66 , 2WHSPJ071029.9+590820
592 , 3HSPJ071218.9+571948 , 5BZBJ0712+5719 , 108.07871 , 57.33 , 8 , 0.095 , 0.31 , -12.1 , 0.32 ,  , 2.39 , 2WHSPJ071218.7+571947
593 , 3HSPJ071223.6+331333 ,  , 108.09825 , 33.22583 , 16.1 , 0.41 , 0.11 , -12.4 , 0.16 ,  , 2.01 , 
594 , 3HSPJ071525.3-513738 ,  , 108.85538 , -51.62722 , 68.8 ,  ,  , -11.9 , 0.5 ,  ,  , 2WHSPJ071525.2-513737
595 , 3HSPJ071625.7+750700 ,  , 109.10692 , 75.11667 , 15.9 ,  , 0.05 , -12.6 , 0.1 ,  ,  , 2WHSPJ071625.6+750700
596 , 3HSPJ071745.1-552022 ,  , 109.43775 , -55.33944 , 47.4 ,  , 0.15 , -12.1 , 0.32 ,  , 2.16 , 2WHSPJ071745.0-552021
597 , 3HSPJ071908.1-705403 ,  , 109.78587 , -70.90083 , 20.9 , 0.33 , 0.1 , -12.6 , 0.1 ,  , 1.97 , 2WHSPJ071908.5-705402
598 , 3HSPJ071959.9+632228 ,  , 109.99942 , 63.37444 , 49.9 ,  , 0.02 , -12.7 , 0.08 ,  ,  , 2WHSPJ071959.8+632227
599 , 3HSPJ072113.1-022055 ,  , 110.30792 , -2.34861 , 5.4 , 0.38 , 0.54 , -11.7 , 0.79 ,  , 2 , 
600 , 3HSPJ072259.7-073134 , 5BZBJ0722-0731 , 110.74867 , -7.52611 , 85.3 , 0.17 , 0.71 , -11.5 , 1.26 ,  , 1.8 , 
601 , 3HSPJ072314.0+584120 , 5BZBJ0723+5841 , 110.8085 , 58.68889 , 16.8 , 0.26 , 0.25 , -12.2 , 0.25 ,  , 2.16 , 2WHSPJ072313.9+584120
602 , 3HSPJ072348.3+205130 ,  , 110.95142 , 20.85833 , 43.4 , 0.21 ,  , -11.9 , 0.5 ,  , 2.4 , 2WHSPJ072348.2+205129
603 , 3HSPJ072406.2+535114 ,  , 111.02596 , 53.85389 , 17.9 ,  ,  , -11.8 , 0.63 ,  ,  , 2WHSPJ072406.0+535110
604 , 3HSPJ072529.5-050336 ,  , 111.37304 , -5.06 , 93.5 , 0.1 , 0.32 , -11.7 , 0.79 ,  , 1.94 , 
605 , 3HSPJ072547.9-054832 ,  , 111.4495 , -5.80889 , 6.1 ,  ,  , -11.9 , 0.5 , 3FHL J0725.7-0548 , 1.85 , 
606 , 3HSPJ072659.5+373423 , 5BZBJ0726+3734 , 111.74804 , 37.57306 , 10.9 , 0.35 , 0.03 , -12.3 , 0.2 ,  , 1.84 , 2WHSPJ072659.5+373423
607 , 3HSPJ073026.1+330722 , 5BZBJ0730+3307 , 112.60858 , 33.12278 , 9.3 , 0.11 , 0.26 , -11.6 , 1 ,  , 2.12 , 2WHSPJ073025.9+330722
608 , 3HSPJ073049.5-660218 ,  , 112.70633 , -66.03833 , 81.3 , 0.106 , 0.69 , -11.5 , 1.26 , 2FHL J0730.9-6600 , 1.79 , 2WHSPJ073049.4-660217
609 , 3HSPJ073124.3-584122 ,  , 112.85113 , -58.68944 , 16.5 , 0.33 , 0.07 , -12.3 , 0.2 ,  ,  , 2WHSPJ073124.1-584121
610 , 3HSPJ073152.7+280433 , 5BZBJ0731+2804 , 112.96967 , 28.07583 , 72.2 , 0.248 , 0.63 , -11.7 , 0.79 ,  , 2.07 , 2WHSPJ073152.6+280432
611 , 3HSPJ073326.8+515355 ,  , 113.36163 , 51.89861 , 25 , 0.09 , 1.34 , -11.2 , 2.51 ,  , 1.74 , 2WHSPJ073326.7+515354
612 , 3HSPJ073329.6+351542 , 5BZBJ0733+3515 , 113.37321 , 35.26167 , 102.4 , 0.177 , 0.28 , -12 , 0.4 ,  , 2.59 , 2WHSPJ073329.5+351542
613 , 3HSPJ073518.5+034735 ,  , 113.82713 , 3.79306 , 4.3 ,  ,  , -12 , 0.4 ,  ,  , 2WHSPJ073518.4+034735
614 , 3HSPJ073522.0+514641 ,  , 113.84175 , 51.77806 , 2.8 , 0.45 , 0.11 , -12.4 , 0.16 ,  ,  , 2WHSPJ073522.0+514641
615 , 3HSPJ073701.9+284646 , 5BZBJ0737+2846 , 114.25775 , 28.77944 , 17.8 , 0.272 , 0.1 , -12.3 , 0.2 ,  ,  , 2WHSPJ073701.7+284645
616 , 3HSPJ073706.0-824840 ,  , 114.27513 , -82.81111 , 16.4 , 0.23 ,  , -11.8 , 0.63 ,  , 1.92 , 
617 , 3HSPJ073927.4-672136 ,  , 114.86412 , -67.36 ,  , 0.53 , 0.18 , -11.9 , 0.5 ,  , 2.09 , 
618 , 3HSPJ074221.1-813136 ,  , 115.58808 , -81.52667 , 17.6 , 0.43 ,  , >-12.3 , 0.2 ,  , 1.46 , 
619 , 3HSPJ074322.1-563254 ,  , 115.84204 , -56.54833 , 11.7 , 0.38 , 0.08 , -12.4 , 0.16 ,  ,  , 2WHSPJ074322.0-563253
620 , 3HSPJ074405.4+743358 , 5BZBJ0744+7433 , 116.02237 , 74.56611 , 23.4 , 0.314 , 1.22 , -11.4 , 1.58 , 2FHL J0744.2+7435 , 1.97 , 2WHSPJ074405.2+743357
621 , 3HSPJ074419.1-621100 ,  , 116.08254 , -62.18333 , 48.7 , 0.38 , 0.2 , -12.1 , 0.32 ,  ,  , 2WHSPJ074419.7-621059
622 , 3HSPJ074439.9-011430 ,  , 116.16642 , -1.24167 , 3.8 , 0.48 , 0.14 , -12.3 , 0.2 ,  ,  , 2WHSPJ074439.9-011430
623 , 3HSPJ074627.0-022549 ,  , 116.61258 , -2.43028 , 13.5 ,  ,  , -11.8 , 0.63 ,  , 2 , 
624 , 3HSPJ074642.0-475455 ,  , 116.67629 , -47.91528 , 106.7 ,  , 0.37 , -11.3 , 2 , 2FHL J0746.4-4757 , 2.25 , 2WHSPJ074642.3-475455
625 , 3HSPJ074709.5+062306 ,  , 116.78958 , 6.385 , 34.6 ,  ,  , -12 , 0.4 ,  ,  , 2WHSPJ074709.4+062305
626 , 3HSPJ074710.0-073724 ,  , 116.79179 , -7.62333 , 9.6 , 0.32 ,  , -12.8 , 0.06 ,  , 2.11 , 
627 , 3HSPJ074716.2+851208 ,  , 116.81767 , 85.20222 , 11.4 , 0.28 , 0.32 , -11.8 , 0.63 ,  , 1.79 , 2WHSPJ074716.2+851207
628 , 3HSPJ074722.2+090548 , 5BZUJ0747+0905 , 116.84238 , 9.09667 , 40.4 , 0.28 , 0.79 , -11.7 , 0.79 ,  , 2.07 , 2WHSPJ074722.0+090548
629 , 3HSPJ074724.7-492633 ,  , 116.85308 , -49.4425 , 33.1 ,  , 0.22 , -11.6 , 1 ,  , 2.27 , 2WHSPJ074724.7-492633
630 , 3HSPJ074734.5+612650 ,  , 116.89392 , 61.44722 , 3.3 , 0.32 , 0.03 , -12.2? , 0.25 ,  ,  , 2WHSPJ074735.7+612603
631 , 3HSPJ074914.0+231316 , 5BZGJ0749+2313 , 117.30838 , 23.22111 , 54.8 , 0.175 , 0.06 , -12.3 , 0.2 ,  , 1.85 , 
632 , 3HSPJ074929.6+745144 , 5BZBJ0749+7451 , 117.37317 , 74.86222 , 44.9 , 0.607 , 0.68 , -11.9 , 0.5 ,  , 2.09 , 2WHSPJ074929.5+745143
633 , 3HSPJ075109.6+291335 , 5BZGJ0751+2913 , 117.78992 , 29.22639 , 11.8 , 0.185 , 0.04 , -12.8 , 0.06 ,  ,  , 2WHSPJ075109.4+291335
634 , 3HSPJ075125.1+173050 , 5BZGJ0751+1730 , 117.85475 , 17.51389 , 10.5 , 0.187 , 0.34 , -12 , 0.4 ,  ,  , 2WHSPJ075125.1+173051
635 , 3HSPJ075212.6+040901 ,  , 118.05246 , 4.15028 , 8.1 ,  , 0.24 , -11.7 , 0.79 ,  ,  , 2WHSPJ075212.4+040901
636 , 3HSPJ075329.5+535111 ,  , 118.37304 , 53.85306 , 42.4 , 0.26 , 0.1 , -12.1 , 0.32 ,  , 2.11 , 2WHSPJ075329.5+535111
637 , 3HSPJ075523.2+372619 , 5BZBJ0755+3726 , 118.84663 , 37.43861 , 1.6 , 0.605 , 0.12 , -12.4 , 0.16 ,  ,  , 2WHSPJ075523.1+372618
638 , 3HSPJ075722.8+182929 ,  , 119.34492 , 18.49139 , 3.2 , 0.26 , 0.12 , -12.6 , 0.1 ,  ,  , 2WHSPJ075722.6+182929
639 , 3HSPJ075936.1+132117 ,  , 119.90058 , 13.35472 , 5.2 , 0.3 , 0.97 , -11.7 , 0.79 ,  , 1.78 , 2WHSPJ075936.1+132116
640 , 3HSPJ080004.1+621015 , 5BZBJ0800+6210 , 120.01704 , 62.17083 , 5.2 , 0.48 , 0.06 , -12.4 , 0.16 ,  ,  , 2WHSPJ080004.0+621014
641 , 3HSPJ080015.5+561107 ,  , 120.06471 , 56.18528 , 9.6 , 0.38 , 0.05 , -12.2 , 0.25 ,  , 1.96 , 2WHSPJ080015.4+561107
642 , 3HSPJ080056.5+073235 ,  , 120.23562 , 7.54306 , 8.1 , 0.44 ,  , -12.3 , 0.2 ,  , 1.89 , 
643 , 3HSPJ080102.1+644449 , 5BZBJ0801+6444 , 120.25892 , 64.74694 , 12.9 , 0.2 , 0.07 , -12.1 , 0.32 ,  , 2.08 , 2WHSPJ080102.1+644448
644 , 3HSPJ080136.0+463824 ,  , 120.39996 , 46.64 , 3.1 , 0.369 , 0.09 , -12.5 , 0.13 ,  , 2.3 , 2WHSPJ080135.8+463824
645 , 3HSPJ080204.1+100637 , 5BZBJ0802+1006 , 120.52004 , 10.11028 , 6.7 , 0.57 ,  , -11.7? , 0.79 ,  , 2.15 , 
646 , 3HSPJ080215.9-094210 ,  , 120.56625 , -9.70278 , 4.1 ,  ,  , -11.8 , 0.63 ,  , 2.28 , 
647 , 3HSPJ080312.0-033600 ,  , 120.80042 , -3.6 , 232.2 , 0.365 , 0.1 , -12.2 , 0.25 , 2FHL J0803.3-0336 , 2 , 2WHSPJ080312.1-033600
648 , 3HSPJ080323.0+481617 , 5BZBJ0803+4816 , 120.84592 , 48.27139 , 12.7 , 0.501 , 0.08 , -12.5 , 0.13 ,  ,  , 2WHSPJ080322.9+481617
649 , 3HSPJ080457.7-062426 ,  , 121.24058 , -6.40722 , 21 , 0.27 , 0.73 , -11.8 , 0.63 ,  , 1.9 , 2WHSPJ080457.7-062425
650 , 3HSPJ080508.9+685601 ,  , 121.28729 , 68.93361 , 22.7 ,  , 0.04 , -12.3 , 0.2 ,  ,  , 2WHSPJ080508.8+685600
651 , 3HSPJ080526.6+753424 , 5BZBJ0805+7534 , 121.36096 , 75.57333 , 52.7 , 0.12 , 2.69 , -11.1 , 3.16 , 2FHL J0805.8+7534 , 1.92 , 2WHSPJ080526.5+753423
652 , 3HSPJ080610.6+020327 ,  , 121.54425 , 2.0575 , 38.4 , 0.23 ,  , -12.1 , 0.32 ,  ,  , 2WHSPJ080610.6+020327
653 , 3HSPJ080625.9+593107 , 5BZBJ0806+5931 , 121.608 , 59.51861 , 61.1 , 0.3 , 0.32 , -11.9 , 0.5 ,  , 1.88 , 2WHSPJ080625.9+593106
654 , 3HSPJ080938.1+345537 , 5BZGJ0809+3455 , 122.41212 , 34.92694 , 223.5 , 0.083 , 0.65 , -11.8 , 0.63 , 2FHL J0809.5+3458 , 1.67 , 2WHSPJ080938.8+345536
655 , 3HSPJ080949.2+521858 , 5BZBJ0809+5218 , 122.45496 , 52.31611 , 182.9 , 0.137 , 2.36 , -10.9 , 5.01 , 2FHL J0809.7+5218 , 1.88 , 2WHSPJ080949.0+521857
656 , 3HSPJ081003.3-752723 ,  , 122.51367 , -75.45639 ,  , 0.47 , 0.07 , -11.7 , 0.79 , 2FHL J0810.6-7529 , 1.95 , 
657 , 3HSPJ081012.0-703047 ,  , 122.55017 , -70.51306 , 8 ,  , 0.1 , -12.5 , 0.13 ,  ,  , 2WHSPJ081011.9-703047
658 , 3HSPJ081201.9+023733 ,  , 123.00775 , 2.62583 , 123.4 , 0.2 , 2.22 , -11.5 , 1.26 , 2FHL J0811.9+0238 , 1.72 , 2WHSPJ081201.7+023732
659 , 3HSPJ081231.3+282056 ,  , 123.13025 , 28.34889 , 3.8 , 0.47 , 0.09 , -12.3 , 0.2 ,  , 2.04 , 2WHSPJ081231.1+282056
660 , 3HSPJ081240.8+650911 , 5BZBJ0812+6509 , 123.17017 , 65.15306 , 31 , 0.23 , 0.3 , -11.9 , 0.5 ,  , 2.2 , 2WHSPJ081240.8+650911
661 , 3HSPJ081258.4+153152 ,  , 123.24329 , 15.53111 , 2.9 , 0.525 , 0.34 , -11.8? , 0.63 ,  ,  , 2WHSPJ081258.3+153151
662 , 3HSPJ081305.6+714314 ,  , 123.27342 , 71.72056 , 3.3 , 0.58 , 0.09 , -12.5 , 0.13 ,  ,  , 2WHSPJ081305.5+714314
663 , 3HSPJ081338.1-035716 ,  , 123.40862 , -3.95444 , 8.8 , 0.33 ,  , -11.8 , 0.63 ,  , 1.67 , 
664 , 3HSPJ081343.6-754758 ,  , 123.4315 , -75.79944 , 21.5 , 0.32 , 0.14 , -12.1 , 0.32 ,  ,  , 2WHSPJ081343.4-754757
665 , 3HSPJ081421.3+294021 , 5BZBJ0814+2940 , 123.58858 , 29.6725 , 28.8 , 0.32 ,  , -11.9 , 0.5 ,  , 1.94 , 
666 , 3HSPJ081435.4+183028 ,  , 123.64733 , 18.50778 , 0.9 , 0.342 , 0.09 , -12.9 , 0.05 ,  ,  , 2WHSPJ081435.2+183028
667 , 3HSPJ081539.8+655004 ,  , 123.91592 , 65.83444 , 39.7 , 0.47 ,  , -12.3? , 0.2 ,  , 1.75 , 
668 , 3HSPJ081603.0-121553 ,  , 124.01242 , -12.26472 , 4.3 , 0.31 , 0.08 , -12.3 , 0.2 ,  ,  , 2WHSPJ081602.8-121552
669 , 3HSPJ081627.2-131152 , 5BZBJ0816-1311 , 124.11333 , -13.19778 , 72.1 , 0.37 , 2.18 , -11 , 3.98 , 2FHL J0816.3-1311 , 1.78 , 2WHSPJ081627.1-131152
670 , 3HSPJ081751.0+324340 , 5BZBJ0817+3243 , 124.46246 , 32.72778 , 7.5 , 0.32 , 0.05 , -12.3 , 0.2 ,  , 2.18 , 
671 , 3HSPJ081915.3+064221 ,  , 124.81392 , 6.70583 , 1.8 , 0.68 , 0.08 , -12.8? , 0.06 ,  ,  , 2WHSPJ081915.3+064220
672 , 3HSPJ081917.6-075626 , 5BZBJ0819-0756 , 124.82325 , -7.94056 , 7.3 , 0.37 , 0.39 , -11.5 , 1.26 ,  , 1.58 , 2WHSPJ081917.5-075626
673 , 3HSPJ081941.8+053023 ,  , 124.92433 , 5.50639 , 9.7 , 0.37 , 0.2 , -12.3 , 0.2 ,  ,  , 
674 , 3HSPJ082021.1-280159 ,  , 125.09125 , -28.03306 , 20.4 ,  , 0.22 , -11.7 , 0.79 , 2FHL J0819.9-2805 , 1.41 , 
675 , 3HSPJ082030.8-031413 ,  , 125.12846 , -3.23694 , 4.9 , 0.45 , 0.34 , -12.1 , 0.32 ,  ,  , 2WHSPJ082030.7-031412
676 , 3HSPJ082051.2+235345 , 5BZBJ0820+2353 , 125.21329 , 23.89583 , 48.8 , 0.402 , 0.07 , -12 , 0.4 ,  , 2.23 , 
677 , 3HSPJ082130.2+213721 ,  , 125.37592 , 21.6225 , 3.2 , 0.67 , 0.02 , -12.8 , 0.06 ,  ,  , 2WHSPJ082130.1+213720
678 , 3HSPJ082253.0+701357 ,  , 125.72167 , 70.2325 , 112.8 , 0.168 ,  , -11.7 , 0.79 ,  ,  , 2WHSPJ082253.2+701357
679 , 3HSPJ082314.6-632930 ,  , 125.81079 , -63.49167 , 16.3 , 0.23 , 0.17 , -12.1 , 0.32 ,  , 1.8 , 2WHSPJ082314.5-632930
680 , 3HSPJ082320.5+112551 , 5BZBJ0823+1125 , 125.83562 , 11.43083 , 10.2 , 0.44 , 0.11 , -12.4 , 0.16 ,  ,  , 2WHSPJ082320.5+112550
681 , 3HSPJ082355.6+394747 ,  , 125.98179 , 39.79639 , 3.2 , 0.5 , 0.2 , -12.3 , 0.2 ,  ,  , 2WHSPJ082355.6+394747
682 , 3HSPJ082406.5+613619 ,  , 126.02721 , 61.60528 , 22.8 , 0.401 , 0.11 , -11.9 , 0.5 ,  ,  , 2WHSPJ082406.4+613619
683 , 3HSPJ082427.9+624938 ,  , 126.11613 , 62.82722 , 5.7 , 0.097 , 0.06 , -12.4 , 0.16 ,  ,  , 2WHSPJ082427.7+624937
684 , 3HSPJ082555.3+401332 ,  , 126.48033 , 40.22556 , 26.9 , 0.406 , 0.12 , -12.4 , 0.16 ,  ,  , 2WHSPJ082555.2+401332
685 , 3HSPJ082627.9-640415 ,  , 126.61608 , -64.07083 , 29.8 , 0.24 , 2.56 , -11.1 , 3.16 ,  , 2.34 , 2WHSPJ082627.7-640414
686 , 3HSPJ082706.2-070845 ,  , 126.77567 , -7.14583 , 174.1 , 0.247 , 0.9 , -11.6 , 1 ,  , 2.07 , 2WHSPJ082706.1-070844
687 , 3HSPJ082707.1+084121 , 5BZBJ0827+0841 , 126.7795 , 8.68917 , 15.4 , 0.41 ,  , -12.3? , 0.2 ,  ,  , 2WHSPJ082707.0+084121
688 , 3HSPJ082707.1-310923 ,  , 126.77967 , -31.15639 , 80.2 ,  , 0.13 , -12 , 0.4 ,  ,  , 
689 , 3HSPJ082801.1+231217 , 5BZBJ0828+2312 , 127.00479 , 23.20472 , 36.8 , 0.5 ,  , -12.4 , 0.16 ,  , 1.86 , 
690 , 3HSPJ082814.2+415351 , 5BZGJ0828+4153 , 127.05925 , 41.8975 , 91.1 , 0.225 , 0.22 , -12 , 0.4 ,  , 1.96 , 2WHSPJ082814.2+415351
691 , 3HSPJ082904.8+175415 , 5BZGJ0829+1754 , 127.27012 , 17.90417 , 336.3 , 0.089 , 0.39 , -11.8 , 0.63 ,  , 2.41 , 2WHSPJ082904.7+175415
692 , 3HSPJ083010.9+523027 ,  , 127.5455 , 52.5075 , 5.4 , 0.205 , 0.09 , -12.3 , 0.2 ,  , 1.97 , 2WHSPJ083010.9+523027
693 , 3HSPJ083015.1-094455 ,  , 127.56308 , -9.74861 , 12.9 , 0.5 , 0.42 , -11.8 , 0.63 ,  ,  , 2WHSPJ083015.1-094454
694 , 3HSPJ083117.4+513350 ,  , 127.82233 , 51.56389 , 5.4 , 0.57 , 0.04 , -13 , 0.04 ,  ,  , 2WHSPJ083117.2+513350
695 , 3HSPJ083133.1+174630 , 5BZBJ0831+1746 , 127.88771 , 17.775 , 33.3 , 0.3 ,  , >-12.2 , 0.25 ,  , 1.89 , 
696 , 3HSPJ083251.5+330011 , 5BZBJ0832+3300 , 128.21442 , 33.00306 , 4.5 , 0.671 , 0.39 , -12 , 0.4 ,  ,  , 2WHSPJ083251.4+330011
697 , 3HSPJ083357.1+472653 , 5BZBJ0833+4726 , 128.48788 , 47.44806 , 11.7 , 0.494 , 0.23 , -12.1 , 0.32 ,  ,  , 2WHSPJ083357.0+472653
698 , 3HSPJ083417.6+182501 , 5BZBJ0834+1825 , 128.57325 , 18.41694 , 20.4 , 0.33 ,  , -12.5 , 0.13 ,  ,  , 2WHSPJ083417.5+182500
699 , 3HSPJ083713.3-185941 ,  , 129.30546 , -18.99472 , 38.5 ,  , 0.06 , -12.3 , 0.2 ,  ,  , 2WHSPJ083713.3-185940
