id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
936 , 3HSPJ110337.6-232931 , 5BZBJ1103-2329 , 165.90675 , -23.49194 , 121.1 , 0.186 , 5.75 , -10.6 , 10 , 2FHL J1104.0-2331 , 1.64 , 2WHSPJ110337.6-232930
937 , 3HSPJ110339.0-402402 ,  , 165.91292 , -40.40056 , 46.9 , 0.22 , 0.14 , -11.9 , 0.5 ,  ,  , 2WHSPJ110339.1-402402
938 , 3HSPJ110356.2+002236 , 5BZGJ1103+0022 , 165.98408 , 0.37667 , 63.1 , 0.275 , 0.1 , -12.4 , 0.16 ,  ,  , 2WHSPJ110356.0+002236
939 , 3HSPJ110357.3+261118 ,  , 165.98871 , 26.18833 , 8.1 , 0.712 , 0.29 , -12.2 , 0.25 ,  , 2.17 , 2WHSPJ110357.1+261117
940 , 3HSPJ110425.0+423454 ,  , 166.10396 , 42.58167 , 8 , 0.453 , 0.16 , -12.2 , 0.25 ,  ,  , 2WHSPJ110424.9+423454
941 , 3HSPJ110427.3+381231 , 5BZBJ1104+3812 , 166.11383 , 38.20861 , 768.6 , 0.03 , 78.21 , -9.7 , 79.43 , 2FHL J1104.4+3812 , 1.77 , 2WHSPJ110427.3+381230
942 , 3HSPJ110530.7+311436 ,  , 166.37771 , 31.24333 , 3.5 , 0.42 , 0.08 , -12.6 , 0.1 ,  ,  , 2WHSPJ110530.6+311435
943 , 3HSPJ110600.4+375445 ,  , 166.5015 , 37.9125 , 1.5 , 0.64 ,  , -13.1? , 0.03 ,  ,  , 2WHSPJ110600.3+375445
944 , 3HSPJ110651.9+650604 ,  , 166.71612 , 65.10111 , 3.9 , 0.73 ,  , -12.7? , 0.08 ,  ,  , 2WHSPJ110651.7+650603
945 , 3HSPJ110748.1+150210 , 5BZBJ1107+1502 , 166.95025 , 15.03611 , 43.6 , 0.25 , 0.91 , -11.8 , 0.63 ,  , 1.99 , 2WHSPJ110747.9+150209
946 , 3HSPJ110804.9+164820 ,  , 167.0205 , 16.80556 , 1.5 , 0.476 , 0.09 , -12.7? , 0.08 ,  ,  , 2WHSPJ110804.9+164820
947 , 3HSPJ110858.4-014931 , 5BZGJ1108-0149 , 167.24346 , -1.82528 , 81.8 , 0.106 , 0.37 , -12 , 0.4 ,  ,  , 2WHSPJ110858.3-014931
948 , 3HSPJ110916.2+241120 , 5BZBJ1109+2411 , 167.31738 , 24.18889 , 34.4 , 0.35 ,  , -12 , 0.4 ,  , 1.89 , 
949 , 3HSPJ110938.5+373611 , 5BZBJ1109+3736 , 167.41046 , 37.60306 , 4.7 , 0.398 ,  , -12.2? , 0.25 ,  , 1.66 , 
950 , 3HSPJ111008.4-392615 ,  , 167.53487 , -39.4375 , 18.5 , 0.29 , 0.11 , -12.5 , 0.13 ,  ,  , 2WHSPJ111008.2-392615
951 , 3HSPJ111037.1+713356 , 5BZBJ1110+7133 , 167.65667 , 71.56556 , 56 ,  , 0.16 , -12 , 0.4 ,  , 2.03 , 2WHSPJ111037.6+713356
952 , 3HSPJ111112.6+584657 ,  , 167.80246 , 58.7825 , 32.5 , 0.642 , 0.07 , -12.8? , 0.06 ,  ,  , 2WHSPJ111112.4+584656
953 , 3HSPJ111130.9+345203 , 5BZBJ1111+3452 , 167.87871 , 34.8675 , 8.6 , 0.68 , 0.52 , -11.8 , 0.63 ,  , 2.37 , 2WHSPJ111130.9+345204
