id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Power Law Index , Flux 50-100 MeV (ph/cm2/s) , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Signif. Peak , Flux Peak (ph/cm2/s) , Flux Peak Error (ph/cm2/s) , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Association , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
21 , 4FGL J0005.9+3824 , 1.4986 , 38.401 ,  , 6.580e-13 , PowerLaw , 2.6667964 , 3.338e-8 , 1.645e-8 , 3.500e-9 , 3.945e-10 , 3.640e-11 , 4.493e-13 , <5.520e-12 , 5.209e-12 , 3.709e-12 , 2.227e-12 , 8.893e-13 , 2.316e-13 , 1.013e-14 , 1.885e-17 , 8.8915615 , 0.000000032840816 , 0.0000000042001824 , 3FGL J0006.4+3825 ,  , N ,  , fsrq , S4 0003+38 , 0.9926908 , 1.48823080417 , 38.3375414 , 0.000000075
22 , 4FGL J0006.3-0620 , 1.5992 , -6.3493 ,  , 3.817e-13 , PowerLaw , 2.1706007 , 6.206e-9 , 9.264e-10 , 3.293e-10 , 6.737e-11 , 4.044e-11 , 6.356e-12 , <6.492e-12 , 9.874e-13 , 2.189e-13 , 2.216e-13 , 1.592e-13 , 2.721e-13 , 1.502e-13 , 2.415e-17 ,  ,  ,  ,  ,  , N ,  , bll , CGRaBS J0006-0623 , 0.9901411 , 1.55788704167 , -6.39314870278 , 0.000000068
23 , 4FGL J0006.4+0135 , 1.6094 , 1.5982 ,  , 4.169e-13 , PowerLaw , 2.0946035 , <1.744e-8 , 1.149e-9 , 3.728e-10 , 1.308e-10 , 4.819e-11 , 1.092e-11 , <6.003e-12 , 4.868e-15 , 2.736e-13 , 2.531e-13 , 3.114e-13 , 3.272e-13 , 2.600e-13 , 1.757e-16 ,  ,  ,  , 3FGL J0006.2+0135 ,  , N ,  , bcu , NVSS J000626+013611 , 0.99729097 , 1.61218634167 , 1.60288485 , 0.0000015
24 , 4FGL J0006.6+4618 , 1.6697 , 46.3046 ,  , 6.666e-13 , PowerLaw , 2.521416 , <2.656e-8 , 1.092e-8 , 8.006e-10 , 1.129e-10 , 5.309e-11 , 7.604e-12 , <5.213e-12 , 2.519e-13 , 2.495e-12 , 5.176e-13 , 2.579e-13 , 3.433e-13 , 1.737e-13 , 1.272e-18 ,  ,  ,  , 3FGL J0006.6+4618 ,  , N ,  ,  ,  , 0 ,  ,  , 
25 , 4FGL J0007.0+7303 , 1.768 , 73.0512 ,  , 3.454e-12 , PLSuperExpCutoff , 2.027981 , 1.770e-7 , 1.644e-7 , 1.134e-7 , 4.970e-8 , 1.540e-8 , 1.452e-9 , 5.329e-11 , 2.929e-11 , 4.248e-11 , 8.288e-11 , 1.211e-10 , 9.896e-11 , 2.947e-11 , 1.481e-12 ,  ,  ,  , 3FGL J0007.0+7302 ,  J0007+7308 , E , CTA 1 , PSR , PSR J0007+7303 , 1 , 1.752500057220459 , 73.0519027709961 , 0.000049116108
26 , 4FGL J0007.7+4008 , 1.9275 , 40.134 ,  , 4.987e-13 , PowerLaw , 2.1567848 , 1.275e-8 , 2.366e-9 , 1.121e-9 , 2.418e-10 , 1.145e-10 , 1.122e-11 , <4.102e-12 , 2.030e-12 , 5.598e-13 , 7.553e-13 , 5.723e-13 , 7.721e-13 , 2.656e-13 , 5.843e-17 ,  ,  ,  , 3FGL J0007.9+4006 ,  , N ,  , bcu , NVSS J000741+400830 , 0.9971315 , 1.92361052083 , 40.1416492417 , 0.00000045
27 , 4FGL J0008.0+4711 , 2.0024 , 47.195 ,  , 1.117e-12 , LogParabola , 2.0525768 , 3.556e-8 , 6.666e-9 , 4.224e-9 , 1.370e-9 , 5.235e-10 , 1.239e-10 , 2.165e-11 , 5.821e-12 , 1.666e-12 , 2.975e-12 , 3.301e-12 , 3.531e-12 , 2.882e-12 , 9.244e-13 ,  ,  ,  , 3FGL J0008.0+4713 ,  , N ,  , bll , MG4 J000800+4712 , 0.99995524 , 1.99988861667 , 47.20215795 , 0.00000024
28 , 4FGL J0008.0-3937 , 2.0048 , -39.632 ,  , 3.957e-13 , LogParabola , 2.5685303 , 2.880e-9 , 1.730e-10 , 1.026e-9 , 1.311e-10 , 6.364e-12 , <6.738e-12 , <4.321e-12 , 4.992e-13 , 4.987e-14 , 7.217e-13 , 2.756e-13 , 3.322e-14 , 2.556e-16 , 3.776e-19 ,  ,  ,  ,  ,  , N ,  , bcu , PMN J0008-3945 , 0.9207396 , 2.038343667984009 , -39.756378173828125 , 0.0045
29 , 4FGL J0008.4+6926 , 2.1072 , 69.4409 ,  , 1.195e-12 , PowerLaw , 2.3719156 , <4.221e-8 , <1.084e-8 , 1.288e-9 , 3.052e-10 , 4.314e-11 , 2.407e-11 , <3.534e-12 , 1.814e-20 , 4.813e-17 , 8.470e-13 , 7.072e-13 , 2.837e-13 , 5.578e-13 , 2.182e-17 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
30 , 4FGL J0008.4-2339 , 2.111 , -23.6514 ,  , 4.951e-13 , PowerLaw , 1.6839513 , <9.106e-9 , 1.066e-9 , 1.607e-10 , 9.104e-11 , 3.996e-11 , 5.313e-11 , 7.262e-12 , 2.117e-15 , 2.644e-13 , 1.145e-13 , 2.257e-13 , 2.848e-13 , 1.317e-12 , 4.428e-13 ,  ,  ,  , 3FGL J0008.6-2340 ,  , N ,  , bll , RBS 0016 , 0.9926684 , 2.14749853333 , -23.6577799306 , 0.00000054
31 , 4FGL J0008.4+1455 , 2.1246 , 14.9232 ,  , 5.131e-13 , PowerLaw , 2.1995182 , 4.549e-9 , 5.727e-9 , 7.283e-10 , 2.766e-10 , 7.350e-11 , 2.412e-11 , <4.694e-12 , 7.229e-13 , 1.350e-12 , 4.884e-13 , 6.519e-13 , 4.930e-13 , 5.684e-13 , 2.405e-17 ,  ,  ,  , 3FGL J0008.3+1456 ,  , N ,  , bcu , NVSS J000825+145635 , 0.9917855 , 2.10583264167 , 14.9432751944 , 0.00000021
32 , 4FGL J0008.9+2509 , 2.2358 , 25.1536 ,  , 5.607e-13 , PowerLaw , 2.8815272 , 1.608e-8 , 4.082e-9 , 1.350e-9 , 1.338e-10 , 1.174e-12 , <8.735e-12 , <4.793e-12 , 2.489e-12 , 9.022e-13 , 8.396e-13 , 2.958e-13 , 7.301e-15 , 1.792e-15 , 4.843e-18 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
33 , 4FGL J0009.1-5012 , 2.2962 , -50.2107 ,  , 3.961e-13 , PowerLaw , 2.4078472 , <1.404e-8 , 3.020e-9 , 8.579e-10 , 1.381e-10 , 3.587e-11 , 6.949e-13 , <4.348e-12 , 6.552e-15 , 6.974e-13 , 5.618e-13 , 3.190e-13 , 2.349e-13 , 1.605e-14 , 7.886e-17 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
