id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Power Law Index , Flux 50-100 MeV (ph/cm2/s) , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Signif. Peak , Flux Peak (ph/cm2/s) , Flux Peak Error (ph/cm2/s) , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Association , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
2682 , 4FGL J1359.9+3616 , 209.9905 , 36.2826 ,  , 4.190e-13 , PowerLaw , 2.7531 , 2.054e-8 , 4.999e-9 , 1.121e-9 , 1.256e-10 , 1.866e-12 , <6.112e-12 , <4.621e-12 , 3.195e-12 , 1.118e-12 , 7.067e-13 , 2.808e-13 , 1.176e-14 , 1.910e-16 , 4.579e-16 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0.23 , 209.90232849121094 , 36.12403106689453 , 0.0045
2683 , 4FGL J1400.0-2415 , 210.0206 , -24.266 ,  , 4.380e-13 , LogParabola , 2.1204033 , <9.232e-9 , 1.290e-9 , 6.850e-10 , 5.820e-10 , 1.332e-10 , 8.649e-12 , <5.887e-12 , 1.856e-14 , 3.763e-13 , 5.560e-13 , 1.423e-12 , 8.126e-13 , 1.710e-13 , 4.223e-17 ,  ,  ,  , 3FGL J1400.2-2413 ,  , N ,  ,  ,  , 0 ,  ,  , 
2684 , 4FGL J1400.2-4010 , 210.0542 , -40.1806 ,  , 4.594e-13 , PowerLaw , 2.0406637 , <2.038e-8 , <2.575e-9 , 1.822e-10 , 1.632e-10 , 3.363e-11 , 1.818e-11 , 3.420e-12 , 1.846e-14 , 3.805e-16 , 1.245e-13 , 3.907e-13 , 2.298e-13 , 4.350e-13 , 1.796e-13 ,  ,  ,  ,  ,  , N ,  , bcu , 2MASS J14002208-4008235 , 0.965779 , 210.0919952392578 , -40.139888763427734 , 0.0045
2685 , 4FGL J1400.4-6050 , 210.1174 , -60.8483 ,  , 1.533e-12 , LogParabola , 2.4825947 , 3.357e-9 , 4.980e-9 , 2.168e-9 , 1.077e-9 , 2.863e-10 , <8.409e-12 , <5.463e-12 , 5.819e-13 , 1.453e-12 , 1.796e-12 , 2.616e-12 , 1.693e-12 , 3.899e-21 , 1.374e-16 ,  ,  ,  ,  ,  J1407-6136c , N ,  ,  ,  , 0 ,  ,  , 
2686 , 4FGL J1400.6-5605 , 210.1567 , -56.0879 ,  , 1.225e-12 , PowerLaw , 2.50829 , 3.875e-8 , 1.684e-8 , 4.053e-9 , 5.981e-10 , 1.297e-10 , 2.295e-11 , <5.679e-12 , 6.085e-12 , 3.851e-12 , 2.624e-12 , 1.368e-12 , 8.400e-13 , 5.251e-13 , 2.231e-19 , 9.927494 , 0.00000006521823 , 0.000000007774001 , 3FGL J1400.7-5605 ,  , N ,  , bcu , PMN J1400-5605 , 0.999017 , 210.174073571 , -56.0821033083 , 0.00000084
2687 , 4FGL J1400.6-1432 , 210.1581 , -14.547 ,  , 6.139e-13 , LogParabola , 2.2984846 , 7.686e-9 , 3.273e-9 , 1.847e-9 , 9.561e-10 , 1.379e-10 , <5.209e-12 , <4.550e-12 , 1.332e-12 , 9.088e-13 , 1.351e-12 , 2.211e-12 , 8.200e-13 , 3.440e-17 , 5.470e-17 ,  ,  ,  , 3FGL J1400.5-1437 ,  , N ,  ,  ,  , 0 ,  ,  , 
2688 , 4FGL J1401.1-3717 , 210.2971 , -37.2975 ,  , 5.610e-13 , PowerLaw , 2.0423725 , 3.897e-9 , 9.117e-9 , 6.254e-10 , 1.070e-10 , 8.176e-11 , 2.429e-11 , 6.060e-12 , 6.233e-13 , 2.182e-12 , 4.272e-13 , 2.560e-13 , 5.585e-13 , 5.813e-13 , 3.181e-13 ,  ,  ,  ,  ,  , N ,  , bcu , NVSS J140113-371757 , 0 , 210.30838012695312 , -37.299583435058594 , 0.0045
2689 , 4FGL J1401.2-0915 , 210.3061 , -9.2577 ,  , 4.844e-13 , PowerLaw , 2.0750313 , <1.917e-8 , <1.983e-9 , 8.969e-10 , 1.957e-10 , 7.166e-11 , 6.149e-12 , 7.469e-12 , 3.974e-14 , 3.084e-19 , 6.103e-13 , 4.668e-13 , 4.877e-13 , 1.467e-13 , 3.869e-13 ,  ,  ,  ,  ,  , N ,  , fsrq , PKS B1358-090 , 0.99484414 , 210.272215933 , -9.27543655278 , 0.00000014
2690 , 4FGL J1401.2-6116 , 210.3073 , -61.2701 ,  , 5.000e-12 , PowerLaw , 2.4754055 , <3.112e-7 , <9.099e-8 , 6.267e-9 , 1.585e-9 , 3.452e-10 , 7.399e-12 , 6.603e-12 , 9.296e-13 , 2.542e-12 , 4.073e-12 , 3.638e-12 , 2.243e-12 , 1.698e-13 , 2.944e-13 ,  ,  ,  ,  ,  J1407-6136c , N ,  ,  ,  , 0 ,  ,  , 
2691 , 4FGL J1401.7-3217 , 210.4464 , -32.2877 ,  , 4.795e-13 , PowerLaw , 2.1365044 , <1.796e-8 , 3.244e-9 , 5.634e-10 , 1.289e-10 , 6.731e-11 , 9.917e-12 , 1.856e-12 , 1.059e-15 , 7.691e-13 , 3.806e-13 , 3.055e-13 , 4.548e-13 , 2.351e-13 , 9.384e-14 , 5.6774707 , 0.000000008989931 , 0.000000002049041 ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2692 , 4FGL J1402.5-1827 , 210.6398 , -18.4626 ,  , 6.628e-13 , PowerLaw , 2.6736012 , <2.114e-8 , 4.323e-9 , 1.644e-9 , 2.939e-10 , 3.105e-11 , <4.914e-12 , 1.539e-12 , 1.627e-14 , 9.738e-13 , 1.045e-12 , 6.620e-13 , 1.974e-13 , 4.747e-19 , 6.425e-14 ,  ,  ,  ,  ,  , N ,  , bcu , GALEXASC J140252.65-182705.8 , 0.9736414 , 210.690648071 , -18.43234065 , 0.00000018
2693 , 4FGL J1402.6+1600 , 210.6584 , 16.0016 ,  , 4.072e-13 , PowerLaw , 2.1376674 , <1.145e-8 , 2.163e-11 , 9.914e-10 , 5.635e-11 , 1.992e-11 , 1.908e-11 , 2.906e-12 , 2.522e-15 , 5.129e-15 , 6.698e-13 , 1.336e-13 , 1.346e-13 , 4.523e-13 , 1.468e-13 ,  ,  ,  ,  ,  , N ,  , bll , 4C +16.39 , 0.9977989 , 210.685473171 , 15.999073725 , 0.00000013
2694 , 4FGL J1402.6-3330 , 210.6652 , -33.5045 ,  , 6.377e-13 , PowerLaw , 2.7864783 , 1.207e-8 , 3.629e-9 , 2.069e-9 , 8.232e-11 , 2.324e-11 , <4.976e-12 , <4.507e-12 , 1.876e-12 , 8.091e-13 , 1.300e-12 , 1.835e-13 , 1.459e-13 , 1.629e-22 , 3.962e-16 ,  ,  ,  ,  ,  , N ,  , fsrq , PMN J1402-3334 , 0.98331964 , 210.67250061035156 , -33.56917190551758 , 0.0045
2695 , 4FGL J1402.7+1306 , 210.6919 , 13.1072 ,  , 2.090e-13 , LogParabola , 2.2061906 , 1.203e-11 , <7.088e-10 , 2.317e-10 , 3.017e-10 , 4.340e-11 , <5.488e-12 , 1.514e-15 , 2.085e-15 , 5.095e-19 , 2.004e-13 , 7.278e-13 , 2.381e-13 , 6.095e-17 , 4.207e-17 ,  ,  ,  , 3FGL J1403.1+1304 ,  , N ,  ,  ,  , 0 ,  ,  , 
2696 , 4FGL J1403.4+4319 , 210.8684 , 43.3225 ,  , 2.621e-13 , PowerLaw , 1.5463812 , 7.893e-9 , <5.313e-10 , <5.110e-11 , 3.159e-11 , 1.577e-11 , 9.420e-12 , 5.289e-12 , 1.288e-12 , 1.577e-18 , 1.347e-21 , 7.942e-14 , 1.143e-13 , 2.368e-13 , 3.422e-13 ,  ,  ,  ,  ,  , N ,  , bll , NVSS J140319+432018 ,  , 210.831073446 , 43.3388488917 , 0.0000018
2697 , 4FGL J1403.5-6236 , 210.8793 , -62.6042 ,  , 1.191e-12 , LogParabola , 2.3951051 , <1.320e-7 , <2.113e-8 , 2.543e-9 , 2.058e-9 , 5.566e-10 , 2.597e-12 , 2.888e-12 , 3.177e-13 , 2.634e-17 , 2.200e-12 , 5.306e-12 , 3.239e-12 , 4.923e-14 , 8.028e-14 ,  ,  ,  ,  ,  J1407-6136c , N ,  ,  ,  , 0 ,  ,  , 
2698 , 4FGL J1404.4-6159 , 211.1249 , -61.9843 ,  , 6.300e-12 , LogParabola , 2.5773356 , 8.478e-8 , 1.678e-8 , 1.238e-8 , 3.243e-9 , 2.366e-10 , <1.362e-11 , <8.462e-12 , 1.460e-11 , 4.481e-12 , 8.582e-12 , 7.156e-12 , 1.338e-12 , 3.303e-16 , 6.287e-17 ,  ,  ,  ,  ,  J1407-6136c , N ,  ,  ,  , 0 ,  ,  , 
2699 , 4FGL J1404.8-5237 , 211.2028 , -52.6256 ,  , 7.456e-13 , LogParabola , 2.3404639 , 2.072e-8 , 5.743e-9 , 7.170e-10 , 5.831e-10 , 9.254e-11 , 1.010e-11 , <4.956e-12 , 3.592e-12 , 1.597e-12 , 5.335e-13 , 1.383e-12 , 5.721e-13 , 2.078e-13 , 1.211e-18 ,  ,  ,  , 3FGL J1404.3-5241 ,  , N ,  ,  ,  , 0 ,  ,  , 
2700 , 4FGL J1404.8+6554 , 211.2158 , 65.9048 ,  , 4.526e-13 , PowerLaw , 1.8645823 , 2.879e-9 , 1.795e-9 , 3.709e-10 , 2.982e-10 , 9.992e-11 , 3.944e-11 , 1.386e-11 , 4.638e-13 , 4.370e-13 , 2.588e-13 , 7.263e-13 , 6.971e-13 , 9.604e-13 , 7.826e-13 , 13.979137 , 0.0000000063345937 , 0.00000000086757523 , 3FGL J1404.8+6554 ,  , N ,  , bll , NVSS J140450+655428 , 0.9997293 , 211.20654296875 , 65.90878295898438 , 0.0045
2701 , 4FGL J1404.8+0402 , 211.2244 , 4.0352 ,  , 5.735e-13 , PowerLaw , 2.070329 , 4.194e-9 , 3.767e-9 , 1.751e-9 , 2.566e-10 , 1.534e-10 , 2.525e-11 , 1.454e-11 , 6.701e-13 , 8.989e-13 , 1.192e-12 , 6.123e-13 , 1.044e-12 , 6.026e-13 , 7.547e-13 ,  ,  ,  , 3FGL J1404.8+0401 ,  , N ,  , bll , MS 1402.3+0416 , 0.9990593 , 211.212130275 , 4.03394903889 , 0.00001
2702 , 4FGL J1405.1-6119 , 211.2982 , -61.3321 ,  , 9.304e-12 , LogParabola , 2.490905 , <2.228e-7 , 1.031e-7 , 4.761e-8 , 8.310e-9 , 9.494e-10 , 7.920e-11 , 1.924e-11 , 4.189e-11 , 2.646e-11 , 3.255e-11 , 1.862e-11 , 5.589e-12 , 1.585e-12 , 5.348e-13 ,  ,  ,  , 3FGL J1405.4-6119 ,  J1407-6136c , N ,  ,  ,  , 0 ,  ,  , 
2703 , 4FGL J1405.3-0640 , 211.3291 , -6.683 ,  , 4.477e-13 , PowerLaw , 2.0892086 , <1.660e-8 , <2.017e-9 , 7.367e-10 , 5.477e-11 , 6.429e-11 , 1.099e-11 , <5.036e-12 , 1.252e-16 , 2.044e-17 , 5.005e-13 , 1.305e-13 , 4.368e-13 , 2.618e-13 , 4.037e-16 ,  ,  ,  ,  ,  , N ,  , bcu , NVSS J140504-064056 ,  , 211.269128421 , -6.6823631 , 0.00000052
2704 , 4FGL J1405.3-6008 , 211.3371 , -60.1455 ,  , 1.702e-12 , PowerLaw , 2.1506789 , <2.275e-7 , 1.770e-8 , 2.285e-9 , 3.129e-10 , 1.217e-10 , 2.399e-11 , 7.204e-12 , 8.136e-13 , 4.192e-12 , 1.541e-12 , 7.408e-13 , 8.207e-13 , 5.680e-13 , 3.622e-13 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2705 , 4FGL J1405.9-1853 , 211.4789 , -18.8941 ,  , 4.467e-13 , PowerLaw , 1.8777741 , 1.694e-8 , 3.891e-9 , 4.801e-11 , 1.243e-10 , 1.921e-11 , 2.306e-11 , <6.584e-12 , 2.726e-12 , 9.463e-13 , 3.344e-14 , 3.023e-13 , 1.338e-13 , 5.610e-13 , 2.953e-17 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2706 , 4FGL J1406.1-2508 , 211.5445 , -25.1386 ,  , 5.440e-13 , PowerLaw , 2.0783288 , 3.480e-10 , 1.159e-9 , 9.237e-10 , 3.204e-10 , 1.188e-10 , 1.646e-11 , 1.244e-11 , 5.558e-14 , 2.763e-13 , 6.284e-13 , 7.639e-13 , 8.079e-13 , 3.924e-13 , 6.435e-13 , 9.460423 , 0.000000011491974 , 0.000000001946341 , 3FGL J1406.0-2508 ,  , N ,  , bll , NVSS J140609-250808 , 0.99977213 , 211.540041829 , -25.1359376639 , 0.00000064
2707 , 4FGL J1406.4-1654 , 211.6216 , -16.9073 ,  , 4.966e-13 , PowerLaw , 2.2272167 , <1.779e-8 , 2.801e-9 , 1.518e-10 , 1.995e-10 , 2.559e-11 , 5.057e-12 , 4.064e-12 , 1.763e-15 , 6.583e-13 , 1.015e-13 , 4.689e-13 , 1.711e-13 , 1.189e-13 , 1.984e-13 ,  ,  ,  ,  ,  , N ,  , bcu , NVSS J140638-164954 , 0.93487555 , 211.65921020507812 , -16.831445693969727 , 0.0045
2708 , 4FGL J1406.6-3934 , 211.6655 , -39.5727 ,  , 4.287e-13 , PowerLaw , 1.5493098 , 5.189e-9 , 1.586e-9 , <2.094e-10 , 1.663e-11 , 2.759e-11 , 2.013e-11 , 1.302e-11 , 8.463e-13 , 3.985e-13 , 4.031e-15 , 4.180e-14 , 1.999e-13 , 5.059e-13 , 8.410e-13 , 5.1951103 , 0.0000000013440627 , 0.0000000004745396 ,  ,  , N ,  , bll , 1RXS J140630.3-393508 , 0.99919045 , 211.62539672851562 , -39.58580017089844 , 0.009
2709 , 4FGL J1406.9+1643 , 211.742 , 16.7206 ,  , 4.138e-13 , PowerLaw , 1.812417 , <9.282e-9 , 6.160e-11 , 1.176e-10 , 1.070e-10 , 4.188e-11 , 2.536e-11 , 3.805e-12 , 5.720e-16 , 1.508e-14 , 8.258e-14 , 2.620e-13 , 2.940e-13 , 6.209e-13 , 2.196e-13 ,  ,  ,  , 3FGL J1406.6+1644 ,  , N ,  , bll , RBS 1350 , 0.9977472 , 211.7467041015625 , 16.70170021057129 , 0.009
2710 , 4FGL J1407.4-0820 , 211.873 , -8.342 ,  , 9.961e-13 , PowerLaw , 2.6488845 , 3.208e-8 , 1.156e-8 , 7.472e-10 , 2.373e-10 , 8.075e-12 , 3.698e-12 , 2.079e-12 , 5.010e-12 , 2.609e-12 , 4.763e-13 , 5.358e-13 , 5.148e-14 , 8.349e-14 , 8.747e-14 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2711 , 4FGL J1407.6-4301 , 211.9194 , -43.0234 ,  , 5.790e-13 , PowerLaw , 2.134325 , <2.300e-8 , 2.527e-9 , 7.782e-10 , 2.964e-10 , 9.787e-11 , 1.322e-11 , 6.038e-12 , 8.675e-16 , 5.993e-13 , 5.259e-13 , 7.029e-13 , 6.614e-13 , 3.135e-13 , 3.055e-13 , 7.7700815 , 0.000000011880917 , 0.000000002245544 , 3FGL J1407.7-4256 ,  , N ,  , bcu , SUMSS J140739-430231 , 0.99951446 , 211.915504021 , -43.0422051917 , 0.00000052
2712 , 4FGL J1407.7-3017 , 211.9374 , -30.2858 ,  , 4.903e-13 , LogParabola , 2.5642931 , <1.832e-8 , 2.859e-9 , 1.554e-9 , 3.403e-10 , 6.128e-12 , <5.838e-12 , <4.167e-12 , 4.464e-14 , 8.312e-13 , 1.093e-12 , 7.105e-13 , 3.199e-14 , 2.744e-16 , 4.842e-16 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0.6 , 212.072998046875 , -30.378999710083008 , 0.0045
2713 , 4FGL J1408.0+3834 , 212.017 , 38.5806 ,  , 2.924e-13 , PowerLaw , 1.9524986 , <1.510e-8 , <1.474e-9 , 2.746e-10 , 5.310e-11 , 1.903e-11 , 1.752e-11 , <4.051e-12 , 1.652e-14 , 2.134e-15 , 1.896e-13 , 1.282e-13 , 1.314e-13 , 4.231e-13 , 1.876e-20 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2714 , 4FGL J1408.1-6010 , 212.0293 , -60.1678 ,  , 2.203e-12 , PowerLaw , 2.2746477 , <2.523e-7 , <4.320e-8 , 2.238e-9 , 5.284e-10 , 1.440e-10 , 3.590e-12 , 9.518e-12 , 6.106e-13 , 1.026e-16 , 1.488e-12 , 1.236e-12 , 9.576e-13 , 8.399e-14 , 4.563e-13 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2715 , 4FGL J1408.6-2917 , 212.1627 , -29.2913 ,  , 6.731e-13 , PowerLaw , 2.7929358 , 3.379e-8 , 1.472e-8 , 2.412e-9 , 2.721e-10 , 1.215e-11 , 6.791e-13 , <4.305e-12 , 5.248e-12 , 3.279e-12 , 1.514e-12 , 6.062e-13 , 7.625e-14 , 1.513e-14 , 2.297e-18 ,  ,  ,  , 3FGL J1408.0-2924 ,  , N ,  ,  ,  , 0 ,  ,  , 
2716 , 4FGL J1408.7-3747 , 212.183 , -37.7889 ,  , 5.957e-13 , PowerLaw , 2.3672729 , <2.009e-8 , <2.426e-9 , 1.728e-9 , 3.636e-10 , 7.150e-11 , <6.945e-12 , <5.958e-12 , 9.451e-13 , 2.398e-16 , 1.137e-12 , 8.429e-13 , 4.704e-13 , 5.470e-18 , 1.668e-15 ,  ,  ,  , 3FGL J1409.2-3743 ,  , N ,  ,  ,  , 0 ,  ,  , 
2717 , 4FGL J1408.9-0751 , 212.2356 , -7.8575 ,  , 1.447e-12 , LogParabola , 2.3458438 , 1.058e-8 , 1.565e-8 , 7.139e-9 , 1.384e-9 , 2.872e-10 , 5.228e-11 , 4.310e-12 , 1.705e-12 , 3.757e-12 , 4.785e-12 , 3.200e-12 , 1.841e-12 , 1.165e-12 , 1.602e-13 , 15.602438 , 0.000000053155 , 0.0000000040876724 , 3FGL J1408.8-0751 ,  , N ,  , fsrq , PKS B1406-076 , 0.9992862 , 212.235338346 , -7.87407404722 , 0.000000068
2718 , 4FGL J1408.9-5845c , 212.2402 , -58.75 ,  , 1.904e-12 , PowerLaw , 2.5405426 , <1.379e-7 , 1.733e-8 , 4.342e-9 , 4.691e-10 , 5.822e-11 , 1.625e-11 , 8.688e-12 , 4.891e-13 , 3.954e-12 , 2.801e-12 , 1.070e-12 , 3.756e-13 , 3.707e-13 , 3.788e-13 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2719 , 4FGL J1409.1-6121e , 212.294 , -61.353 , FGES J1409.1-6121 , 1.281e-11 , LogParabola , 2.1473799 , <3.022e-7 , <1.792e-7 , 6.031e-8 , 2.127e-8 , 5.507e-9 , 1.497e-9 , 3.534e-10 , 4.973e-13 , 9.065e-14 , 4.215e-11 , 5.107e-11 , 3.709e-11 , 3.487e-11 , 1.533e-11 ,  ,  ,  , 3FGL J1405.4-6119 ,  J1407-6136c , N ,  ,  ,  ,  ,  ,  , 
2720 , 4FGL J1410.1+0202 , 212.5287 , 2.0354 ,  , 5.465e-13 , PowerLaw , 2.3066187 , 1.864e-9 , 8.226e-9 , 1.639e-9 , 3.705e-10 , 1.419e-10 , 9.103e-12 , <6.113e-12 , 2.950e-13 , 1.918e-12 , 1.086e-12 , 8.641e-13 , 9.400e-13 , 2.123e-13 , 1.121e-16 , 10.0663185 , 0.000000022711497 , 0.000000003119355 ,  ,  , N ,  , bll , PKS 1407+022 , 0.997862 , 212.519399825 , 2.05192021667 , 0.00000012
2721 , 4FGL J1410.3+1438 , 212.5908 , 14.6434 ,  , 4.491e-13 , PowerLaw , 2.0687022 , <1.559e-8 , 1.010e-9 , 7.704e-10 , 1.753e-10 , 8.082e-11 , 1.564e-11 , 4.010e-12 , 7.321e-14 , 2.411e-13 , 5.247e-13 , 4.185e-13 , 5.504e-13 , 3.734e-13 , 2.083e-13 ,  ,  ,  ,  ,  , N ,  , bll , NVSS J141028+143841 , 0.9933808 , 212.616894387 , 14.6445044194 , 0.00000031
2722 , 4FGL J1410.4+2820 , 212.6229 , 28.342 ,  , 4.321e-13 , PowerLaw , 2.074635 , 3.801e-10 , <1.404e-9 , 7.324e-10 , 2.288e-10 , 7.805e-11 , 1.641e-11 , <5.459e-12 , 6.071e-14 , 1.545e-15 , 4.984e-13 , 5.459e-13 , 5.311e-13 , 3.916e-13 , 4.355e-16 ,  ,  ,  , 3FGL J1410.4+2821 ,  , N ,  , bll , RX J1410.4+2821 , 0.9990923 , 212.623155017 , 28.34879385 , 0.0000012
2723 , 4FGL J1410.5+6215 , 212.6283 , 62.2662 ,  , 3.576e-13 , PowerLaw , 2.334299 , <7.044e-9 , 3.584e-9 , 4.308e-11 , 5.880e-11 , 1.474e-11 , 4.076e-12 , 2.257e-12 , 5.473e-16 , 8.336e-13 , 2.845e-14 , 1.368e-13 , 9.733e-14 , 9.481e-14 , 1.058e-13 ,  ,  ,  ,  ,  , N ,  , bcu , TXS 1409+625 , 0.9980568 , 212.647574408 , 62.2798316083 , 0.00000014
2724 , 4FGL J1410.7+7405 , 212.6869 , 74.0899 ,  , 5.112e-13 , LogParabola , 1.860342 , 7.033e-9 , <1.011e-9 , 3.038e-10 , 2.078e-10 , 1.584e-10 , 4.204e-11 , 9.750e-12 , 1.219e-12 , 5.277e-18 , 2.492e-13 , 5.443e-13 , 1.116e-12 , 9.690e-13 , 3.376e-13 ,  ,  ,  , 3FGL J1410.9+7406 ,  , N ,  ,  ,  , 0 ,  ,  , 
2725 , 4FGL J1411.5-0723 , 212.886 , -7.3984 ,  , 5.161e-13 , PowerLaw , 2.0439048 , <3.116e-8 , 6.364e-9 , 6.089e-10 , 9.816e-11 , 5.395e-11 , 4.566e-12 , 1.271e-11 , 1.280e-13 , 1.523e-12 , 4.159e-13 , 2.349e-13 , 3.685e-13 , 1.092e-13 , 6.670e-13 ,  ,  ,  , 3FGL J1411.4-0724 ,  , N ,  , bcu , NVSS J141133-072252 , 0.9949821 , 212.888851908 , -7.38150594444 , 0.00000031
2726 , 4FGL J1411.5-6133 , 212.8964 , -61.5539 ,  , 5.976e-12 , PLSuperExpCutoff , 2.504716 , <2.682e-7 , 1.368e-7 , 9.489e-9 , 2.490e-9 , 3.337e-10 , <1.813e-11 , <8.607e-12 , 2.751e-12 , 3.504e-11 , 6.699e-12 , 5.631e-12 , 1.799e-12 , 8.017e-16 , 2.151e-16 ,  ,  ,  , 3FGL J1409.7-6132 ,  J1407-6136c , N ,  , PSR , PSR J1410-6132 , 1 , 212.59829711914062 , -61.53559875488281 , 0.0005621513
2727 , 4FGL J1411.8+5249 , 212.9692 , 52.8278 ,  , 3.476e-13 , PowerLaw , 2.0219452 , <1.383e-8 , 1.374e-9 , 4.639e-10 , 1.766e-10 , 1.794e-11 , 1.557e-11 , 8.375e-12 , 7.649e-15 , 3.294e-13 , 3.177e-13 , 4.234e-13 , 1.229e-13 , 3.734e-13 , 4.432e-13 , 5.17048 , 0.0000000056017386 , 0.0000000013325315 , 3FGL J1412.0+5249 ,  , N ,  , bll , SBS 1410+530 , 0.998233 , 212.956015292 , 52.8167286389 , 0.00000011
2728 , 4FGL J1412.0+3836 , 213.013 , 38.6102 ,  , 3.447e-13 , PowerLaw , 1.8513292 , <1.613e-8 , <1.605e-9 , 2.985e-10 , 7.373e-11 , 2.449e-11 , 2.346e-11 , 2.899e-12 , 1.328e-14 , 1.988e-15 , 2.086e-13 , 1.798e-13 , 1.711e-13 , 5.721e-13 , 1.646e-13 , 3.2465224 , 0.0000000022492832 , 0.00000000083716123 ,  ,  , N ,  , bcu , SDSS J141207.44+383521.8 , 0.9940266 , 213.03419494628906 , 38.58919906616211 , 0.0045
2729 , 4FGL J1412.1-6631 , 213.0321 , -66.5218 ,  , 8.630e-13 , LogParabola , 2.3596656 , 9.935e-9 , 3.715e-9 , 2.333e-9 , 8.075e-10 , 1.732e-10 , 7.080e-12 , <5.167e-12 , 1.722e-12 , 1.027e-12 , 1.716e-12 , 1.891e-12 , 1.052e-12 , 1.435e-13 , 4.083e-17 ,  ,  ,  , 3FGL J1412.3-6635 ,  , N ,  ,  ,  , 0 ,  ,  , 
2730 , 4FGL J1412.1+7427 , 213.0383 , 74.45 ,  , 4.125e-13 , PowerLaw , 2.357082 , <1.649e-8 , 3.414e-9 , 7.488e-10 , 1.794e-10 , 4.853e-11 , <3.538e-12 , 4.096e-12 , 6.506e-13 , 7.924e-13 , 4.932e-13 , 4.163e-13 , 3.197e-13 , 1.137e-17 , 1.905e-13 ,  ,  ,  ,  ,  , N ,  , bll , GB6 J1411+7424 , 0.98127335 , 212.8946075439453 , 74.40809631347656 , 0.0045
2731 , 4FGL J1412.9+5018 , 213.2409 , 50.301 ,  , 3.837e-13 , PowerLaw , 2.7076101 , 9.709e-9 , 3.255e-9 , 6.402e-10 , 1.216e-10 , 1.027e-11 , 1.378e-12 , <3.780e-12 , 1.513e-12 , 7.310e-13 , 4.055e-13 , 2.730e-13 , 6.502e-14 , 3.095e-14 , 1.597e-18 , 5.4385386 , 0.0000000133678615 , 0.000000002823574 ,  ,  , N ,  , bcu , SDSS J141302.28+501927.4 , 0.97291076 , 213.259531442 , 50.324240325 , 0.00000075
2732 , 4FGL J1413.1-6519 , 213.2944 , -65.3321 ,  , 1.240e-12 , PowerLaw , 2.2531097 , <8.112e-8 , <1.080e-8 , 2.870e-9 , 4.231e-10 , 1.296e-10 , 2.844e-11 , 7.543e-12 , 1.685e-12 , 8.426e-16 , 1.913e-12 , 9.918e-13 , 8.638e-13 , 6.668e-13 , 3.646e-13 ,  ,  ,  , 3FGL J1413.2-6518 ,  , N ,  , sey , Circinus galaxy , 0.9993746 , 213.291714017 , -65.3457126917 , 0.0000025
2733 , 4FGL J1413.5-6205 , 213.382 , -62.0903 ,  , 5.683e-12 , PLSuperExpCutoff , 2.330003 , 3.908e-8 , 6.557e-8 , 6.039e-8 , 2.148e-8 , 5.311e-9 , 3.665e-10 , 1.018e-11 , 6.411e-12 , 1.660e-11 , 4.321e-11 , 5.142e-11 , 3.307e-11 , 7.088e-12 , 2.829e-13 ,  ,  ,  , 3FGL J1413.4-6205 ,  J1407-6136c , N ,  , PSR , PSR J1413-6205 , 1 , 213.37460327148438 , -62.09389877319336 , 0.00003191561
2734 , 4FGL J1415.2-5550 , 213.8166 , -55.8389 ,  , 1.159e-12 , LogParabola , 2.7346234 , <4.668e-8 , 8.766e-9 , 2.362e-9 , 3.752e-10 , <2.162e-11 , 1.396e-12 , <4.049e-12 , 2.431e-13 , 2.294e-12 , 1.556e-12 , 7.828e-13 , 3.722e-15 , 2.645e-14 , 5.189e-16 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
