id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , Spectrum Type , PL Flux Density (cm-2 MeV-1 s-1) , PL Flux Density Error (cm-2 MeV-1 s-1) , Power Law Index , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Class , Low confidence Class
11 , 4FGL J0003.3+2511 , 00 03 19.75 , +25 11 28.31 ,  , 5.41502 , 1.955e-10 , 4.043e-11 , PowerLaw , 8.261e-14 , 1.660e-14 , 2.209443 , 1.601e-9 , 4.373e-10 , 2.123e-10 , 3.844e-11 , 7.317e-12 , <6.668e-12 , 3.152e-14 , 3.770e-13 , 2.930e-13 , 4.997e-13 , 2.575e-13 , 1.723e-13 , 3.006e-15 ,  , 
12 , 4FGL J0003.3-1928 , 00 03 23.16 , -19 28 03.36 ,  , 12.278203 , 3.903e-10 , 4.901e-11 , LogParabola , 3.536e-13 , 4.043e-14 , 2.2405226 , 1.015e-9 , 1.035e-9 , 3.090e-10 , 7.021e-11 , 4.167e-12 , <4.956e-12 , 9.508e-16 , 2.731e-13 , 7.460e-13 , 7.198e-13 , 4.291e-13 , 8.555e-14 , 6.151e-17 , bcu , 
13 , 4FGL J0003.3-5905 , 00 03 23.59 , -59 05 42.71 ,  , 5.896742 , 1.312e-10 , 2.774e-11 , PowerLaw , 1.076e-13 , 2.087e-14 , 2.3632457 , 3.825e-9 , 3.762e-10 , 1.131e-10 , 3.917e-11 , <6.120e-12 , <4.050e-12 , 6.441e-14 , 8.872e-13 , 2.476e-13 , 2.623e-13 , 2.578e-13 , 4.529e-17 , 4.008e-17 , bcu , 
14 , 4FGL J0003.6+3059 , 00 03 37.07 , +30 59 23.27 ,  , 10.7909 , 4.434e-10 , 5.667e-11 , LogParabola , 1.973e-13 , 2.472e-14 , 2.2234128 , 1.042e-9 , 5.533e-10 , 3.796e-10 , 5.304e-11 , 4.056e-12 , <5.027e-12 , 4.998e-15 , 3.038e-13 , 4.510e-13 , 9.022e-13 , 3.054e-13 , 7.688e-14 , 1.228e-16 ,  , 
15 , 4FGL J0003.9-1149 , 00 03 59.66 , -11 49 30.36 ,  , 10.233945 , 2.871e-10 , 4.050e-11 , PowerLaw , 1.079e-13 , 1.479e-14 , 2.1277146 , 1.288e-9 , 7.003e-10 , 2.604e-10 , 6.355e-11 , 1.311e-11 , <6.165e-12 , 5.124e-17 , 3.056e-13 , 4.736e-13 , 6.178e-13 , 4.298e-13 , 3.110e-13 , 1.281e-21 , bll , 
16 , 4FGL J0004.0+5715 , 00 04 00.4 , +57 15 28.08 ,  , 7.6055784 , 3.784e-10 , 5.555e-11 , PowerLaw , 2.490e-13 , 3.527e-14 , 2.4375134 , 1.012e-9 , 1.626e-9 , 3.395e-10 , 8.677e-11 , <7.834e-12 , <3.972e-12 , 6.437e-16 , 2.330e-13 , 1.062e-12 , 7.818e-13 , 5.663e-13 , 1.184e-14 , 3.640e-17 ,  , 
17 , 4FGL J0004.0+0840 , 00 04 01.75 , +08 40 32.52 ,  , 6.7910714 , 2.233e-10 , 4.134e-11 , PowerLaw , 4.571e-14 , 8.451e-15 , 2.1019166 , 3.012e-9 , 2.812e-10 , 1.640e-10 , 8.056e-11 , 3.020e-12 , 1.344e-12 , 3.124e-12 , 7.165e-13 , 1.907e-13 , 3.902e-13 , 5.465e-13 , 7.184e-14 , 6.890e-14 , bcu , 
18 , 4FGL J0004.4-4737 , 00 04 26.18 , -47 37 23.88 ,  , 19.205418 , 4.857e-10 , 4.382e-11 , PowerLaw , 1.032e-12 , 7.422e-14 , 2.4149895 , 9.344e-9 , 2.159e-9 , 4.013e-10 , 9.122e-11 , 5.860e-12 , <4.388e-12 , 4.524e-12 , 2.157e-12 , 1.412e-12 , 9.263e-13 , 5.969e-13 , 1.353e-13 , 4.064e-17 , fsrq , 
19 , 4FGL J0004.4-4001 , 00 04 28.41 , -40 01 30.36 ,  , 6.4158683 , 1.607e-10 , 3.172e-11 , PowerLaw , 1.353e-13 , 2.459e-14 , 2.4249508 , 4.005e-9 , 4.912e-10 , 1.377e-10 , 2.904e-11 , 4.101e-12 , 1.760e-12 , 7.371e-13 , 9.235e-13 , 3.210e-13 , 3.176e-13 , 1.898e-13 , 9.456e-14 , 7.989e-14 ,  , 
20 , 4FGL J0005.6+6746c , 00 05 39.72 , +67 46 07.67 ,  , 4.274817 , 4.035e-10 , 8.516e-11 , PowerLaw , 3.733e-13 , 7.671e-14 , 2.6314557 , <1.475e-8 , 3.156e-9 , 4.584e-10 , 4.184e-11 , 3.629e-12 , <3.803e-12 , 4.357e-17 , 8.507e-15 , 2.016e-12 , 1.037e-12 , 2.673e-13 , 8.206e-14 , 1.537e-17 ,  , 
