id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , Spectrum Type , PL Flux Density (cm-2 MeV-1 s-1) , PL Flux Density Error (cm-2 MeV-1 s-1) , Power Law Index , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Class , Low confidence Class
879 , 4FGL J0458.0+1152 , 04 58 01.65 , +11 52 21.72 ,  , 6.0568542 , 1.855e-10 , 5.359e-11 , PowerLaw , 3.948e-15 , 9.726e-16 , 1.8294468 , 5.440e-9 , 9.592e-11 , 7.012e-11 , 5.197e-11 , 1.703e-11 , 1.190e-11 , 1.407e-12 , 1.330e-12 , 6.720e-14 , 1.714e-13 , 3.641e-13 , 4.162e-13 , 6.820e-13 , bcu , 
880 , 4FGL J0459.4+1921 , 04 59 26.37 , +19 21 44.28 ,  , 4.9176817 , 1.663e-10 , 5.227e-11 , PowerLaw , 5.077e-15 , 1.376e-15 , 1.924367 , <3.382e-9 , 5.352e-10 , 1.192e-11 , 3.990e-11 , 2.534e-11 , 4.654e-12 , 9.003e-13 , 1.839e-15 , 3.707e-13 , 2.885e-14 , 2.764e-13 , 6.135e-13 , 2.563e-13 , bcu , 
881 , 4FGL J0459.7-5413 , 04 59 42.88 , -54 13 26.39 ,  , 5.3879433 , 1.179e-10 , 2.752e-11 , PowerLaw , 2.666e-14 , 6.212e-15 , 2.1698086 , 5.433e-10 , 1.220e-10 , 6.848e-11 , 3.844e-11 , 6.979e-12 , <4.750e-12 , 4.246e-13 , 1.284e-13 , 8.214e-14 , 1.618e-13 , 2.587e-13 , 1.649e-13 , 7.056e-18 ,  , 
882 , 4FGL J0500.1+5447 , 05 00 08.47 , +54 47 03.48 ,  , 4.9467835 , 2.449e-10 , 5.298e-11 , PowerLaw , 2.601e-14 , 5.528e-15 , 2.1612391 , <4.081e-9 , 7.461e-10 , 9.396e-11 , 1.029e-10 , <6.025e-12 , 3.682e-12 , 1.841e-14 , 1.349e-16 , 5.026e-13 , 2.222e-13 , 6.935e-13 , 2.395e-15 , 1.844e-13 , bcu , 
883 , 4FGL J0500.2+5237 , 05 00 17.64 , +52 37 59.52 ,  , 13.628329 , 4.829e-10 , 6.719e-11 , PowerLaw , 1.472e-14 , 1.809e-15 , 1.8692821 , <3.816e-9 , 1.724e-9 , 2.365e-10 , 1.047e-10 , 4.644e-11 , 2.729e-11 , 1.291e-16 , 1.705e-17 , 1.202e-12 , 5.756e-13 , 7.299e-13 , 1.130e-12 , 1.538e-12 , bcu , 
884 , 4FGL J0500.3+4639e , 05 00 19.2 , +46 39 35.99 , HB 9 , 17.429165 , 3.149e-9 , 2.247e-10 , LogParabola , 4.311e-12 , 2.673e-13 , 2.3527281 , 2.829e-8 , 1.314e-8 , 2.232e-9 , 4.926e-10 , 3.948e-11 , 1.083e-11 , 8.490e-12 , 7.189e-12 , 9.026e-12 , 5.086e-12 , 2.993e-12 , 8.176e-13 , 3.161e-13 , SNR , 
885 , 4FGL J0500.6-4911 , 05 00 41.95 , -49 11 10.31 ,  , 9.286275 , 1.711e-10 , 3.124e-11 , PowerLaw , 9.272e-15 , 1.645e-15 , 1.779477 , <1.383e-9 , 2.724e-10 , 9.848e-11 , 4.265e-11 , 2.378e-11 , 7.340e-12 , 3.501e-14 , 3.860e-17 , 1.920e-13 , 2.419e-13 , 3.006e-13 , 5.840e-13 , 4.297e-13 , bll , 
886 , 4FGL J0500.9-6945e , 05 00 59.99 , -69 45 00.0 , LMC-FarWest , 16.027803 , 1.759e-9 , 1.219e-10 , PowerLaw , 7.638e-13 , 5.077e-14 , 2.1127834 , 1.869e-8 , 5.292e-9 , 1.179e-9 , 3.777e-10 , 1.162e-10 , 3.709e-11 , 1.415e-12 , 4.441e-12 , 3.586e-12 , 2.801e-12 , 2.559e-12 , 2.761e-12 , 1.893e-12 ,  , 
887 , 4FGL J0501.0+2424 , 05 01 04.96 , +24 24 40.68 ,  , 6.08728 , 1.772e-10 , 4.598e-11 , PowerLaw , 5.741e-15 , 1.386e-15 , 1.8305273 , <2.348e-9 , <2.173e-10 , 9.845e-11 , 6.375e-11 , 2.117e-11 , 7.399e-12 , 5.452e-12 , 3.914e-18 , 1.296e-19 , 2.406e-13 , 4.466e-13 , 5.173e-13 , 4.239e-13 , bcu , 
888 , 4FGL J0501.2-0158 , 05 01 12.55 , -01 58 29.64 ,  , 71.55265 , 3.711e-9 , 1.163e-10 , LogParabola , 3.613e-11 , 7.944e-13 , 2.3971555 , 6.404e-8 , 1.696e-8 , 3.121e-9 , 5.898e-10 , 6.223e-11 , <4.750e-12 , 1.532e-11 , 1.518e-11 , 1.120e-11 , 7.127e-12 , 3.730e-12 , 1.371e-12 , 4.100e-17 , fsrq , 
889 , 4FGL J0501.7+3048 , 05 01 43.51 , +30 48 10.08 ,  , 6.8679605 , 2.956e-10 , 6.845e-11 , PowerLaw , 9.489e-15 , 1.914e-15 , 1.9818867 , 3.678e-10 , 1.186e-9 , 2.335e-10 , 3.504e-11 , 2.915e-11 , 1.203e-11 , 3.590e-17 , 8.853e-14 , 8.157e-13 , 5.620e-13 , 2.411e-13 , 7.017e-13 , 6.469e-13 , bcu , 
890 , 4FGL J0502.2+3016 , 05 02 15.02 , +30 16 30.72 ,  , 4.058635 , 1.611e-10 , 5.141e-11 , PowerLaw , 5.931e-15 , 1.735e-15 , 1.9625535 , 3.622e-9 , <4.753e-10 , 4.213e-11 , 4.517e-11 , 2.022e-11 , <4.547e-12 , 2.486e-15 , 8.736e-13 , 3.762e-16 , 1.016e-13 , 3.115e-13 , 4.876e-13 , 2.646e-18 ,  , 
891 , 4FGL J0502.4+0609 , 05 02 28.34 , +06 09 45.72 ,  , 9.098039 , 3.650e-10 , 5.523e-11 , PowerLaw , 8.685e-13 , 1.080e-13 , 2.6544974 , 8.894e-9 , 2.640e-9 , 3.208e-10 , 4.921e-11 , <5.272e-12 , 4.474e-12 , 7.122e-12 , 2.007e-12 , 1.682e-12 , 7.240e-13 , 3.135e-13 , 2.124e-22 , 1.879e-13 , fsrq , 
892 , 4FGL J0502.5+1340 , 05 02 32.18 , +13 40 06.59 ,  , 6.165861 , 3.085e-10 , 5.597e-11 , PowerLaw , 9.866e-14 , 1.777e-14 , 2.256905 , 2.545e-9 , 5.405e-10 , 3.141e-10 , 5.741e-11 , 8.515e-12 , 3.583e-12 , 2.119e-14 , 5.963e-13 , 3.601e-13 , 7.361e-13 , 3.825e-13 , 1.995e-13 , 1.729e-13 , bll , 
893 , 4FGL J0502.5+3438 , 05 02 32.78 , +34 38 01.68 ,  , 21.364975 , 1.589e-9 , 1.078e-10 , LogParabola , 1.710e-12 , 1.053e-13 , 2.3647938 , 1.478e-8 , 5.309e-9 , 1.281e-9 , 2.797e-10 , 3.240e-11 , <4.090e-12 , 2.770e-12 , 3.629e-12 , 3.612e-12 , 2.969e-12 , 1.781e-12 , 7.120e-13 , 3.388e-18 , bcu , 
894 , 4FGL J0502.9+6533 , 05 02 58.82 , +65 33 39.24 ,  , 5.468043 , 1.206e-10 , 3.457e-11 , PowerLaw , 2.971e-15 , 7.452e-16 , 1.8243806 , <1.752e-9 , 5.602e-11 , 8.657e-11 , 2.395e-11 , 1.273e-11 , 9.683e-12 , 7.549e-14 , 2.975e-20 , 3.927e-14 , 2.117e-13 , 1.679e-13 , 3.112e-13 , 5.561e-13 , bll , 
895 , 4FGL J0503.1-6045 , 05 03 11.87 , -60 45 07.2 ,  , 4.587123 , 1.213e-10 , 2.891e-11 , PowerLaw , 3.181e-13 , 6.825e-14 , 2.7713194 , 8.758e-9 , 1.151e-9 , 1.010e-10 , 1.357e-11 , 1.724e-12 , <4.029e-12 , 1.524e-12 , 1.955e-12 , 7.241e-13 , 2.255e-13 , 8.536e-14 , 3.849e-14 , 2.813e-17 , fsrq , 
896 , 4FGL J0503.5-1116 , 05 03 33.04 , -11 16 42.96 ,  , 7.6015625 , 2.021e-10 , 4.376e-11 , PowerLaw , 8.388e-15 , 1.694e-15 , 1.8626941 , 2.353e-10 , 2.637e-10 , 1.093e-10 , 7.033e-11 , 1.015e-11 , 1.288e-11 , 7.632e-13 , 5.731e-14 , 1.840e-13 , 2.662e-13 , 4.908e-13 , 2.472e-13 , 7.281e-13 , bll , 
897 , 4FGL J0503.6+4518 , 05 03 40.84 , +45 18 40.68 ,  , 11.560352 , 6.021e-10 , 7.910e-11 , PowerLaw , 3.535e-14 , 4.412e-15 , 1.9650891 , <5.902e-9 , 1.211e-9 , 3.643e-10 , 1.678e-10 , 4.979e-11 , 1.550e-11 , 2.848e-13 , 4.214e-15 , 8.349e-13 , 8.783e-13 , 1.157e-12 , 1.201e-12 , 8.394e-13 , bcu , 
898 , 4FGL J0505.3+0459 , 05 05 22.34 , +04 59 57.83 ,  , 77.74859 , 6.564e-9 , 1.620e-10 , LogParabola , 1.382e-11 , 2.780e-13 , 2.3461006 , 8.244e-8 , 2.609e-8 , 5.573e-9 , 1.141e-9 , 8.897e-11 , <4.819e-12 , 1.975e-11 , 1.983e-11 , 1.746e-11 , 1.283e-11 , 7.255e-12 , 1.964e-12 , 2.349e-17 , fsrq , 
899 , 4FGL J0505.6+0415 , 05 05 37.0 , +04 15 57.6 ,  , 14.457587 , 5.571e-10 , 7.092e-11 , PowerLaw , 2.856e-14 , 3.418e-15 , 1.9091542 , 6.982e-9 , 9.035e-10 , 3.379e-10 , 1.469e-10 , 5.734e-11 , 1.521e-11 , 1.227e-14 , 1.693e-12 , 6.270e-13 , 8.192e-13 , 1.020e-12 , 1.390e-12 , 8.430e-13 , bll , 
900 , 4FGL J0505.6-1558 , 05 05 38.8 , -15 58 00.11 ,  , 8.101738 , 2.483e-10 , 4.217e-11 , PowerLaw , 3.911e-14 , 6.641e-15 , 2.0799973 , 2.352e-9 , 5.621e-10 , 1.940e-10 , 4.503e-11 , 2.244e-11 , 3.134e-12 , 2.396e-13 , 5.608e-13 , 3.823e-13 , 4.625e-13 , 3.063e-13 , 5.350e-13 , 1.620e-13 , bll , 
901 , 4FGL J0505.6+6405 , 05 05 41.85 , +64 05 15.71 ,  , 16.471384 , 7.195e-10 , 6.118e-11 , LogParabola , 5.520e-13 , 4.357e-14 , 2.3643699 , 4.212e-9 , 2.794e-9 , 4.975e-10 , 1.190e-10 , 1.077e-11 , 1.415e-12 , 3.577e-16 , 1.065e-12 , 1.926e-12 , 1.145e-12 , 7.364e-13 , 2.276e-13 , 4.317e-14 , bcu , 
902 , 4FGL J0505.8+3322 , 05 05 49.29 , +33 22 27.12 ,  , 6.148063 , 3.399e-10 , 6.572e-11 , PowerLaw , 3.716e-14 , 7.084e-15 , 2.1501822 , <5.482e-9 , 3.912e-10 , 3.649e-10 , 4.437e-11 , 2.129e-11 , 1.443e-12 , 4.128e-13 , 8.691e-17 , 2.639e-13 , 8.640e-13 , 2.993e-13 , 5.041e-13 , 7.254e-14 , bcu , 
903 , 4FGL J0505.8-0419 , 05 05 50.35 , -04 19 05.52 ,  , 11.713505 , 4.852e-10 , 5.696e-11 , PowerLaw , 5.448e-13 , 5.761e-14 , 2.4084356 , 4.859e-9 , 2.355e-9 , 2.921e-10 , 1.060e-10 , 8.170e-12 , 9.457e-12 , 1.818e-18 , 1.122e-12 , 1.542e-12 , 6.747e-13 , 6.943e-13 , 1.887e-13 , 4.317e-13 , fsrq , 
904 , 4FGL J0505.8-3817 , 05 05 53.97 , -38 17 47.4 ,  , 6.963381 , 1.774e-10 , 3.272e-11 , PowerLaw , 1.137e-13 , 1.953e-14 , 2.3066998 , 3.599e-9 , 4.720e-10 , 1.361e-10 , 4.007e-11 , 8.087e-12 , <6.720e-12 , 9.953e-13 , 8.392e-13 , 3.127e-13 , 3.174e-13 , 2.654e-13 , 1.886e-13 , 1.788e-15 , bll , 
905 , 4FGL J0506.0+6113 , 05 06 02.9 , +61 13 32.52 ,  , 15.520011 , 5.909e-10 , 6.003e-11 , PowerLaw , 4.358e-14 , 4.264e-15 , 2.0269206 , 1.248e-9 , 2.044e-9 , 2.861e-10 , 1.642e-10 , 2.840e-11 , 2.287e-11 , 2.842e-12 , 2.992e-13 , 1.399e-12 , 6.857e-13 , 1.124e-12 , 6.806e-13 , 1.208e-12 , bll , 
906 , 4FGL J0506.0-0357c , 05 06 05.11 , -03 57 38.87 ,  , 5.9676247 , 2.684e-10 , 6.129e-11 , LogParabola , 2.549e-14 , 6.027e-15 , 2.214963 , <1.984e-9 , <1.808e-10 , 2.218e-10 , 6.328e-11 , 7.573e-12 , <4.858e-12 , 7.857e-17 , 8.094e-17 , 4.895e-17 , 5.943e-13 , 3.805e-13 , 1.435e-13 , 2.355e-16 , bcu , 
907 , 4FGL J0506.1+5028 , 05 06 08.39 , +50 28 16.32 ,  , 9.2983675 , 3.853e-10 , 7.235e-11 , LogParabola , 4.374e-14 , 6.615e-15 , 2.1129758 , 1.962e-9 , 4.180e-10 , 1.591e-10 , 1.600e-10 , 6.414e-12 , <3.825e-12 , 9.672e-17 , 5.723e-13 , 3.616e-13 , 4.323e-13 , 1.031e-12 , 1.265e-13 , 2.199e-17 ,  , 
908 , 4FGL J0506.3-0620c , 05 06 23.56 , -06 20 12.12 ,  , 4.625731 , 1.803e-10 , 4.428e-11 , PowerLaw , 4.605e-13 , 9.303e-14 , 2.543002 , 4.613e-9 , 8.159e-10 , 1.709e-10 , 2.767e-11 , 3.376e-12 , <6.845e-12 , 4.329e-12 , 1.052e-12 , 5.263e-13 , 3.898e-13 , 1.784e-13 , 7.698e-14 , 1.764e-17 ,  , 
909 , 4FGL J0506.7-0857 , 05 06 44.16 , -08 57 38.51 ,  , 11.056393 , 3.837e-10 , 4.968e-11 , PowerLaw , 8.155e-14 , 1.053e-14 , 2.0936725 , 4.320e-9 , 8.642e-10 , 2.859e-10 , 7.537e-11 , 2.615e-11 , 1.055e-11 , 1.531e-17 , 1.029e-12 , 5.869e-13 , 6.807e-13 , 5.118e-13 , 6.226e-13 , 5.424e-13 , bll , 
910 , 4FGL J0506.9+0323 , 05 06 55.53 , +03 23 30.12 ,  , 10.239801 , 3.096e-10 , 4.977e-11 , PowerLaw , 2.307e-14 , 3.613e-15 , 1.9390795 , <3.323e-9 , 6.429e-10 , 2.189e-10 , 7.213e-11 , 1.635e-11 , 1.842e-11 , 1.127e-15 , 2.361e-16 , 4.446e-13 , 5.292e-13 , 4.988e-13 , 3.953e-13 , 1.008e-12 , bcu , 
911 , 4FGL J0506.9-5435 , 05 06 59.52 , -54 35 14.99 ,  , 23.891956 , 4.822e-10 , 4.768e-11 , LogParabola , 3.247e-14 , 2.927e-15 , 1.6371944 , 1.676e-9 , 2.512e-10 , 2.151e-10 , 1.521e-10 , 7.733e-11 , 4.339e-11 , 1.200e-12 , 4.702e-13 , 1.998e-13 , 5.651e-13 , 1.116e-12 , 1.898e-12 , 2.070e-12 , bll , 
912 , 4FGL J0507.4-3346 , 05 07 26.18 , -33 46 52.68 ,  , 10.098597 , 1.939e-10 , 3.642e-11 , PowerLaw , 6.904e-15 , 1.215e-15 , 1.7367791 , 5.223e-10 , 1.349e-10 , 1.050e-10 , 4.850e-11 , 2.923e-11 , 1.422e-11 , 1.479e-13 , 1.288e-13 , 9.558e-14 , 2.589e-13 , 3.436e-13 , 7.209e-13 , 8.479e-13 , bcu , 
913 , 4FGL J0507.7-6104 , 05 07 43.84 , -61 04 53.04 ,  , 22.36382 , 7.320e-10 , 5.123e-11 , PowerLaw , 7.276e-13 , 4.618e-14 , 2.4550116 , 1.181e-8 , 3.411e-9 , 6.330e-10 , 1.200e-10 , 1.452e-11 , <3.819e-12 , 4.801e-12 , 2.716e-12 , 2.222e-12 , 1.455e-12 , 7.817e-13 , 3.339e-13 , 1.583e-16 , fsrq , 
914 , 4FGL J0507.9+4647 , 05 07 54.86 , +46 47 42.35 ,  , 7.3251343 , 4.338e-10 , 6.910e-11 , PowerLaw , 1.369e-12 , 1.867e-13 , 2.679514 , 9.010e-9 , 2.517e-9 , 4.674e-10 , 5.327e-11 , <7.706e-12 , <4.471e-12 , 1.978e-12 , 2.029e-12 , 1.599e-12 , 1.052e-12 , 3.385e-13 , 2.386e-16 , 4.024e-18 , bcu , 
915 , 4FGL J0507.9+6737 , 05 07 58.94 , +67 37 20.27 ,  , 55.36612 , 1.659e-9 , 7.115e-11 , PowerLaw , 5.616e-14 , 2.318e-15 , 1.5784763 , 4.866e-10 , 1.942e-9 , 7.159e-10 , 4.712e-10 , 2.790e-10 , 1.857e-10 , 4.004e-16 , 1.219e-13 , 1.402e-12 , 1.794e-12 , 3.402e-12 , 6.991e-12 , 1.185e-11 , bll , 
916 , 4FGL J0508.2-1937 , 05 08 13.46 , -19 37 05.15 ,  , 7.3668523 , 2.144e-10 , 3.675e-11 , PowerLaw , 1.934e-13 , 3.060e-14 , 2.3411458 , 6.291e-10 , 8.179e-10 , 2.225e-10 , 3.653e-11 , <7.267e-12 , <4.643e-12 , 1.302e-15 , 1.462e-13 , 5.397e-13 , 5.171e-13 , 2.411e-13 , 8.370e-21 , 6.805e-18 , fsrq , 
917 , 4FGL J0508.2+5211 , 05 08 14.18 , +52 11 18.96 ,  , 4.650427 , 2.100e-10 , 5.023e-11 , PowerLaw , 2.135e-14 , 5.021e-15 , 2.1578097 , <2.946e-9 , 5.043e-10 , 2.272e-10 , 3.400e-11 , <7.214e-12 , 8.373e-12 , 5.056e-15 , 5.099e-16 , 3.399e-13 , 5.377e-13 , 2.292e-13 , 3.399e-15 , 4.198e-13 , bcu , 
918 , 4FGL J0509.1+1943 , 05 09 07.03 , +19 43 27.11 ,  , 4.189772 , 2.231e-10 , 6.576e-11 , PowerLaw , 2.179e-12 , 4.506e-13 , 2.7779815 , 2.112e-9 , 1.561e-9 , 2.421e-10 , 2.894e-11 , <6.689e-12 , <6.593e-12 , 3.826e-12 , 4.711e-13 , 9.813e-13 , 5.402e-13 , 1.819e-13 , 4.134e-16 , 7.459e-19 , bcu , 
919 , 4FGL J0509.2+5550 , 05 09 16.6 , +55 50 03.47 ,  , 6.9615793 , 3.764e-10 , 5.863e-11 , PowerLaw , 8.798e-14 , 1.371e-14 , 2.3124447 , 3.121e-9 , 1.044e-9 , 3.023e-10 , 1.048e-10 , 8.352e-12 , <3.968e-12 , 9.010e-14 , 7.276e-13 , 6.911e-13 , 7.047e-13 , 6.939e-13 , 1.947e-13 , 9.853e-19 , bcu , 
920 , 4FGL J0509.3-2917 , 05 09 23.99 , -29 17 29.75 ,  , 6.1693416 , 1.597e-10 , 3.249e-11 , PowerLaw , 1.724e-13 , 3.095e-14 , 2.3947651 , 1.279e-9 , 6.708e-10 , 1.050e-10 , 3.937e-11 , 8.812e-12 , <5.095e-12 , 1.554e-12 , 2.958e-13 , 4.399e-13 , 2.427e-13 , 2.582e-13 , 2.038e-13 , 5.170e-17 , bcu , 
921 , 4FGL J0509.4+1012 , 05 09 24.24 , +10 12 02.87 ,  , 13.523526 , 6.516e-10 , 6.694e-11 , PowerLaw , 9.998e-13 , 9.034e-14 , 2.423138 , 1.097e-8 , 3.258e-9 , 5.718e-10 , 8.548e-11 , 1.234e-11 , 4.035e-12 , 2.298e-18 , 2.529e-12 , 2.130e-12 , 1.319e-12 , 5.588e-13 , 2.845e-13 , 1.832e-13 , fsrq , 
922 , 4FGL J0509.4+0542 , 05 09 26.23 , +05 42 05.03 ,  , 77.42799 , 5.993e-9 , 1.606e-10 , LogParabola , 4.832e-12 , 1.179e-13 , 2.0751286 , 3.721e-8 , 1.449e-8 , 4.141e-9 , 1.437e-9 , 2.795e-10 , 9.312e-11 , 9.228e-12 , 9.122e-12 , 1.005e-11 , 9.918e-12 , 9.691e-12 , 6.542e-12 , 4.197e-12 , bll , 
923 , 4FGL J0509.6+8425 , 05 09 37.08 , +84 25 13.44 ,  , 4.3500476 , 6.188e-11 , 2.783e-11 , PowerLaw , 4.927e-12 , 9.808e-13 , 3.0508587 , 4.776e-9 , 5.922e-10 , 7.038e-11 , 1.297e-11 , <4.738e-12 , <3.953e-12 , 3.828e-13 , 1.040e-12 , 3.618e-13 , 1.532e-13 , 7.922e-14 , 6.207e-20 , 1.982e-17 , bll , 
924 , 4FGL J0509.6-0402 , 05 09 41.2 , -04 02 11.75 ,  , 8.347301 , 2.920e-10 , 5.178e-11 , PowerLaw , 2.231e-14 , 3.791e-15 , 2.0187516 , 7.718e-9 , 8.415e-10 , 1.249e-10 , 7.536e-11 , 2.575e-11 , 9.491e-12 , 2.851e-16 , 1.851e-12 , 5.765e-13 , 2.997e-13 , 5.163e-13 , 6.177e-13 , 5.030e-13 , bll , 
925 , 4FGL J0509.9-6417 , 05 09 57.02 , -64 17 20.76 ,  , 13.55405 , 3.358e-10 , 4.007e-11 , PowerLaw , 3.039e-14 , 3.579e-15 , 1.9401927 , 3.306e-9 , 8.117e-10 , 1.630e-10 , 6.971e-11 , 4.340e-11 , 1.525e-11 , 2.328e-12 , 7.991e-13 , 5.613e-13 , 3.941e-13 , 4.820e-13 , 1.049e-12 , 8.345e-13 , bcu , 
926 , 4FGL J0510.0+1800 , 05 10 04.34 , +18 00 48.6 ,  , 54.176163 , 4.108e-9 , 1.390e-10 , LogParabola , 4.184e-12 , 1.271e-13 , 2.180637 , 3.470e-8 , 1.049e-8 , 2.987e-9 , 9.024e-10 , 1.380e-10 , 1.587e-11 , 8.303e-12 , 8.549e-12 , 7.241e-12 , 7.070e-12 , 5.943e-12 , 3.141e-12 , 6.259e-13 , fsrq , 
927 , 4FGL J0510.4-1809 , 05 10 26.78 , -18 09 51.48 ,  , 4.0677905 , 1.227e-10 , 3.227e-11 , PowerLaw , 1.284e-13 , 3.135e-14 , 2.4411528 , 6.309e-10 , 9.571e-10 , 5.134e-11 , 1.842e-11 , 7.276e-12 , <4.690e-12 , 1.317e-15 , 1.452e-13 , 6.244e-13 , 1.182e-13 , 1.201e-13 , 1.675e-13 , 2.171e-17 , bcu , 
928 , 4FGL J0511.4-6804 , 05 11 24.36 , -68 04 58.79 ,  , 5.0058527 , 2.070e-10 , 4.499e-11 , PowerLaw , 4.227e-14 , 9.184e-15 , 2.2900302 , 6.918e-9 , 1.197e-9 , 9.293e-11 , 3.619e-11 , 1.874e-11 , <4.858e-12 , 5.387e-17 , 1.616e-12 , 7.943e-13 , 2.171e-13 , 2.402e-13 , 4.377e-13 , 1.656e-16 , bcu , 
929 , 4FGL J0512.3+3329 , 05 12 19.6 , +33 29 03.84 ,  , 5.579935 , 3.102e-10 , 6.645e-11 , PowerLaw , 2.658e-14 , 5.510e-15 , 2.14538 , 6.054e-9 , 9.005e-11 , 2.177e-10 , 8.955e-11 , 2.393e-11 , <4.629e-12 , 3.107e-12 , 1.434e-12 , 6.078e-14 , 5.157e-13 , 6.044e-13 , 5.668e-13 , 2.650e-17 ,  , 
930 , 4FGL J0512.5-2201 , 05 12 35.39 , -22 01 28.55 ,  , 4.171558 , 1.189e-10 , 3.081e-11 , PowerLaw , 4.561e-14 , 1.158e-14 , 2.3200543 , 3.220e-9 , 5.765e-10 , 2.872e-11 , 2.526e-11 , 1.647e-12 , 6.903e-12 , 8.351e-13 , 7.500e-13 , 3.813e-13 , 6.688e-14 , 1.671e-13 , 3.836e-14 , 3.254e-13 ,  , 
931 , 4FGL J0512.8+4041 , 05 12 52.46 , +40 41 40.19 ,  , 12.401675 , 7.199e-10 , 7.164e-11 , PowerLaw , 3.364e-13 , 3.267e-14 , 2.3517368 , 1.691e-8 , 2.135e-9 , 5.803e-10 , 1.439e-10 , 4.079e-11 , <4.775e-12 , 3.912e-12 , 3.925e-12 , 1.407e-12 , 1.347e-12 , 9.483e-13 , 9.471e-13 , 8.124e-18 , bcu , 
932 , 4FGL J0514.5+6247 , 05 14 30.45 , +62 47 52.08 ,  , 4.386392 , 1.435e-10 , 3.948e-11 , PowerLaw , 1.059e-14 , 2.814e-15 , 2.108687 , 2.749e-10 , 4.427e-10 , 9.665e-11 , 2.383e-11 , 8.156e-12 , 4.802e-12 , 5.764e-15 , 6.536e-14 , 3.001e-13 , 2.298e-13 , 1.616e-13 , 1.939e-13 , 2.455e-13 , bcu , 
933 , 4FGL J0514.6-4408 , 05 14 37.12 , -44 08 08.88 ,  , 20.456959 , 5.475e-10 , 5.262e-11 , PLSuperExpCutoff , 1.120e-12 , 7.820e-14 , 2.5372581 , 3.915e-9 , 2.992e-9 , 5.763e-10 , <6.540e-12 , <5.128e-12 , <3.531e-12 , 1.302e-13 , 1.053e-12 , 2.104e-12 , 1.180e-12 , 1.902e-18 , 3.034e-22 , 5.054e-23 , PSR , 
934 , 4FGL J0515.5-0125 , 05 15 33.74 , -01 25 09.48 ,  , 6.8220963 , 2.125e-10 , 4.577e-11 , PowerLaw , 1.529e-14 , 3.215e-15 , 1.9568095 , 2.036e-9 , 3.892e-10 , 9.910e-11 , 7.127e-11 , 1.683e-11 , 3.108e-12 , 3.449e-16 , 4.914e-13 , 2.685e-13 , 2.391e-13 , 4.918e-13 , 4.063e-13 , 1.689e-13 , bcu , 
935 , 4FGL J0515.6-4556 , 05 15 37.41 , -45 56 53.88 ,  , 19.298336 , 6.174e-10 , 5.078e-11 , PowerLaw , 9.212e-13 , 6.520e-14 , 2.5112545 , 1.219e-8 , 2.969e-9 , 5.346e-10 , 1.007e-10 , 1.812e-11 , 2.320e-13 , 1.273e-14 , 2.788e-12 , 1.922e-12 , 1.223e-12 , 6.521e-13 , 4.145e-13 , 1.021e-14 , fsrq , 
936 , 4FGL J0515.8+1527 , 05 15 48.71 , +15 27 41.03 ,  , 27.653095 , 1.490e-9 , 9.224e-11 , PowerLaw , 1.431e-13 , 8.792e-15 , 1.9319812 , 4.706e-9 , 2.461e-9 , 1.052e-9 , 3.883e-10 , 1.086e-10 , 5.066e-11 , 5.205e-12 , 1.138e-12 , 1.703e-12 , 2.544e-12 , 2.688e-12 , 2.628e-12 , 2.782e-12 , bll , 
937 , 4FGL J0516.1-7240 , 05 16 10.27 , -72 40 09.48 ,  , 5.779852 , 1.952e-10 , 3.772e-11 , PowerLaw , 3.221e-13 , 5.613e-14 , 2.592227 , 3.808e-9 , 1.235e-9 , 2.003e-10 , 2.700e-11 , 1.390e-12 , <3.701e-12 , 2.021e-12 , 8.643e-13 , 7.924e-13 , 4.547e-13 , 1.732e-13 , 3.154e-14 , 3.227e-20 , bcu , 
938 , 4FGL J0516.4+7350 , 05 16 25.0 , +73 50 58.2 ,  , 16.103594 , 3.854e-10 , 4.051e-11 , PowerLaw , 3.042e-14 , 3.153e-15 , 1.8802485 , 4.341e-9 , 4.639e-10 , 2.484e-10 , 1.010e-10 , 3.968e-11 , 1.119e-11 , 2.914e-16 , 1.056e-12 , 3.231e-13 , 6.041e-13 , 7.034e-13 , 9.650e-13 , 6.278e-13 , bll , 
