id , BZCAT5 Source name , Source classification
230 , 5BZGJ0123+4210 , BL Lac-galaxy dominated
231 , 5BZQJ0123+2615 , FSRQ
232 , 5BZBJ0124+3249 , BL Lac Candidate
233 , 5BZBJ0124+0918 , BL Lac
234 , 5BZBJ0124-0625 , BL Lac
235 , 5BZQJ0124+2805 , FSRQ
236 , 5BZQJ0124-5113 , FSRQ
237 , 5BZQJ0125+0146 , FSRQ
238 , 5BZBJ0125-2549 , BL Lac
239 , 5BZQJ0125-0005 , FSRQ
240 , 5BZQJ0126-2222 , FSRQ
241 , 5BZQJ0126+2559 , FSRQ
242 , 5BZBJ0126+3307 , BL Lac
243 , 5BZBJ0127-8108 , BL Lac
244 , 5BZBJ0127-0151 , BL Lac Candidate
245 , 5BZBJ0127-0821 , BL Lac
246 , 5BZBJ0127-0013 , BL Lac
247 , 5BZGJ0128+4901 , BL Lac-galaxy dominated
248 , 5BZUJ0128+4439 , Blazar Uncertain type
249 , 5BZQJ0130-1019 , FSRQ
250 , 5BZQJ0130+0842 , FSRQ
251 , 5BZBJ0131+6120 , BL Lac
252 , 5BZQJ0131+3834 , FSRQ
253 , 5BZQJ0132-1654 , FSRQ
254 , 5BZUJ0133-5200 , Blazar Uncertain type
255 , 5BZBJ0133-4414 , BL Lac
256 , 5BZBJ0134+2638 , BL Lac
257 , 5BZQJ0134-3843 , FSRQ
258 , 5BZQJ0135-2008 , FSRQ
259 , 5BZQJ0136-4044 , FSRQ
260 , 5BZBJ0136+3905 , BL Lac
261 , 5BZQJ0136+4751 , FSRQ
262 , 5BZQJ0137+3122 , FSRQ
263 , 5BZQJ0137-2430 , FSRQ
264 , 5BZBJ0137+5814 , BL Lac
265 , 5BZQJ0138-2711 , FSRQ
266 , 5BZBJ0138-1754 , BL Lac
267 , 5BZQJ0138-0540 , FSRQ
268 , 5BZQJ0138-2254 , FSRQ
269 , 5BZQJ0140-1532 , FSRQ
270 , 5BZBJ0140-0758 , BL Lac
271 , 5BZBJ0141-0928 , BL Lac
272 , 5BZQJ0141-0202 , FSRQ
273 , 5BZUJ0141+3923 , Blazar Uncertain type
274 , 5BZBJ0142-0544 , BL Lac
275 , 5BZQJ0143+4129 , FSRQ
276 , 5BZUJ0143-3200 , Blazar Uncertain type
277 , 5BZQJ0143-6813 , FSRQ
278 , 5BZBJ0143-5845 , BL Lac
279 , 5BZBJ0144+2705 , BL Lac
280 , 5BZQJ0145-2733 , FSRQ
281 , 5BZGJ0146-0551 , BL Lac-galaxy dominated
282 , 5BZQJ0146-2727 , FSRQ
283 , 5BZGJ0146-5202 , BL Lac-galaxy dominated
284 , 5BZQJ0148+3854 , FSRQ
285 , 5BZGJ0148+1402 , BL Lac-galaxy dominated
286 , 5BZBJ0148+0129 , BL Lac
287 , 5BZQJ0148+4215 , FSRQ
288 , 5BZQJ0149+0555 , FSRQ
289 , 5BZQJ0149+1857 , FSRQ
290 , 5BZQJ0151-3435 , FSRQ
291 , 5BZQJ0151+2744 , FSRQ
292 , 5BZQJ0152+2207 , FSRQ
293 , 5BZQJ0152-1412 , FSRQ
294 , 5BZQJ0152-2942 , FSRQ
295 , 5BZGJ0152+0147 , BL Lac-galaxy dominated
296 , 5BZBJ0153+7517 , BL Lac Candidate
297 , 5BZQJ0153-3310 , FSRQ
298 , 5BZGJ0153+7115 , BL Lac-galaxy dominated
299 , 5BZGJ0153-0118 , BL Lac-galaxy dominated
300 , 5BZBJ0154+0823 , BL Lac
301 , 5BZQJ0154-5107 , FSRQ
302 , 5BZQJ0154-1346 , FSRQ
303 , 5BZBJ0154+4433 , BL Lac
304 , 5BZQJ0154+4743 , FSRQ
305 , 5BZQJ0155+0438 , FSRQ
306 , 5BZQJ0155+2230 , FSRQ
307 , 5BZBJ0156-5302 , BL Lac
308 , 5BZQJ0157+7442 , FSRQ
309 , 5BZQJ0157-4614 , FSRQ
310 , 5BZBJ0158-3932 , BL Lac
311 , 5BZUJ0158+0101 , Blazar Uncertain type
312 , 5BZBJ0159+1047 , BL Lac
313 , 5BZBJ0159-2740 , BL Lac
314 , 5BZQJ0159-5143 , FSRQ
315 , 5BZBJ0200+2712 , BL Lac
316 , 5BZBJ0201+0034 , BL Lac
317 , 5BZQJ0202+3943 , FSRQ
318 , 5BZGJ0202-0559 , BL Lac-galaxy dominated
319 , 5BZQJ0202-1948 , FSRQ
320 , 5BZBJ0202+0849 , BL Lac
321 , 5BZBJ0202+4205 , BL Lac Candidate
322 , 5BZBJ0203+7232 , BL Lac
323 , 5BZBJ0203+3042 , BL Lac
324 , 5BZQJ0203+1134 , FSRQ
325 , 5BZGJ0204+4005 , BL Lac-galaxy dominated
326 , 5BZBJ0204-3333 , BL Lac
327 , 5BZUJ0204+1514 , Blazar Uncertain type
328 , 5BZQJ0204-5146 , FSRQ
329 , 5BZQJ0204-1701 , FSRQ
330 , 5BZQJ0205+3212 , FSRQ
331 , 5BZQJ0205+1444 , FSRQ
332 , 5BZQJ0205+3932 , FSRQ
333 , 5BZQJ0206-1150 , FSRQ
334 , 5BZQJ0206-6143 , FSRQ
335 , 5BZBJ0207-6837 , BL Lac
336 , 5BZQJ0208-6216 , FSRQ
337 , 5BZBJ0208-0047 , BL Lac
338 , 5BZBJ0208+3523 , BL Lac
339 , 5BZBJ0209+4449 , BL Lac Candidate
340 , 5BZBJ0209-5229 , BL Lac
341 , 5BZQJ0209-0438 , FSRQ
342 , 5BZQJ0209+1352 , FSRQ
343 , 5BZUJ0209+7229 , Blazar Uncertain type
344 , 5BZQJ0210-1003 , FSRQ
345 , 5BZUJ0210-5101 , Blazar Uncertain type
346 , 5BZBJ0211+1051 , BL Lac
347 , 5BZUJ0211-1558 , Blazar Uncertain type
348 , 5BZBJ0212-3503 , BL Lac
349 , 5BZBJ0212+2244 , BL Lac
350 , 5BZBJ0213+1213 , BL Lac
351 , 5BZQJ0213+1820 , FSRQ
352 , 5BZGJ0214+5144 , BL Lac-galaxy dominated
353 , 5BZQJ0215-0222 , FSRQ
354 , 5BZQJ0216-0118 , FSRQ
355 , 5BZQJ0216-0105 , FSRQ
356 , 5BZBJ0216+2314 , BL Lac Candidate
357 , 5BZQJ0216-7331 , FSRQ
358 , 5BZQJ0216-3247 , FSRQ
359 , 5BZBJ0216-6636 , BL Lac
360 , 5BZUJ0217-0820 , Blazar Uncertain type
361 , 5BZBJ0217+0837 , BL Lac
362 , 5BZQJ0217+7349 , FSRQ
363 , 5BZQJ0217-7251 , FSRQ
364 , 5BZQJ0217-7347 , FSRQ
365 , 5BZQJ0217+0144 , FSRQ
366 , 5BZQJ0218-0923 , FSRQ
367 , 5BZBJ0219-1725 , BL Lac
368 , 5BZQJ0219+0120 , FSRQ
369 , 5BZBJ0219-1842 , BL Lac
370 , 5BZQJ0220-1305 , FSRQ
371 , 5BZQJ0220-2151 , FSRQ
372 , 5BZBJ0220-0842 , BL Lac
373 , 5BZUJ0220+2509 , Blazar Uncertain type
374 , 5BZQJ0220-6330 , FSRQ
375 , 5BZUJ0221+3556 , Blazar Uncertain type
376 , 5BZQJ0222-1615 , FSRQ
377 , 5BZBJ0222+4302 , BL Lac
378 , 5BZQJ0222-3441 , FSRQ
379 , 5BZBJ0223-1117 , BL Lac
380 , 5BZQJ0223-5347 , FSRQ
381 , 5BZQJ0223-1656 , FSRQ
382 , 5BZQJ0224+0659 , FSRQ
383 , 5BZQJ0225+1846 , FSRQ
384 , 5BZGJ0225+3710 , BL Lac-galaxy dominated
385 , 5BZUJ0226+0937 , Blazar Uncertain type
386 , 5BZBJ0226-4441 , BL Lac
387 , 5BZQJ0227+3931 , FSRQ
388 , 5BZBJ0227+0202 , BL Lac
389 , 5BZQJ0227-0848 , FSRQ
390 , 5BZQJ0227-3026 , FSRQ
391 , 5BZQJ0228-5546 , FSRQ
392 , 5BZQJ0228-3719 , FSRQ
393 , 5BZQJ0228+6721 , FSRQ
394 , 5BZQJ0228-0337 , FSRQ
395 , 5BZQJ0229-3643 , FSRQ
396 , 5BZQJ0229-7847 , FSRQ
397 , 5BZQJ0229-1031 , FSRQ
398 , 5BZQJ0230+4032 , FSRQ
399 , 5BZQJ0231-4746 , FSRQ
400 , 5BZQJ0231-5841 , FSRQ
401 , 5BZQJ0231+1322 , FSRQ
402 , 5BZQJ0231-3935 , FSRQ
403 , 5BZGJ0232+2017 , BL Lac-galaxy dominated
404 , 5BZBJ0233+3442 , BL Lac Candidate
405 , 5BZQJ0233+0229 , FSRQ
406 , 5BZQJ0235-4737 , FSRQ
407 , 5BZBJ0235-2938 , BL Lac
408 , 5BZQJ0236-2953 , FSRQ
409 , 5BZQJ0236-6136 , FSRQ
410 , 5BZQJ0237+0526 , FSRQ
411 , 5BZBJ0237-3603 , BL Lac
412 , 5BZQJ0237+2848 , FSRQ
413 , 5BZBJ0238-0924 , BL Lac
414 , 5BZBJ0238-3116 , BL Lac
415 , 5BZBJ0238+1636 , BL Lac
416 , 5BZQJ0239-7626 , FSRQ
417 , 5BZQJ0239-0234 , FSRQ
418 , 5BZQJ0239+0416 , FSRQ
419 , 5BZQJ0240+4216 , FSRQ
420 , 5BZQJ0240+1848 , FSRQ
421 , 5BZBJ0240-0504 , BL Lac
422 , 5BZUJ0241-0815 , Blazar Uncertain type
423 , 5BZQJ0242+2653 , FSRQ
424 , 5BZUJ0242+1742 , Blazar Uncertain type
425 , 5BZQJ0242+1101 , FSRQ
426 , 5BZBJ0243+0046 , BL Lac
427 , 5BZQJ0243-0550 , FSRQ
428 , 5BZBJ0243+7120 , BL Lac
429 , 5BZBJ0244-5819 , BL Lac
430 , 5BZQJ0245+2405 , FSRQ
431 , 5BZGJ0245-1107 , BL Lac-galaxy dominated
432 , 5BZQJ0246-4651 , FSRQ
433 , 5BZQJ0246-2945 , FSRQ
434 , 5BZQJ0246+1823 , FSRQ
435 , 5BZQJ0246-1236 , FSRQ
436 , 5BZBJ0248-1631 , BL Lac
437 , 5BZQJ0249+0619 , FSRQ
438 , 5BZQJ0250-2731 , FSRQ
439 , 5BZBJ0250-2129 , BL Lac
440 , 5BZUJ0250+1712 , Blazar Uncertain type
441 , 5BZQJ0251-6000 , FSRQ
442 , 5BZQJ0251+4315 , FSRQ
443 , 5BZQJ0251+3734 , FSRQ
444 , 5BZQJ0252-2219 , FSRQ
445 , 5BZBJ0253-0124 , BL Lac
446 , 5BZQJ0253+0006 , FSRQ
447 , 5BZQJ0253-5441 , FSRQ
448 , 5BZQJ0253+5102 , FSRQ
449 , 5BZQJ0254+2343 , FSRQ
450 , 5BZQJ0254+3931 , FSRQ
451 , 5BZQJ0256-2137 , FSRQ
452 , 5BZQJ0256-3315 , FSRQ
453 , 5BZQJ0257-1212 , FSRQ
454 , 5BZGJ0257+1847 , BL Lac-galaxy dominated
455 , 5BZBJ0258+2030 , BL Lac
456 , 5BZQJ0258-3909 , FSRQ
457 , 5BZQJ0258-5052 , FSRQ
458 , 5BZQJ0258+0541 , FSRQ
459 , 5BZQJ0259+0747 , FSRQ
460 , 5BZQJ0259-0020 , FSRQ
461 , 5BZQJ0259+1925 , FSRQ
462 , 5BZBJ0301+3441 , BL Lac
463 , 5BZQJ0301-1812 , FSRQ
464 , 5BZQJ0301+0118 , FSRQ
465 , 5BZQJ0301-7156 , FSRQ
466 , 5BZBJ0302-0750 , BL Lac
467 , 5BZQJ0303-7914 , FSRQ
468 , 5BZBJ0303-2407 , BL Lac
469 , 5BZGJ0303+0554 , BL Lac-galaxy dominated
470 , 5BZBJ0303+4716 , BL Lac
471 , 5BZQJ0303-6211 , FSRQ
472 , 5BZBJ0304-2832 , BL Lac
473 , 5BZQJ0304-7007 , FSRQ
474 , 5BZQJ0304-2024 , FSRQ
475 , 5BZQJ0304-4333 , FSRQ
476 , 5BZBJ0304-0054 , BL Lac
477 , 5BZUJ0304+0002 , Blazar Uncertain type
478 , 5BZBJ0305-0607 , BL Lac
479 , 5BZQJ0307-4857 , FSRQ
480 , 5BZQJ0308-7812 , FSRQ
481 , 5BZBJ0309-3604 , BL Lac
482 , 5BZQJ0309+1029 , FSRQ
483 , 5BZQJ0309-0559 , FSRQ
484 , 5BZBJ0309-0744 , BL Lac
485 , 5BZQJ0309-6058 , FSRQ
486 , 5BZBJ0310+4056 , BL Lac Candidate
487 , 5BZQJ0310+3814 , FSRQ
488 , 5BZBJ0311-7701 , BL Lac Candidate
489 , 5BZQJ0311-7651 , FSRQ
490 , 5BZQJ0312-5541 , FSRQ
491 , 5BZQJ0312+0133 , FSRQ
492 , 5BZGJ0312+3615 , BL Lac-galaxy dominated
493 , 5BZUJ0313+4120 , Blazar Uncertain type
494 , 5BZGJ0313+4115 , BL Lac-galaxy dominated
495 , 5BZQJ0314-6548 , FSRQ
496 , 5BZBJ0314+0619 , BL Lac
497 , 5BZBJ0314-5104 , BL Lac
498 , 5BZBJ0315-1656 , BL Lac
499 , 5BZQJ0315-2939 , FSRQ
500 , 5BZQJ0315-1031 , FSRQ
501 , 5BZBJ0316+0904 , BL Lac
502 , 5BZBJ0316-6437 , BL Lac
503 , 5BZBJ0316-2607 , BL Lac
504 , 5BZBJ0316-2216 , BL Lac
505 , 5BZQJ0317-2803 , FSRQ
506 , 5BZUJ0317+0248 , Blazar Uncertain type
507 , 5BZQJ0319-1613 , FSRQ
508 , 5BZUJ0319+4130 , Blazar Uncertain type
509 , 5BZGJ0319+1901 , BL Lac-galaxy dominated
510 , 5BZGJ0319+1845 , BL Lac-galaxy dominated
511 , 5BZQJ0320-3837 , FSRQ
512 , 5BZGJ0320-7500 , BL Lac-galaxy dominated
513 , 5BZQJ0321-3122 , FSRQ
514 , 5BZQJ0321-0526 , FSRQ
515 , 5BZBJ0321+2336 , BL Lac
516 , 5BZQJ0322-5205 , FSRQ
