id , Source name , Counterpart name , Class , RA (J2000.0) , Dec (J2000.0) , Significance , Flux 10-2000 GeV (ph/cm2/s) , Flux 10-2000 GeV Error , Spectral Index , Spectral Index Error , Log Nu peak (Hz) , Redshift , TeV Cat , Prev. Fermi Assoc.
967 , 3FHL J1455.4-7559  , SUMSS J145543-760054  , bcu  , 223.86354064941406 , -75.99694061279297 , 5.29 , 2.993e-11 , 1.061e-11 , 2.945 , 0.695 , 15.85 , 0.000 ,   ,  
968 , 3FHL J1457.5-3538  , PKS 1454-354  , FSRQ  , 224.38221740722656 , -35.6478385925293 , 8.31 , 7.303e-11 , 1.755e-11 , 2.971 , 0.683 , 13.07 , 1.424 ,   , 3FGL J1457.4-3539 
969 , 3FHL J1457.8-4642  , PMN J1457-4642  , bcu  , 224.46713256835938 , -46.708396911621094 , 4.71 , 2.941e-11 , 1.113e-11 , 0.978 , 0.788 , 15.45 , 0.000 ,   ,  
970 , 3FHL J1458.7+3722  , B3 1456+375  , bll  , 224.69480895996094 , 37.36803436279297 , 4.15 , 1.759e-11 , 8.027e-12 , 3.874 , 1.637 , 13.18 , 0.333 ,   , 3FGL J1458.7+3719 
971 , 3FHL J1459.4-6052  , LAT PSR J1459-6053  , PSR  , 224.85501098632812 , -60.88127517700195 , 4.24 , 5.515e-11 , 1.720e-11 , 3.51 , 1.167 , 0 , 0.000 , HESS J1458-608  , 3FGL J1459.4-6053 
972 , 3FHL J1500.9+2238  , MS 1458.8+2249  , bll  , 225.24827575683594 , 22.64022445678711 , 13.89 , 1.156e-10 , 2.047e-11 , 1.665 , 0.365 , 14.9 , 0.235 ,   , 3FGL J1500.9+2238 
973 , 3FHL J1503.3+1651  ,   ,   , 225.8336944580078 , 16.862424850463867 , 4.72 , 2.175e-11 , 9.760e-12 , 1.613 , 0.837 , 0 , 0.000 ,   ,  
974 , 3FHL J1503.3+4758  , SDSS J150347.99+475930.9  , bll  , 225.83843994140625 , 47.97346878051758 , 5.45 , 2.904e-11 , 1.014e-11 , 2.195 , 0.564 , 13.22 , 0.344 ,   , 3FGL J1503.7+4759 
975 , 3FHL J1503.7-1541  , RBS 1457  , bll  , 225.92794799804688 , -15.68988037109375 , 12.61 , 1.319e-10 , 2.330e-11 , 1.702 , 0.39 , 16.87 , 0.000 ,   , 3FGL J1503.7-1540 
976 , 3FHL J1504.3+1030  , PKS 1502+106  , FSRQ  , 226.0870819091797 , 10.502324104309082 , 28.98 , 4.014e-10 , 3.802e-11 , 2.78 , 0.354 , 12.81 , 1.839 ,   , 3FGL J1504.4+1029 
977 , 3FHL J1505.8-8241  , 1RXS J150537.1-824233  , bcu  , 226.45201110839844 , -82.69658660888672 , 5.44 , 2.850e-11 , 1.071e-11 , 1.494 , 0.679 , 1 , 0.000 ,   , 3FGL J1504.5-8242 
978 , 3FHL J1506.0+3732  , B2 1504+37  , fsrq  , 226.52284240722656 , 37.54251480102539 , 4.15 , 2.260e-11 , 9.577e-12 , 3.516 , 1.757 , 12.69 , 0.673 ,   , 3FGL J1506.1+3728 
979 , 3FHL J1506.7+0813  , PMN J1506+0814  , bll  , 226.69058227539062 , 8.218801498413086 , 14.54 , 1.335e-10 , 2.275e-11 , 2.116 , 0.325 , 15.5 , 0.376 ,   , 3FGL J1506.6+0811 
980 , 3FHL J1507.2+1722  , NVSS J150716+172103  , bll  , 226.82498168945312 , 17.367734909057617 , 8.01 , 5.281e-11 , 1.442e-11 , 3.2 , 0.884 , 16.11 , 0.5653 ,   , 3FGL J1507.4+1725 
981 , 3FHL J1507.9-6228e , HESS J1507-622  , unknown , 226.98399353027344 , -62.46699905395508 , 10.53 , 2.214e-10 , 3.140e-11 , 1.757 , 0.189 , 0 , 0.000 , HESS J1507-622  , 3FGL J1506.6-6219 
982 , 3FHL J1508.7+2708  , RBS 1467  , bll  , 227.1883544921875 , 27.144174575805664 , 5.49 , 3.681e-11 , 1.246e-11 , 1.626 , 0.615 , 16.1 , 0.27 ,   , 3FGL J1508.6+2709 
983 , 3FHL J1509.5-5851  , PSR J1509-5850  , PSR  , 227.3817596435547 , -58.85854721069336 , 7.08 , 1.276e-10 , 2.623e-11 , 3.025 , 0.676 , 0 , 0.000 ,   , 3FGL J1509.4-5850 
984 , 3FHL J1509.8+5556  , SBS 1508+561  , bll  , 227.45025634765625 , 55.941001892089844 , 8.33 , 4.538e-11 , 1.222e-11 , 2.002 , 0.755 , 15.25 , 1.68 ,   , 3FGL J1509.7+5556 
985 , 3FHL J1511.8-0513  , NVSS J151148-051345  , bll  , 227.9532928466797 , -5.219754219055176 , 9.14 , 7.573e-11 , 1.788e-11 , 1.727 , 0.583 , 0 , 0.000 ,   , 3FGL J1511.8-0513 
986 , 3FHL J1512.1-2254  , 1RXS J151213.1-225515  , bll  , 228.04063415527344 , -22.914730072021484 , 9.13 , 7.681e-11 , 1.793e-11 , 2.277 , 0.562 , 15.65 , 0.3152 ,   , 3FGL J1512.2-2255 
987 , 3FHL J1512.2+0203  , PKS 1509+022  , fsrq  , 228.07200622558594 , 2.0603668689727783 , 7.75 , 6.372e-11 , 1.691e-11 , 2.126 , 0.583 , 13.56 , 0.22 ,   , 3FGL J1512.2+0202 
988 , 3FHL J1512.8-0906  , PKS 1510-08  , FSRQ  , 228.2082061767578 , -9.107636451721191 , 46.74 , 9.592e-10 , 5.891e-11 , 2.488 , 0.17 , 13.56 , 0.36 , PKS 1510-089  , 3FGL J1512.8-0906 
989 , 3FHL J1513.4-3721  ,   ,   , 228.37319946289062 , -37.362518310546875 , 5.39 , 2.949e-11 , 1.056e-11 , 1.65 , 0.792 , 0 , 0.000 ,   , 3FGL J1513.3-3719 
990 , 3FHL J1514.1-4946  , PSR J1514-4946  , PSR  , 228.5463104248047 , -49.77932357788086 , 10.89 , 1.029e-10 , 1.936e-11 , 4.115 , 0.821 , 0 , 0.000 ,   , 3FGL J1514.2-4947 
991 , 3FHL J1514.2-5909e , MSH 15-52  , PWN  , 228.5709991455078 , -59.16299819946289 , 22.84 , 6.837e-10 , 5.168e-11 , 1.784 , 0.106 , 0 , 0.000 , MSH 15-52  , 3FGL J1514.0-5915e
992 , 3FHL J1514.7-0949  , PMN J1514-0948  , bcu  , 228.6804656982422 , -9.832768440246582 , 4.52 , 3.698e-11 , 1.347e-11 , 2.903 , 0.985 , 12.68 , 0.000 ,   ,  
993 , 3FHL J1515.9+2423  , FBQS J151556.1+242620  , bll  , 228.9981689453125 , 24.395395278930664 , 4.27 , 2.119e-11 , 8.753e-12 , 1.719 , 0.901 , 15.7 , 0.000 ,   ,  
994 , 3FHL J1517.0+2638  ,   ,   , 229.2584686279297 , 26.641849517822266 , 4.13 , 1.731e-11 , 8.344e-12 , 2.256 , 1.188 , 0 , 0.000 ,   , 3FGL J1517.0+2637 
995 , 3FHL J1517.6-2422  , AP Librae  , bll  , 229.4203643798828 , -24.366905212402344 , 26.49 , 3.760e-10 , 3.667e-11 , 2.138 , 0.198 , 14.16 , 0.048 , AP Lib  , 3FGL J1517.6-2422 
996 , 3FHL J1517.7+6525  , 1H 1515+660  , bll  , 229.44497680664062 , 65.42134857177734 , 17.99 , 1.375e-10 , 1.918e-11 , 1.817 , 0.327 , 16.82 , 0.702 ,   , 3FGL J1517.6+6524 
