id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
2725 , 5BZQJ1651+4002 , 1WGAJ1651.6+4002 , BZQJ1651+4002  , 252.90637 , 40.03861 , 2.343 ,  , 17.4 , QSO RLoud flat radio sp. , 43 , 49 ,  , 0.17 , 
2726 , 5BZBJ1651+7218 , BZBJ1651+7218  , BZBJ1651+7218  , 252.9165 , 72.30692 ,  ,  , 16.6 , BL Lac Candidate , 20 ,  ,  , 1.41 , 
2727 , 5BZQJ1652+6232 , 1WGAJ1651.9+6232 , BZQJ1652+6232  , 253.00633 , 62.53586 , 1.633 ,  , 19.3 , QSO RLoud flat radio sp. , 44 , 85 ,  , 0.72 , 
2728 , 5BZUJ1652+4932 , BZUJ1652+4932  , BZUJ1652+4932  , 253.088 , 49.54806 ,  ,  , 18.7 , Blazar Uncertain type , 28 , 22 ,  , 0.78 , 
2729 , 5BZBJ1652+3632 , BZBJ1652+3632  , BZBJ1652+3632  , 253.20188 , 36.53683 , 0.648 ,  ?  , 19.2 , BL Lac , 58 , 44 ,  ,  , 
2730 , 5BZBJ1652+4023 , GB6B1651+4028  , BZBJ1652+4023  , 253.20804 , 40.38608 ,  ,  , 18.4 , BL Lac , 19 , 24 ,  , 0.27 , 
2731 , 5BZQJ1652+3902 , BZQJ1652+3902  , BZQJ1652+3902  , 253.24379 , 39.04717 , 1.299 ,  , 21.2 , QSO RLoud flat radio sp. , 262 , 330 , 466 ,  , 
2732 , 5BZQJ1653+3107 , GC1651+31  , BZQJ1653+3107  , 253.37462 , 31.13247 , 1.298 ,  , 17.5 , QSO RLoud flat radio sp. , 190 , 158 , 210 , 0.24 , 
2733 , 5BZBJ1653+3945 , MKR501  , BZBJ1653+3945  , 253.46758 , 39.76017 , 0.033 ,  , 13.3 , BL Lac , 1558 , 1375 , 553 , 36.9 , 8.8e-9
2734 , 5BZBJ1655+3244 , CRATESJ165542+324414 , BZBJ1655+3244  , 253.92842 , 32.73894 ,  ,  , 19.6 , BL Lac , 38 , 67 ,  ,  , 
