id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
570 , 5BZBJ0349-1159 , 1ES0347-121  , BZBJ0349-1159  , 57.34667 , -11.99083 , 0.188 ,  , 17.4 , BL Lac , 24 , 8 ,  , 14.3 , 
571 , 5BZQJ0349-2102 , PKS 0347-211  , BZQJ0349-2102  , 57.49096 , -21.04658 , 2.944 ,  , 19.7 , QSO RLoud flat radio sp. , 305 , 403 ,  , 0.4 , 2.2e-9
572 , 5BZQJ0350+5138 , GB6J0350+5138  ,  , 57.60437 , 51.64408 , 1.437 ,  , 21.6 , QSO RLoud flat radio sp. , 121 , 175 ,  ,  , 
573 , 5BZQJ0351-1153 , PKS 0348-120  , BZQJ0351-1153  , 57.79575 , -11.88964 , 1.52 ,  , 18.6 , QSO RLoud flat radio sp. , 503 , 433 ,  ,  , 
574 , 5BZQJ0351-7921 , CRATESJ035132-792153 ,  , 57.85629 , -79.36564 , 1.333 ,  , 18.6 , QSO RLoud flat radio sp. , 57 , 72 ,  ,  , 
575 , 5BZBJ0351-3703 , MS0350.0-3712  , BZBJ0351-3703  , 57.97737 , -37.06228 , 0.165 ,  , 16.4 , BL Lac , 35 , 17 ,  , 1.24 , 
576 , 5BZBJ0353-3623 , 1WGAJ0353.0-3623 , BZBJ0353-3623  , 58.27096 , -36.38567 ,  ,  , 18.2 , BL Lac , 6 ,  ,  , 2.29 , 
577 , 5BZQJ0354-1616 , PKS 0352-164  , BZQJ0354-1616  , 58.60425 , -16.27292 , 1.187 ,  , 18.5 , QSO RLoud flat radio sp. , 244 , 199 ,  ,  , 
578 , 5BZBJ0354+8009 , S50346+800  , BZBJ0354+8009  , 58.69221 , 80.158 ,  ,  , 20.1 , BL Lac Candidate , 643 , 396 ,  , 0.09 , 1.2e-9
579 , 5BZBJ0357-4955 , PKS 0355-500  , BZBJ0357-4955  , 59.25071 , -49.93017 , 0.643 ,  ?  , 16.8 , BL Lac , 215 , 154 ,  , 0.28 , 4e-10
580 , 5BZUJ0357+2319 , GB6J0357+2319  ,  , 59.34004 , 23.33161 , 1.484 ,  ?  , 18.8 , Blazar Uncertain type , 177 , 289 , 366 , 0.14 , 
581 , 5BZQJ0357-4812 , PKS 0355-483  , BZQJ0357-4812  , 59.34133 , -48.20422 , 1.005 ,  , 16.2 , QSO RLoud flat radio sp. , 296 , 523 ,  , 0.44 , 
582 , 5BZQJ0357-4159 , 1WGAJ0357.6-4158 , BZQJ0357-4158  , 59.40321 , -41.98369 , 1.271 ,  , 15.4 , QSO RLoud flat radio sp. , 163 , 118 ,  , 0.08 , 
583 , 5BZQJ0357-0751 , PKS 0355-079  , BZQJ0357-0751  , 59.43038 , -7.85406 , 1.05 ,  , 16.4 , QSO RLoud flat radio sp. , 354 , 476 ,  ,  , 
584 , 5BZQJ0357+0542 , GB6B0355+0533  , BZQJ0357+0542  , 59.44221 , 5.70869 , 2.164 ,  , 19.3 , QSO RLoud flat radio sp. , 104 , 255 ,  , 0.13 , 
585 , 5BZBJ0358-3054 , 1RXSJ035855.6-305437 , BZBJ0358-3054  , 59.73375 , -30.91328 ,  ,  , 18.8 , BL Lac Candidate , 8 ,  ,  , 2.2 , 
586 , 5BZQJ0359+5057 , NRAO150  ,  , 59.87396 , 50.96394 , 1.512 ,  , 18.1 , QSO RLoud flat radio sp. , 4297 , 3774 , 4821 , 0.78 , 
587 , 5BZBJ0359-2615 , PKS 0357-264  , BZBJ0359-2615  , 59.89033 , -26.25869 ,  ,  , 20.6 , BL Lac , 796 , 421 ,  ,  , 
588 , 5BZQJ0359+3220 , B2 0356+32  , BZQJ0359+3220  , 59.93712 , 32.34644 , 1.331 ,  , 19.9 , QSO RLoud flat radio sp. , 651 , 724 ,  ,  , 
589 , 5BZQJ0400+0550 , CRATESJ040011+055041 , BZQJ0400+0550  , 60.04892 , 5.84531 , 0.761 ,  , 17.6 , QSO RLoud flat radio sp. , 485 , 640 ,  ,  , 
590 , 5BZGJ0401-1606 , 1RXSJ040107.3-160618 ,  , 60.27767 , -16.11083 , 0.032 ,  , 9.9 , BL Lac-galaxy dominated , 89 , 280 ,  , 0.19 , 
591 , 5BZBJ0401+8153 , SHBLJ040128.0+815312 , BZBJ0401+8153  , 60.36967 , 81.88664 , 0.215 ,  , 17.8 , BL Lac Candidate , 13 ,  ,  , 1.74 , 
592 , 5BZQJ0401+2110 , GB6B0358+2102  , BZQJ0401+2110  , 60.43821 , 21.17461 , 0.834 ,  , 18.3 , QSO RLoud flat radio sp. , 246 , 229 ,  ,  , 
593 , 5BZBJ0402-2615 , BZBJ0402-2615  , BZBJ0402-2615  , 60.50325 , -26.26092 ,  ,  , 18.8 , BL Lac , 145 , 137 ,  , 0.14 , 5e-10
594 , 5BZQJ0402-3147 , 1Jy0400-319  , BZQJ0402-3147  , 60.58863 , -31.79053 , 1.288 ,  , 20.8 , QSO RLoud flat radio sp. , 681 , 848 , 488 ,  , 3e-10
595 , 5BZQJ0403+2600 , DW 0400+25  , BZQJ0403+2600  , 60.77329 , 26.00042 , 2.109 ,  , 19.6 , QSO RLoud flat radio sp. , 936 , 994 , 549 , 0.14 , 
596 , 5BZBJ0403-2429 , 1RXSJ040324.1-242931 , BZBJ0403-2429  , 60.85233 , -24.49717 , 0.357 ,  , 18.5 , BL Lac , 7 ,  ,  , 2.32 , 
597 , 5BZQJ0403-2444 , TEX0401-248  , BZQJ0403-2444  , 60.92392 , -24.73569 , 0.598 ,  , 19.6 , QSO RLoud flat radio sp. , 167 , 201 ,  ,  , 
598 , 5BZQJ0403-3605 , PKS0402-362  , BZQJ0403-3605  , 60.97396 , -36.08386 , 1.417 ,  , 16.6 , QSO RLoud flat radio sp. , 1151 , 1851 , 3911 , 1.54 , 5.6e-9
599 , 5BZQJ0405-0739 , PKS0402-077  , BZQJ0405-0739  , 61.25333 , -7.65567 , 2.817 ,  , 19.4 , QSO RLoud flat radio sp. , 80 , 135 ,  ,  , 
600 , 5BZQJ0405-1308 , PKS0403-13  , BZQJ0405-1308  , 61.39167 , -13.13714 , 0.571 ,  , 16.6 , QSO RLoud flat radio sp. , 4218 , 2748 , 512 , 0.97 , 5e-10
601 , 5BZQJ0406-1749 , PKS 0403-179  , BZQJ0406-1749  , 61.551 , -17.83275 , 1.64 ,  , 18 , QSO RLoud flat radio sp. , 633 , 444 ,  ,  , 
602 , 5BZQJ0406+0637 , TEX0403+064  , BZQJ0406+0637  , 61.643 , 6.62086 , 0.666 ,  , 19.4 , QSO RLoud flat radio sp. , 218 , 264 ,  ,  , 
603 , 5BZUJ0406-3826 , PKS0405-385  , BZUJ0406-3826  , 61.74596 , -38.44111 , 1.285 ,  ?  , 17.6 , Blazar Uncertain type , 861 , 830 , 648 , 0.31 , 2e-9
604 , 5BZBJ0407+0742 , PCCS1217G183.86-31.15 , BZBJ0407+0742  , 61.87121 , 7.70208 , 1.133 ,  ?  , 17.3 , BL Lac , 296 , 182 ,  , 0.23 , 7e-10
605 , 5BZQJ0407-3303 , PKS0405-331  , BZQJ0407-3303  , 61.89129 , -33.06289 , 2.562 ,  , 19.4 , QSO RLoud flat radio sp. , 635 , 663 ,  ,  , 
606 , 5BZUJ0407-1211 , PKS 0405-12  , BZUJ0407-1211  , 61.95179 , -12.19353 , 0.573 ,  , 14.7 , Blazar Uncertain type , 2940 , 1299 , 338 , 4.94 , 
607 , 5BZQJ0409-1238 , PKS 0406-127  , BZQJ0409-1238  , 62.27404 , -12.64669 , 1.563 ,  , 18.3 , QSO RLoud flat radio sp. , 454 , 517 ,  , 0.15 , 
608 , 5BZBJ0409-0555 , SDSSJ040911.3-0555 , BZBJ0409-0555  , 62.29729 , -5.92481 ,  ,  , 19.8 , BL Lac , 27 ,  ,  ,  , 
609 , 5BZBJ0409+1217 , PKS 0406+121  , BZBJ0409+1217  , 62.34171 , 12.29439 , 0.504 ,  ?  , 19 , BL Lac , 430 , 843 ,  , 0.15 , 
610 , 5BZBJ0409+0640 , GB6B0406+0632  , BZBJ0409+0640  , 62.35771 , 6.67642 , 0.805 ,  , 20 , BL Lac , 144 , 230 ,  ,  , 
611 , 5BZBJ0409-0400 ,  ,  , 62.44413 , -4.001 ,  ,  , 17 , BL Lac , 40 ,  ,  , 0.32 , 8e-10
612 , 5BZQJ0410-7750 , PKSB0412-779  ,  , 62.67629 , -77.84536 , 2.449 ,  , 18.6 , QSO RLoud flat radio sp. , 440 , 258 ,  ,  , 
613 , 5BZQJ0410-1636 , BZQJ0410-1636  , BZQJ0410-1636  , 62.7475 , -16.60278 , 0.622 ,  , 16.8 , QSO RLoud flat radio sp. , 184 , 124 ,  , 0.5 , 
614 , 5BZBJ0411-3941 , SHBLJ041112.2-394143 , BZBJ0411-3941  , 62.79688 , -39.69517 ,  ,  , 19.5 , BL Lac , 5 ,  ,  , 2.33 , 
615 , 5BZQJ0411-5149 , PKS 0410-519  ,  , 62.90479 , -51.82317 , 1.257 ,  , 16.5 , QSO RLoud flat radio sp. , 351 , 361 ,  , 0.47 , 
616 , 5BZQJ0412+0010 , CRATESJ041232+001040 , BZQJ0412+0010  , 63.13942 , 0.18014 , 1.13 ,  , 21.7 , QSO RLoud flat radio sp. , 261 , 155 ,  ,  , 
617 , 5BZQJ0412+0438 , CGRaBSJ0412+0438 , BZQJ0412+0438  , 63.15912 , 4.63503 , 1.081 ,  , 19.7 , QSO RLoud flat radio sp. , 190 , 233 ,  ,  , 
618 , 5BZQJ0412-4604 , PKS 0411-462  , BZQJ0412-4604  , 63.20954 , -46.08047 , 2.223 ,  , 19.9 , QSO RLoud flat radio sp. , 439 , 305 ,  ,  , 
619 , 5BZQJ0413-5332 , 2FGLJ0413.5-5332 , BZQJ0413-5332  , 63.30617 , -53.53347 , 1.024 ,  , 18.1 , QSO RLoud flat radio sp. , 143 , 95 ,  ,  , 1.1e-9
620 , 5BZQJ0415-4023 , HE0413-4031  ,  , 63.81021 , -40.39475 , 1.389 ,  , 15.9 , QSO RLoud flat radio sp. , 15 , 50 ,  ,  , 
621 , 5BZUJ0416-2056 , 1Jy0413-210  ,  , 64.01817 , -20.94097 , 0.807 ,  , 18.9 , Blazar Uncertain type , 2779 , 1293 ,  , 0.46 , 
622 , 5BZUJ0416-4355 ,  ,  , 64.02425 , -43.92072 , 0.398 ,  , 18.2 , Blazar Uncertain type , 16 ,  ,  ,  , 4e-10
623 , 5BZQJ0416-1851 , 1Jy0414-189  , BZQJ0416-1851  , 64.15225 , -18.85231 , 1.536 ,  , 17.3 , QSO RLoud flat radio sp. , 1248 , 770 , 442 , 0.26 , 1.2e-9
624 , 5BZBJ0416+0105 , 1H 0413+009  , BZBJ0416+0105  , 64.21871 , 1.08997 , 0.287 ,  , 16.9 , BL Lac , 120 , 74 ,  , 22.6 , 7e-10
625 , 5BZQJ0419-2132 , CRATESJ041901-213241 ,  , 64.75175 , -21.54325 , 1.646 ,  , 18.2 , QSO RLoud flat radio sp. , 156 , 196 ,  ,  , 
626 , 5BZQJ0419-3010 , 1RXSJ041948.3-301007 ,  , 64.94671 , -30.17328 , 1.003 ,  , 17.6 , QSO RLoud flat radio sp. , 179 , 184 ,  , 0.21 , 
627 , 5BZQJ0420-1501 , PKSB0418-151  ,  , 65.07662 , -15.02406 , 1.18 ,  , 19.2 , QSO RLoud flat radio sp. , 249 , 198 , 209 ,  , 
628 , 5BZQJ0421-4818 , PKS 0419-484  , BZQJ0421-4818  , 65.3645 , -48.30144 , 0.527 ,  , 17.9 , QSO RLoud flat radio sp. , 267 , 204 ,  ,  , 
629 , 5BZBJ0421-0629 , 2E0419.1-0635  , BZBJ0421-0629  , 65.38717 , -6.48422 , 0.391 ,  , 18.2 , BL Lac Candidate , 15 ,  ,  , 2.66 , 
630 , 5BZQJ0422-0643 , 1RXSJ042211.9-064343 , BZQJ0422-0643  , 65.545 , -6.72925 , 0.242 ,  , 16.9 , QSO RLoud flat radio sp. , 150 , 256 ,  , 0.35 , 7e-10
631 , 5BZQJ0422-3844 , Q 0420-388  , BZQJ0422-3844  , 65.56162 , -38.74803 , 3.11 ,  , 16.3 , QSO RLoud flat radio sp. , 197 , 130 ,  , 0.2 , 
632 , 5BZBJ0422+1950 , MS0419.3+1943  , BZBJ0422+1950  , 65.57637 , 19.84861 , 0.516 ,  , 18.6 , BL Lac , 9 ,  ,  , 2.12 , 
633 , 5BZQJ0422+1741 , 3EGJ0422+1741  , BZQJ0422+1741  , 65.69908 , 17.68775 , 0.908 ,  , 19.5 , QSO RLoud flat radio sp. , 50 , 109 ,  , 0.15 , 
634 , 5BZQJ0422+0219 , PKS0420+022  , BZQJ0422+0219  , 65.71754 , 2.32414 , 2.277 ,  , 19.3 , QSO RLoud flat radio sp. , 677 , 865 ,  , 0.41 , 1e-9
635 , 5BZQJ0423-0120 , PKS0420-01  , BZQJ0423-0120  , 65.81583 , -1.34253 , 0.916 ,  , 16.7 , QSO RLoud flat radio sp. , 2726 , 4357 , 5267 , 1.39 , 6.6e-9
636 , 5BZBJ0423+4150 , 4C+41.11  , BZBJ0423+4150  , 65.98337 , 41.83408 ,  ,  , 19.2 , BL Lac Candidate , 1756 , 1446 ,  ,  , 2.9e-9
637 , 5BZQJ0424+0204 , PKS 0421+019  , BZQJ0424+0204  , 66.03567 , 2.07361 , 2.056 ,  , 16.4 , QSO RLoud flat radio sp. , 1150 , 711 ,  ,  , 
638 , 5BZQJ0424-3848 , PKS0422-389  , BZQJ0424-3848  , 66.1405 , -38.81156 , 2.346 ,  , 18.7 , QSO RLoud flat radio sp. , 537 , 309 ,  , 1 , 
639 , 5BZQJ0424-3756 , PKS0422-380  , BZQJ0424-3756  , 66.176 , -37.93911 , 0.782 ,  , 17.3 , QSO RLoud flat radio sp. , 474 , 1706 , 410 , 0.75 , 
640 , 5BZBJ0424+0036 , PKS0422+004  , BZBJ0424+0036  , 66.19517 , 0.60178 ,  ,  , 14.3 , BL Lac , 493 , 879 , 452 , 0.69 , 1.9e-9
641 , 5BZQJ0424+0805 , GB6J0424+0805  , BZQJ0424+0805  , 66.24 , 8.08806 , 3.085 ,  , 19.9 , QSO RLoud flat radio sp. , 149 , 163 ,  , 0.08 , 
642 , 5BZBJ0425-5331 , PCCS1353G262.19-43.00 ,  , 66.26779 , -53.53286 ,  ,  , 16.1 , BL Lac , 261 , 255 , 151 , 0.48 , 6e-10
643 , 5BZQJ0425-5754 , CRATESJ042504-575451 ,  , 66.26967 , -57.91547 , 0.886 ,  , 18.9 , QSO RLoud flat radio sp. , 112 , 161 ,  , 0.21 , 
644 , 5BZGJ0425-0833 , EXO0423.4-0840  , BZUJ0425-0833  , 66.46383 , -8.56108 , 0.039 ,  , 13.5 , BL Lac-galaxy dominated , 112 ,  ,  , 12 , 
645 , 5BZQJ0426+0518 , PRF232  , BZQJ0426+0518  , 66.6525 , 5.30553 , 1.333 ,  , 18.8 , QSO RLoud flat radio sp. , 688 , 590 ,  ,  , 7e-10
646 , 5BZQJ0427-0756 , 1WGAJ0427.2-0756 , BZQJ0427-0756  , 66.80929 , -7.94025 , 1.375 ,  , 19.1 , QSO RLoud flat radio sp. , 74 , 56 ,  , 0.15 , 
647 , 5BZQJ0428+3259 , GB6B0424+3253  , BZQJ0428+3259  , 67.02421 , 32.99778 , 0.476 ,  , 21.4 , QSO RLoud flat radio sp. , 148 , 540 ,  , 0.21 , 
648 , 5BZQJ0428+1732 , GB6B0425+1725  , BZQJ0428+1732  , 67.14846 , 17.53989 , 3.317 ,  , 18.2 , QSO RLoud flat radio sp. , 178 , 175 ,  , 0.2 , 
649 , 5BZBJ0428-3756 , PKS0426-380  , BZBJ0428-3756  , 67.16842 , -37.93878 , 1.11 ,  ?  , 16.3 , BL Lac , 753 , 1227 , 1813 , 0.42 , 3.11e-8
650 , 5BZGJ0428-3805 , 1WGAJ0428.8-3805 , BZBJ0428-3805  , 67.21192 , -38.09736 , 0.15 ,  , 15.6 , BL Lac-galaxy dominated , 48 , 51 ,  , 0.1 , 
651 , 5BZBJ0429-3236 , 1RXSJ042900.5-323633 , BZBJ0429-3236  , 67.25071 , -32.61144 ,  ,  , 18.3 , BL Lac Candidate , 9 ,  ,  , 3.29 , 
652 , 5BZQJ0429-4328 , PKS0427-435  , BZQJ0429-4328  , 67.35421 , -43.47681 , 1.423 ,  , 18.5 , QSO RLoud flat radio sp. , 462 , 254 ,  , 0.14 , 
653 , 5BZBJ0430-2507 , BZBJ0430-2507  , BZBJ0430-2507  , 67.56671 , -25.12747 ,  ,  , 18.8 , BL Lac , 107 , 211 ,  , 0.09 , 4e-10
654 , 5BZQJ0431-0406 , 1RXSJ043128.5-040614 ,  , 67.86704 , -4.10758 , 0.628 ,  , 20.7 , QSO RLoud flat radio sp. , 89 , 116 ,  , 0.34 , 
655 , 5BZUJ0431+1731 , 1WGAJ0431.9+1731 , BZBJ0431+1731  , 67.98908 , 17.52661 ,  ,  , 21.3 , Blazar Uncertain type , 374 , 300 ,  , 0.08 , 
656 , 5BZQJ0432-5109 , PKS 0431-512  , BZQJ0432-5109  , 68.08825 , -51.157 , 0.557 ,  , 17.3 , QSO RLoud flat radio sp. , 737 , 425 ,  ,  , 
657 , 5BZUJ0433+0521 , 3C120  , BZUJ0433+0521  , 68.29621 , 5.35433 , 0.033 ,  , 13.8 , Blazar Uncertain type , 3440 , 4198 , 1480 , 22.7 , 
658 , 5BZBJ0433-4502 ,  ,  , 68.30767 , -45.0485 , 0.324 ,  ?  , 18.7 , BL Lac , 53 , 89 ,  ,  , 
659 , 5BZQJ0433-6030 , PKS 0432-606  ,  , 68.39213 , -60.50383 , 0.93 ,  , 18 , QSO RLoud flat radio sp. , 415 , 636 , 163 , 0.13 , 9e-10
660 , 5BZBJ0433+2905 , 1RXSJ043338.6+290614 , BZBJ0433+2905  , 68.40763 , 29.09875 , 0.97 ,  ?  , 18.6 , BL Lac , 402 , 476 ,  , 0.61 , 4.3e-9
661 , 5BZQJ0433+3237 , GB6J0433+3237  , BZQJ0433+3237  , 68.41946 , 32.61986 , 2.011 ,  , 19.1 , QSO RLoud flat radio sp. , 109 , 67 ,  , 0.06 , 6e-10
662 , 5BZQJ0434-4355 , PKS0432-440  , BZQJ0434-4355  , 68.51354 , -43.92978 , 2.649 ,  , 19.7 , QSO RLoud flat radio sp. , 474 , 274 ,  ,  , 
663 , 5BZBJ0434-2015 , MC1 0431-203  , BZBJ0434-2015  , 68.533 , -20.25478 ,  ,  , 19.6 , BL Lac , 166 , 114 ,  , 0.34 , 7e-10
664 , 5BZQJ0434-1442 , PKS 0432-148  , BZQJ0434-1442  , 68.57929 , -14.71539 , 1.899 ,  , 19.6 , QSO RLoud flat radio sp. , 205 , 281 ,  , 0.04 , 
665 , 5BZBJ0434-2342 , CRATESJ043429-234214 ,  , 68.62071 , -23.70147 ,  ,  , 20.9 , BL Lac , 50 , 204 ,  ,  , 4e-10
666 , 5BZQJ0435-0811 , 1WGAJ0435.1-0811 , BZQJ0435-0811  , 68.78475 , -8.18419 , 0.791 ,  , 19.5 , QSO RLoud flat radio sp. , 51 , 73 ,  , 0.14 , 
667 , 5BZQJ0435+2532 , B2.2 0432+25  ,  , 68.89408 , 25.54992 , 0.602 ,  , 20.3 , QSO RLoud flat radio sp. , 480 , 375 ,  ,  , 
668 , 5BZQJ0435+2923 , GB6B0432+2917  , BZQJ0435+2923  , 68.99321 , 29.39344 , 2.336 ,  , 21.1 , QSO RLoud flat radio sp. , 120 , 145 ,  ,  , 
669 , 5BZQJ0437-1844 , PKS 0434-188  , BZQJ0437-1844  , 69.25617 , -18.74683 , 2.702 ,  , 18.8 , QSO RLoud flat radio sp. , 714 , 1089 ,  ,  , 
670 , 5BZQJ0437-2954 , PKS 0435-300  ,  , 69.40237 , -29.90114 , 1.328 ,  , 15.2 , QSO RLoud flat radio sp. , 1092 , 691 ,  , 1.21 , 
671 , 5BZQJ0438+3004 , GB6B0434+2958  , BZQJ0438+3004  , 69.52062 , 30.07931 , 1.454 ,  , 19.4 , QSO RLoud flat radio sp. , 766 , 565 ,  ,  , 
672 , 5BZQJ0438-1251 , PKS 0436-129  , BZQJ0438-1251  , 69.64592 , -12.85094 , 1.285 ,  , 18.1 , QSO RLoud flat radio sp. , 367 , 442 , 361 ,  , 5e-10
673 , 5BZQJ0438-2012 , MC1 0436-203  , BZQJ0438-2012  , 69.71038 , -20.20733 , 2.146 ,  , 22.8 , QSO RLoud flat radio sp. , 494 , 286 ,  ,  , 
674 , 5BZBJ0439-4522 , 1Jy0437-454  ,  , 69.75354 , -45.37292 ,  ,  , 19.5 , BL Lac , 978 , 634 , 290 , 0.58 , 1.1e-9
675 , 5BZGJ0439+0520 , GB6B0436+0515  , BZQJ0439+0520  , 69.75942 , 5.34547 , 0.208 ,  , 15.3 , BL Lac-galaxy dominated , 82 , 149 ,  , 2.22 , 
676 , 5BZUJ0439-3210 , PKS0437-322  ,  , 69.89117 , -32.16939 ,  ,  , 19.7 , Blazar Uncertain type , 374 , 206 ,  , 0.11 , 3e-10
677 , 5BZQJ0439-3017 , PKS0437-303  ,  , 69.97167 , -30.296 , 1.447 ,  , 19.7 , QSO RLoud flat radio sp. , 249 , 206 ,  ,  , 
678 , 5BZQJ0440-4333 , PKS0438-43  , BZQJ0440-4333  , 70.07158 , -43.55239 , 2.852 ,  , 18.2 , QSO RLoud flat radio sp. , 6362 , 3933 , 325 , 0.4 , 
679 , 5BZBJ0440-2459 , SHBLJ044018.5-245933 , BZBJ0440-2459  , 70.07737 , -24.99281 , 0.6 ,  ?  , 17.9 , BL Lac Candidate , 13 ,  ,  , 2.09 , 
680 , 5BZUJ0440+1437 , GB6B0437+1432  ,  , 70.08808 , 14.6325 ,  ,  , 18 , Blazar Uncertain type , 222 , 264 ,  , 0.13 , 7e-10
681 , 5BZBJ0440+2750 , GB6J0440+2750  , BZBJ0440+2750  , 70.20992 , 27.84633 ,  ,  , 18.4 , BL Lac , 103 , 80 ,  , 0.18 , 9e-10
682 , 5BZQJ0441-4313 , PKS 0439-433  , BZQJ0441-4313  , 70.32204 , -43.22878 , 0.593 ,  , 14.8 , QSO RLoud flat radio sp. , 334 , 285 ,  , 0.76 , 
683 , 5BZBJ0441-2952 , PKS0439-299  , BZBJ0441-2952  , 70.33121 , -29.87675 ,  ,  , 19.4 , BL Lac Candidate , 576 , 366 ,  ,  , 
684 , 5BZBJ0441+1504 , SHBLJ044127.4+150456 , BZBJ0441+1504  , 70.36446 , 15.08211 ,  ,  , 18.4 , BL Lac , 14 ,  ,  , 10.2 , 
685 , 5BZBJ0442-0018 , 2E0439.9-0023  , BZBJ0442-0018  , 70.62587 , -0.30828 , 0.449 ,  , 19.1 , BL Lac , 5 ,  ,  , 1.67 , 
686 , 5BZQJ0442-2825 , PKS 0440-285  , BZQJ0442-2825  , 70.65692 , -28.42525 , 1.952 ,  , 18.5 , QSO RLoud flat radio sp. , 357 , 346 ,  , 1.63 , 
687 , 5BZQJ0442-0017 , PKS0440-00  , BZQJ0442-0017  , 70.66108 , -0.29539 , 0.845 ,  , 18.2 , QSO RLoud flat radio sp. , 1773 , 1084 , 724 , 1.7 , 5.9e-9
688 , 5BZGJ0445-6014 , 1FGL_J0445.2-6008 ,  , 71.25633 , -60.24992 , 0.097 ,  , 13.7 , BL Lac-galaxy dominated , 54 , 37 ,  ,  , 8e-10
689 , 5BZQJ0446+3900 , BZQJ0446+3900  , BZQJ0446+3900  , 71.54787 , 39.00475 , 0.413 ,  , 18.4 , QSO RLoud flat radio sp. , 155 , 358 ,  , 0.17 , 
690 , 5BZQJ0447-0322 , 1WGAJ0447.9-0322 , BZQJ0447-0322  , 71.97808 , -3.37842 , 0.774 ,  , 15.4 , QSO RLoud flat radio sp. , 87 , 56 ,  , 1.09 , 
691 , 5BZQJ0448-3659 , PKS0446-370  , BZQJ0448-3659  , 72.06267 , -36.98394 , 0.561 ,  , 19.3 , QSO RLoud flat radio sp. , 408 , 282 ,  ,  , 
692 , 5BZQJ0448-2109 , MC1 0446-212  , BZQJ0448-2109  , 72.07242 , -21.16242 , 1.971 ,  , 19.1 , QSO RLoud flat radio sp. , 263 , 227 ,  , 0.19 , 4e-10
693 , 5BZQJ0448-5041 , CRATESJ044820-504143 ,  , 72.09292 , -50.69272 , 1.479 ,  , 19.6 , QSO RLoud flat radio sp. , 40 , 195 ,  ,  , 
694 , 5BZQJ0448-2626 , CRATESJ044825-262618 ,  , 72.09983 , -26.43744 , 1.764 ,  , 19.6 , QSO RLoud flat radio sp. , 164 , 198 ,  , 0.22 , 
695 , 5BZBJ0448-1632 , RXSJ04486-1632  , BZBJ0448-1632  , 72.15683 , -16.54522 ,  ,  , 16.6 , BL Lac , 59 , 44 ,  , 3.22 , 9e-10
696 , 5BZQJ0448-7417 , PKS 0449-743  , BZQJ0448-7417  , 72.20225 , -74.292 , 1.208 ,  , 17.9 , QSO RLoud flat radio sp. , 293 , 209 ,  , 0.31 , 
697 , 5BZQJ0448+1127 , BZQJ0448+1127  , BZQJ0448+1127  , 72.21004 , 11.46511 , 1.37 ,  , 19.3 , QSO RLoud flat radio sp. , 284 , 365 ,  ,  , 3.4e-9
698 , 5BZQJ0449+1121 , 1Jy0446+112  , BZBJ0449+1121  , 72.28196 , 11.35794 , 2.153 ,  , 19.9 , QSO RLoud flat radio sp. , 847 , 794 , 818 , 0.26 , 3.4e-9
699 , 5BZQJ0449+6332 , S40444+634  , BZQJ0449+6332  , 72.34712 , 63.53594 , 0.781 ,  , 18.7 , QSO RLoud flat radio sp. , 426 , 519 , 406 ,  , 
700 , 5BZBJ0449-4350 , PKS0447-439  , BZBJ0449-4350  , 72.35292 , -43.83583 , 0.205 ,  ?  , 14.9 , BL Lac , 359 , 242 ,  , 8.12 , 1.14e-8
701 , 5BZQJ0449-4809 , CRATESJ044940-480943 ,  , 72.41496 , -48.16131 , 1.497 ,  , 18.9 , QSO RLoud flat radio sp. , 100 , 149 ,  ,  , 
702 , 5BZQJ0449-3911 , PKS 0448-392  , BZQJ0449-3911  , 72.42604 , -39.18597 , 1.29 ,  , 16 , QSO RLoud flat radio sp. , 542 , 819 ,  , 0.94 , 
703 , 5BZQJ0449-0057 , PKS0447-010  , BZQJ0449-0057  , 72.42875 , -0.95619 , 0.487 ,  , 18.2 , QSO RLoud flat radio sp. , 483 , 382 ,  ,  , 
704 , 5BZQJ0450-8101 , PKS0454-81  , BZQJ0450-8101  , 72.52267 , -81.01728 , 0.444 ,  , 18.8 , QSO RLoud flat radio sp. , 821 , 1357 , 951 , 0.45 , 
705 , 5BZQJ0450-1837 , PKS 0448-187  , BZQJ0450-1837  , 72.64962 , -18.61678 , 2.05 ,  ?  , 19.4 , QSO RLoud flat radio sp. , 439 , 427 ,  ,  , 
706 , 5BZQJ0451-4653 , PKS 0450-469  ,  , 72.97229 , -46.88886 , 0.602 ,  , 19 , QSO RLoud flat radio sp. , 476 , 541 ,  , 0.38 , 
707 , 5BZQJ0452+1236 , GB6J0452+1236  , BZQJ0452+1236  , 73.1775 , 12.60683 , 1.177 ,  , 19.5 , QSO RLoud flat radio sp. , 103 , 101 ,  ,  , 
708 , 5BZQJ0453-2807 , PKS0451-28  , BZQJ0453-2807  , 73.31104 , -28.12703 , 2.564 ,  , 17.9 , QSO RLoud flat radio sp. , 2541 , 2172 , 1486 , 0.22 , 1.9e-9
