id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
822 , 4FGL J0435.5+3232 , 4.126e-10 , 7.515e-11 , 2.288e-12 , 4.973e-13 , LogParabola , 2.951e-10 , 1.133e-10 , 1.364e-11 , 7.135e-13 , 7.516e-13 , 7.320e-13 , 2.830e-13 , 1.983e-14
823 , 4FGL J0436.2-0038 , 1.241e-10 , 3.344e-11 , 1.388e-12 , 3.792e-13 , PowerLaw , 1.337e-10 , 3.175e-11 , 5.930e-12 , <5.088e-12 , 3.174e-13 , 2.148e-13 , 1.407e-13 , 8.254e-17
824 , 4FGL J0436.7-7148 , 1.531e-10 , 3.479e-11 , 1.846e-12 , 4.609e-13 , PowerLaw , 8.950e-11 , 4.057e-11 , 4.349e-12 , 1.889e-12 , 2.090e-13 , 2.692e-13 , 1.016e-13 , 9.000e-14
825 , 4FGL J0436.9+2915 , 7.511e-10 , 9.077e-11 , 5.678e-12 , 1.214e-12 , LogParabola , 5.124e-10 , 1.705e-10 , 2.525e-12 , 1.424e-12 , 1.194e-12 , 1.065e-12 , 5.358e-14 , 4.348e-14
826 , 4FGL J0437.2-4715 , 2.156e-9 , 8.625e-11 , 1.677e-11 , 5.977e-13 , PLSuperExpCutoff , 2.081e-9 , 8.862e-11 , <4.713e-12 , <3.020e-12 , 4.531e-12 , 4.626e-13 , 4.345e-17 , 4.098e-19
827 , 4FGL J0437.4-6155 , 2.178e-10 , 3.269e-11 , 2.451e-12 , 3.639e-13 , PowerLaw , 1.829e-10 , 4.306e-11 , 1.634e-11 , <3.855e-12 , 4.330e-13 , 2.904e-13 , 3.868e-13 , 5.122e-17
828 , 4FGL J0438.0-7329 , 2.967e-10 , 4.188e-11 , 3.544e-12 , 4.921e-13 , PowerLaw , 1.946e-10 , 9.263e-11 , 2.580e-11 , 1.016e-11 , 4.747e-13 , 6.476e-13 , 6.295e-13 , 5.777e-13
829 , 4FGL J0438.2-4243 , 1.578e-10 , 3.326e-11 , 2.041e-12 , 4.442e-13 , PowerLaw , 1.030e-10 , 9.352e-12 , 2.419e-11 , <4.591e-12 , 2.385e-13 , 6.145e-14 , 5.604e-13 , 7.262e-19
830 , 4FGL J0438.4-1254 , 2.895e-10 , 4.512e-11 , 4.133e-12 , 5.546e-13 , PowerLaw , 1.892e-10 , 7.641e-11 , 4.529e-12 , <5.053e-12 , 4.344e-13 , 4.967e-13 , 1.039e-13 , 3.569e-16
831 , 4FGL J0438.7-3441 , 7.249e-11 , 2.639e-11 , 9.828e-13 , 3.250e-13 , PowerLaw , 4.904e-11 , 3.160e-11 , <4.785e-12 , 9.745e-12 , 1.214e-13 , 2.249e-13 , 3.374e-18 , 5.903e-13
832 , 4FGL J0438.9-4521 , 7.995e-10 , 5.651e-11 , 8.552e-12 , 6.512e-13 , LogParabola , 6.939e-10 , 1.000e-10 , 1.557e-11 , 2.830e-12 , 1.589e-12 , 6.296e-13 , 3.395e-13 , 9.703e-14
833 , 4FGL J0439.2+2151 , 3.017e-10 , 5.577e-11 , 3.992e-12 , 8.004e-13 , PowerLaw , 3.242e-10 , 4.878e-11 , <7.368e-12 , <5.053e-12 , 7.493e-13 , 3.197e-13 , 4.243e-17 , 3.506e-16
834 , 4FGL J0439.4-3202 , 3.010e-10 , 4.110e-11 , 3.517e-12 , 4.956e-13 , PowerLaw , 1.673e-10 , 7.429e-11 , 4.236e-11 , 9.992e-12 , 4.067e-13 , 5.171e-13 , 1.030e-12 , 5.599e-13
835 , 4FGL J0439.6-8322 , 1.628e-10 , 3.744e-11 , 1.988e-12 , 4.851e-13 , PowerLaw , 1.384e-10 , 3.407e-11 , 5.543e-12 , <5.908e-12 , 3.228e-13 , 2.257e-13 , 1.292e-13 , 4.608e-18
836 , 4FGL J0439.8-1859 , 4.051e-10 , 4.535e-11 , 4.774e-12 , 5.718e-13 , PowerLaw , 2.530e-10 , 1.350e-10 , 2.832e-11 , 1.282e-11 , 6.160e-13 , 9.412e-13 , 6.894e-13 , 7.228e-13
837 , 4FGL J0440.2-2458 , 1.916e-10 , 3.528e-11 , 2.868e-12 , 5.190e-13 , PowerLaw , 6.800e-11 , 7.398e-11 , 2.581e-11 , 1.991e-11 , 1.698e-13 , 5.320e-13 , 6.446e-13 , 1.253e-12
838 , 4FGL J0440.3-4333 , 1.036e-10 , 2.736e-11 , 2.203e-12 , 5.526e-13 , PowerLaw , 1.176e-10 , <9.641e-12 , <5.271e-12 , <4.335e-12 , 2.627e-13 , 1.310e-16 , 6.083e-16 , 1.862e-17
839 , 4FGL J0440.4+1440 , 4.408e-10 , 7.306e-11 , 5.395e-12 , 9.778e-13 , PowerLaw , 5.134e-10 , 8.478e-11 , 1.184e-11 , <5.052e-12 , 1.197e-12 , 5.613e-13 , 2.760e-13 , 1.230e-16
840 , 4FGL J0440.8+2749 , 8.052e-10 , 7.541e-11 , 8.950e-12 , 8.427e-13 , PowerLaw , 5.119e-10 , 1.890e-10 , 7.835e-11 , 5.986e-12 , 1.220e-12 , 1.285e-12 , 1.868e-12 , 3.093e-13
841 , 4FGL J0441.5+1505 , 3.540e-10 , 7.273e-11 , 3.937e-12 , 8.242e-13 , PowerLaw , 2.150e-10 , 7.871e-11 , 2.744e-11 , 3.853e-12 , 5.121e-13 , 5.349e-13 , 6.536e-13 , 1.986e-13
842 , 4FGL J0442.0-5432 , 1.556e-10 , 2.938e-11 , 2.493e-12 , 3.897e-13 , PowerLaw , 1.137e-10 , 2.431e-11 , <5.820e-12 , 5.953e-12 , 2.586e-13 , 1.564e-13 , 1.101e-16 , 2.573e-13
843 , 4FGL J0442.6-0017 , 3.740e-9 , 1.142e-10 , 4.793e-11 , 1.148e-12 , LogParabola , 3.258e-9 , 5.743e-10 , 4.867e-11 , <5.977e-12 , 7.430e-12 , 3.645e-12 , 1.080e-12 , 2.759e-17
844 , 4FGL J0442.7+6142 , 3.655e-10 , 5.765e-11 , 4.074e-12 , 6.196e-13 , PowerLaw , 1.957e-10 , 6.427e-11 , 2.848e-11 , 1.517e-11 , 4.694e-13 , 4.404e-13 , 6.833e-13 , 8.046e-13
845 , 4FGL J0442.8+3609 , 3.384e-10 , 6.459e-11 , 6.360e-12 , 1.109e-12 , PowerLaw , 4.009e-10 , 1.411e-11 , 3.503e-12 , <4.148e-12 , 9.026e-13 , 8.965e-14 , 7.886e-14 , 4.458e-20
846 , 4FGL J0443.3-6652 , 3.231e-10 , 3.900e-11 , 4.144e-12 , 4.854e-13 , PowerLaw , 3.091e-10 , 4.391e-11 , 9.869e-12 , <4.774e-12 , 7.166e-13 , 2.889e-13 , 2.288e-13 , 5.898e-21
847 , 4FGL J0443.4-4152 , 1.473e-10 , 3.172e-11 , 1.695e-12 , 3.625e-13 , PowerLaw , 3.983e-11 , 6.210e-11 , 1.282e-11 , 3.045e-12 , 9.653e-14 , 4.308e-13 , 3.106e-13 , 1.685e-13
848 , 4FGL J0444.5+0719 , 1.640e-10 , 4.621e-11 , 2.912e-12 , 6.425e-13 , PowerLaw , 8.053e-11 , 4.505e-11 , <8.631e-12 , 2.045e-12 , 1.819e-13 , 2.874e-13 , 2.078e-17 , 8.624e-14
849 , 4FGL J0444.6+3425 , 6.969e-10 , 8.165e-11 , 8.030e-12 , 1.001e-12 , PowerLaw , 5.241e-10 , 1.835e-10 , 2.632e-11 , 6.704e-12 , 1.233e-12 , 1.229e-12 , 6.195e-13 , 3.290e-13
850 , 4FGL J0444.8-3514 , 1.069e-10 , 2.783e-11 , 1.306e-12 , 3.334e-13 , PowerLaw , 1.104e-10 , 7.806e-13 , 7.523e-12 , <4.516e-12 , 2.575e-13 , 5.170e-15 , 1.754e-13 , 9.877e-20
851 , 4FGL J0445.1-6012 , 2.480e-10 , 3.508e-11 , 2.758e-12 , 3.922e-13 , PowerLaw , 1.731e-10 , 5.324e-11 , 2.358e-11 , 3.939e-12 , 4.146e-13 , 3.640e-13 , 5.647e-13 , 2.074e-13
852 , 4FGL J0445.7+1535 , 2.457e-10 , 5.970e-11 , 4.319e-12 , 9.300e-13 , PowerLaw , 3.363e-10 , 1.571e-11 , 3.538e-13 , <4.550e-12 , 7.603e-13 , 1.003e-13 , 7.998e-15 , 2.195e-18
853 , 4FGL J0447.2+2446 , 6.189e-10 , 1.037e-10 , 2.918e-12 , 4.888e-13 , LogParabola , 6.159e-10 , 2.862e-11 , <7.598e-12 , <4.483e-12 , 1.371e-12 , 1.494e-13 , 2.391e-17 , 1.153e-18
854 , 4FGL J0447.2-2539 , 1.935e-10 , 3.547e-11 , 2.156e-12 , 3.992e-13 , PowerLaw , 8.774e-11 , 4.058e-11 , 1.450e-11 , 5.599e-12 , 2.087e-13 , 2.752e-13 , 3.450e-13 , 2.866e-13
855 , 4FGL J0447.4-2747 , 2.012e-10 , 4.131e-11 , 8.245e-13 , 1.701e-13 , LogParabola , 1.905e-10 , 1.415e-11 , 2.078e-12 , <4.378e-12 , 4.567e-13 , 7.723e-14 , 3.938e-14 , 4.971e-16
856 , 4FGL J0448.6-1632 , 7.844e-10 , 5.871e-11 , 9.031e-12 , 7.361e-13 , PowerLaw , 4.915e-10 , 2.073e-10 , 7.135e-11 , 2.641e-11 , 1.192e-12 , 1.438e-12 , 1.730e-12 , 1.462e-12
857 , 4FGL J0448.7-2116 , 2.436e-10 , 4.228e-11 , 3.335e-12 , 4.946e-13 , PowerLaw , 2.224e-10 , 5.228e-11 , <9.228e-12 , <4.733e-12 , 5.123e-13 , 3.413e-13 , 4.160e-16 , 3.451e-17
858 , 4FGL J0449.1+1121 , 2.477e-9 , 1.128e-10 , 3.307e-11 , 1.204e-12 , LogParabola , 2.108e-9 , 3.366e-10 , 1.864e-11 , <6.485e-12 , 4.726e-12 , 2.063e-12 , 3.967e-13 , 1.874e-19
859 , 4FGL J0449.2+6329 , 6.481e-10 , 6.119e-11 , 8.448e-12 , 8.717e-13 , PowerLaw , 6.304e-10 , 1.030e-10 , 1.479e-11 , 2.665e-12 , 1.459e-12 , 6.765e-13 , 3.423e-13 , 1.227e-13
860 , 4FGL J0449.4-4350 , 1.002e-8 , 1.844e-10 , 1.039e-10 , 2.589e-12 , LogParabola , 6.048e-9 , 2.698e-9 , 8.555e-10 , 3.768e-10 , 1.489e-11 , 1.879e-11 , 2.054e-11 , 1.865e-11
861 , 4FGL J0449.6-8100 , 1.211e-10 , 3.396e-11 , 1.370e-12 , 4.266e-13 , PowerLaw , 1.115e-10 , 5.143e-12 , <6.573e-12 , 7.844e-12 , 2.636e-13 , 3.462e-14 , 7.570e-18 , 3.916e-13
862 , 4FGL J0449.6+3027 , 2.690e-10 , 6.592e-11 , 4.594e-12 , 1.042e-12 , PowerLaw , 1.942e-10 , 4.649e-11 , <9.084e-12 , <4.519e-12 , 4.399e-13 , 2.975e-13 , 5.236e-15 , 2.505e-20
863 , 4FGL J0450.3-4419 , 2.568e-10 , 5.545e-11 , 6.291e-12 , 1.000e-12 , PowerLaw , 1.787e-10 , 2.555e-11 , 2.860e-12 , <5.633e-12 , 3.962e-13 , 1.594e-13 , 6.341e-14 , 1.299e-16
864 , 4FGL J0450.4+7230 , 1.611e-10 , 3.249e-11 , 1.837e-12 , 3.854e-13 , PowerLaw , 1.410e-10 , 3.445e-11 , 1.338e-12 , 2.856e-12 , 3.325e-13 , 2.313e-13 , 3.156e-14 , 1.414e-13
865 , 4FGL J0450.7-4938 , 1.051e-10 , 2.574e-11 , 1.276e-12 , 3.244e-13 , PowerLaw , 8.207e-11 , 1.659e-11 , 4.733e-12 , 2.707e-12 , 1.915e-13 , 1.100e-13 , 1.104e-13 , 1.286e-13
866 , 4FGL J0451.8-4651 , 4.584e-10 , 4.615e-11 , 6.106e-12 , 5.801e-13 , PowerLaw , 3.251e-10 , 1.160e-10 , <7.834e-12 , <5.820e-12 , 7.507e-13 , 7.595e-13 , 4.518e-16 , 4.422e-16
867 , 4FGL J0451.8+5721 , 1.473e-10 , 4.286e-11 , 1.769e-12 , 4.465e-13 , PowerLaw , 9.493e-11 , 3.270e-11 , 2.718e-11 , <3.988e-12 , 2.318e-13 , 2.288e-13 , 6.636e-13 , 2.611e-20
868 , 4FGL J0452.9+5117 , 4.393e-10 , 6.899e-11 , 7.749e-12 , 1.209e-12 , PowerLaw , 4.642e-10 , 2.668e-11 , 5.085e-12 , <5.894e-12 , 1.049e-12 , 1.703e-13 , 1.149e-13 , 2.290e-15
869 , 4FGL J0453.1-2806 , 1.284e-9 , 6.845e-11 , 2.317e-11 , 7.106e-13 , LogParabola , 1.174e-9 , 9.873e-11 , 1.008e-11 , <4.544e-12 , 2.594e-12 , 5.985e-13 , 2.137e-13 , 1.321e-17
870 , 4FGL J0453.1+6322 , 3.567e-10 , 5.567e-11 , 3.972e-12 , 6.012e-13 , PowerLaw , 1.791e-10 , 9.482e-11 , 2.456e-11 , 8.250e-12 , 4.295e-13 , 6.493e-13 , 5.888e-13 , 4.367e-13
871 , 4FGL J0453.3+2843 , 3.731e-10 , 6.847e-11 , 5.927e-12 , 1.033e-12 , PowerLaw , 3.750e-10 , 3.471e-11 , 6.087e-12 , <4.223e-12 , 8.537e-13 , 2.235e-13 , 1.386e-13 , 3.560e-17
872 , 4FGL J0455.7-4617 , 1.043e-9 , 5.987e-11 , 1.602e-11 , 7.327e-13 , PowerLaw , 8.282e-10 , 1.417e-10 , 2.113e-11 , 3.422e-12 , 1.890e-12 , 9.149e-13 , 4.823e-13 , 1.495e-13
873 , 4FGL J0455.9+6757 , 1.728e-10 , 3.454e-11 , 1.953e-12 , 3.752e-13 , PowerLaw , 1.031e-10 , 5.462e-11 , 1.024e-11 , 3.478e-12 , 2.488e-13 , 3.769e-13 , 2.471e-13 , 1.890e-13
874 , 4FGL J0456.2+2702 , 7.513e-10 , 7.930e-11 , 9.685e-12 , 1.083e-12 , PowerLaw , 7.758e-10 , 1.218e-10 , 1.846e-11 , <6.034e-12 , 1.798e-12 , 8.008e-13 , 4.278e-13 , 5.886e-16
875 , 4FGL J0456.3-1634 , 1.857e-10 , 3.733e-11 , 2.084e-12 , 4.169e-13 , PowerLaw , 9.433e-11 , 7.453e-11 , 8.016e-12 , 3.082e-12 , 2.271e-13 , 5.127e-13 , 1.930e-13 , 1.658e-13
876 , 4FGL J0456.6-3136 , 3.800e-10 , 4.187e-11 , 5.642e-12 , 4.636e-13 , PowerLaw , 3.246e-10 , 6.308e-11 , 2.010e-12 , <4.491e-12 , 7.426e-13 , 4.085e-13 , 4.598e-14 , 2.817e-17
877 , 4FGL J0457.0+0646 , 3.672e-10 , 5.135e-11 , 5.609e-12 , 7.030e-13 , PowerLaw , 3.617e-10 , 3.471e-11 , 5.804e-12 , <5.574e-12 , 8.257e-13 , 2.242e-13 , 1.325e-13 , 1.889e-17
878 , 4FGL J0457.0-2324 , 2.055e-8 , 2.511e-10 , 2.035e-10 , 2.305e-12 , LogParabola , 1.613e-8 , 3.845e-9 , 5.977e-10 , 6.749e-11 , 3.766e-11 , 2.502e-11 , 1.351e-11 , 2.634e-12
879 , 4FGL J0458.0+1152 , 1.855e-10 , 5.359e-11 , 2.243e-12 , 5.576e-13 , PowerLaw , 7.012e-11 , 5.197e-11 , 1.703e-11 , 1.190e-11 , 1.714e-13 , 3.641e-13 , 4.162e-13 , 6.820e-13
880 , 4FGL J0459.4+1921 , 1.663e-10 , 5.227e-11 , 1.904e-12 , 5.324e-13 , PowerLaw , 1.192e-11 , 3.990e-11 , 2.534e-11 , 4.654e-12 , 2.885e-14 , 2.764e-13 , 6.135e-13 , 2.563e-13
881 , 4FGL J0459.7-5413 , 1.179e-10 , 2.752e-11 , 1.334e-12 , 3.192e-13 , PowerLaw , 6.848e-11 , 3.844e-11 , 6.979e-12 , <4.750e-12 , 1.618e-13 , 2.587e-13 , 1.649e-13 , 7.056e-18
882 , 4FGL J0500.1+5447 , 2.449e-10 , 5.298e-11 , 2.763e-12 , 6.366e-13 , PowerLaw , 9.396e-11 , 1.029e-10 , <6.025e-12 , 3.682e-12 , 2.222e-13 , 6.935e-13 , 2.395e-15 , 1.844e-13
883 , 4FGL J0500.2+5237 , 4.829e-10 , 6.719e-11 , 5.689e-12 , 7.024e-13 , PowerLaw , 2.365e-10 , 1.047e-10 , 4.644e-11 , 2.729e-11 , 5.756e-13 , 7.299e-13 , 1.130e-12 , 1.538e-12
884 , 4FGL J0500.3+4639e , 3.149e-9 , 2.247e-10 , 2.720e-11 , 2.240e-12 , LogParabola , 2.232e-9 , 4.926e-10 , 3.948e-11 , 1.083e-11 , 5.086e-12 , 2.993e-12 , 8.176e-13 , 3.161e-13
885 , 4FGL J0500.6-4911 , 1.711e-10 , 3.124e-11 , 2.151e-12 , 4.013e-13 , PowerLaw , 9.848e-11 , 4.265e-11 , 2.378e-11 , 7.340e-12 , 2.419e-13 , 3.006e-13 , 5.840e-13 , 4.297e-13
886 , 4FGL J0500.9-6945e , 1.759e-9 , 1.219e-10 , 1.962e-11 , 1.325e-12 , PowerLaw , 1.179e-9 , 3.777e-10 , 1.162e-10 , 3.709e-11 , 2.801e-12 , 2.559e-12 , 2.761e-12 , 1.893e-12
887 , 4FGL J0501.0+2424 , 1.772e-10 , 4.598e-11 , 2.141e-12 , 5.169e-13 , PowerLaw , 9.845e-11 , 6.375e-11 , 2.117e-11 , 7.399e-12 , 2.406e-13 , 4.466e-13 , 5.173e-13 , 4.239e-13
888 , 4FGL J0501.2-0158 , 3.711e-9 , 1.163e-10 , 4.421e-11 , 1.113e-12 , LogParabola , 3.121e-9 , 5.898e-10 , 6.223e-11 , <4.750e-12 , 7.127e-12 , 3.730e-12 , 1.371e-12 , 4.100e-17
889 , 4FGL J0501.7+3048 , 2.956e-10 , 6.845e-11 , 3.317e-12 , 7.147e-13 , PowerLaw , 2.335e-10 , 3.504e-11 , 2.915e-11 , 1.203e-11 , 5.620e-13 , 2.411e-13 , 7.017e-13 , 6.469e-13
890 , 4FGL J0502.2+3016 , 1.611e-10 , 5.141e-11 , 1.818e-12 , 5.462e-13 , PowerLaw , 4.213e-11 , 4.517e-11 , 2.022e-11 , <4.547e-12 , 1.016e-13 , 3.115e-13 , 4.876e-13 , 2.646e-18
891 , 4FGL J0502.4+0609 , 3.650e-10 , 5.523e-11 , 6.599e-12 , 9.880e-13 , PowerLaw , 3.208e-10 , 4.921e-11 , <5.272e-12 , 4.474e-12 , 7.240e-13 , 3.135e-13 , 2.124e-22 , 1.879e-13
892 , 4FGL J0502.5+1340 , 3.085e-10 , 5.597e-11 , 3.639e-12 , 6.852e-13 , PowerLaw , 3.141e-10 , 5.741e-11 , 8.515e-12 , 3.583e-12 , 7.361e-13 , 3.825e-13 , 1.995e-13 , 1.729e-13
893 , 4FGL J0502.5+3438 , 1.589e-9 , 1.078e-10 , 1.482e-11 , 1.362e-12 , LogParabola , 1.281e-9 , 2.797e-10 , 3.240e-11 , <4.090e-12 , 2.969e-12 , 1.781e-12 , 7.120e-13 , 3.388e-18
894 , 4FGL J0502.9+6533 , 1.206e-10 , 3.457e-11 , 1.464e-12 , 3.680e-13 , PowerLaw , 8.657e-11 , 2.395e-11 , 1.273e-11 , 9.683e-12 , 2.117e-13 , 1.679e-13 , 3.112e-13 , 5.561e-13
895 , 4FGL J0503.1-6045 , 1.213e-10 , 2.891e-11 , 2.624e-12 , 6.613e-13 , PowerLaw , 1.010e-10 , 1.357e-11 , 1.724e-12 , <4.029e-12 , 2.255e-13 , 8.536e-14 , 3.849e-14 , 2.813e-17
896 , 4FGL J0503.5-1116 , 2.021e-10 , 4.376e-11 , 2.391e-12 , 4.829e-13 , PowerLaw , 1.093e-10 , 7.033e-11 , 1.015e-11 , 1.288e-11 , 2.662e-13 , 4.908e-13 , 2.472e-13 , 7.281e-13
897 , 4FGL J0503.6+4518 , 6.021e-10 , 7.910e-11 , 6.789e-12 , 8.517e-13 , PowerLaw , 3.643e-10 , 1.678e-10 , 4.979e-11 , 1.550e-11 , 8.783e-13 , 1.157e-12 , 1.201e-12 , 8.394e-13
898 , 4FGL J0505.3+0459 , 6.564e-9 , 1.620e-10 , 6.950e-11 , 1.963e-12 , LogParabola , 5.573e-9 , 1.141e-9 , 8.897e-11 , <4.819e-12 , 1.283e-11 , 7.255e-12 , 1.964e-12 , 2.349e-17
899 , 4FGL J0505.6+0415 , 5.571e-10 , 7.092e-11 , 6.423e-12 , 7.686e-13 , PowerLaw , 3.379e-10 , 1.469e-10 , 5.734e-11 , 1.521e-11 , 8.192e-13 , 1.020e-12 , 1.390e-12 , 8.430e-13
900 , 4FGL J0505.6-1558 , 2.483e-10 , 4.217e-11 , 2.760e-12 , 4.697e-13 , PowerLaw , 1.940e-10 , 4.503e-11 , 2.244e-11 , 3.134e-12 , 4.625e-13 , 3.063e-13 , 5.350e-13 , 1.620e-13
901 , 4FGL J0505.6+6405 , 7.195e-10 , 6.118e-11 , 6.074e-12 , 6.625e-13 , LogParabola , 4.975e-10 , 1.190e-10 , 1.077e-11 , 1.415e-12 , 1.145e-12 , 7.364e-13 , 2.276e-13 , 4.317e-14
902 , 4FGL J0505.8+3322 , 3.399e-10 , 6.572e-11 , 3.823e-12 , 7.757e-13 , PowerLaw , 3.649e-10 , 4.437e-11 , 2.129e-11 , 1.443e-12 , 8.640e-13 , 2.993e-13 , 5.041e-13 , 7.254e-14
903 , 4FGL J0505.8-0419 , 4.852e-10 , 5.696e-11 , 6.464e-12 , 7.149e-13 , PowerLaw , 2.921e-10 , 1.060e-10 , 8.170e-12 , 9.457e-12 , 6.747e-13 , 6.943e-13 , 1.887e-13 , 4.317e-13
904 , 4FGL J0505.8-3817 , 1.774e-10 , 3.272e-11 , 2.163e-12 , 3.840e-13 , PowerLaw , 1.361e-10 , 4.007e-11 , 8.087e-12 , <6.720e-12 , 3.174e-13 , 2.654e-13 , 1.886e-13 , 1.788e-15
905 , 4FGL J0506.0+6113 , 5.909e-10 , 6.003e-11 , 6.576e-12 , 6.556e-13 , PowerLaw , 2.861e-10 , 1.642e-10 , 2.840e-11 , 2.287e-11 , 6.857e-13 , 1.124e-12 , 6.806e-13 , 1.208e-12
906 , 4FGL J0506.0-0357c , 2.684e-10 , 6.129e-11 , 1.252e-12 , 2.633e-13 , LogParabola , 2.218e-10 , 6.328e-11 , 7.573e-12 , <4.858e-12 , 5.943e-13 , 3.805e-13 , 1.435e-13 , 2.355e-16
907 , 4FGL J0506.1+5028 , 3.853e-10 , 7.235e-11 , 2.124e-12 , 3.675e-13 , LogParabola , 1.591e-10 , 1.600e-10 , 6.414e-12 , <3.825e-12 , 4.323e-13 , 1.031e-12 , 1.265e-13 , 2.199e-17
908 , 4FGL J0506.3-0620c , 1.803e-10 , 4.428e-11 , 2.800e-12 , 5.998e-13 , PowerLaw , 1.709e-10 , 2.767e-11 , 3.376e-12 , <6.845e-12 , 3.898e-13 , 1.784e-13 , 7.698e-14 , 1.764e-17
909 , 4FGL J0506.7-0857 , 3.837e-10 , 4.968e-11 , 4.269e-12 , 5.513e-13 , PowerLaw , 2.859e-10 , 7.537e-11 , 2.615e-11 , 1.055e-11 , 6.807e-13 , 5.118e-13 , 6.226e-13 , 5.424e-13
910 , 4FGL J0506.9+0323 , 3.096e-10 , 4.977e-11 , 3.522e-12 , 5.527e-13 , PowerLaw , 2.189e-10 , 7.213e-11 , 1.635e-11 , 1.842e-11 , 5.292e-13 , 4.988e-13 , 3.953e-13 , 1.008e-12
911 , 4FGL J0506.9-5435 , 4.822e-10 , 4.768e-11 , 6.793e-12 , 7.794e-13 , LogParabola , 2.151e-10 , 1.521e-10 , 7.733e-11 , 4.339e-11 , 5.651e-13 , 1.116e-12 , 1.898e-12 , 2.070e-12
912 , 4FGL J0507.4-3346 , 1.939e-10 , 3.642e-11 , 2.533e-12 , 4.595e-13 , PowerLaw , 1.050e-10 , 4.850e-11 , 2.923e-11 , 1.422e-11 , 2.589e-13 , 3.436e-13 , 7.209e-13 , 8.479e-13
913 , 4FGL J0507.7-6104 , 7.320e-10 , 5.123e-11 , 1.024e-11 , 7.284e-13 , PowerLaw , 6.330e-10 , 1.200e-10 , 1.452e-11 , <3.819e-12 , 1.455e-12 , 7.817e-13 , 3.339e-13 , 1.583e-16
914 , 4FGL J0507.9+4647 , 4.338e-10 , 6.910e-11 , 8.137e-12 , 1.231e-12 , PowerLaw , 4.674e-10 , 5.327e-11 , <7.706e-12 , <4.471e-12 , 1.052e-12 , 3.385e-13 , 2.386e-16 , 4.024e-18
915 , 4FGL J0507.9+6737 , 1.659e-9 , 7.115e-11 , 2.583e-11 , 1.184e-12 , PowerLaw , 7.159e-10 , 4.712e-10 , 2.790e-10 , 1.857e-10 , 1.794e-12 , 3.402e-12 , 6.991e-12 , 1.185e-11
916 , 4FGL J0508.2-1937 , 2.144e-10 , 3.675e-11 , 2.686e-12 , 4.329e-13 , PowerLaw , 2.225e-10 , 3.653e-11 , <7.267e-12 , <4.643e-12 , 5.171e-13 , 2.411e-13 , 8.370e-21 , 6.805e-18
917 , 4FGL J0508.2+5211 , 2.100e-10 , 5.023e-11 , 2.367e-12 , 5.972e-13 , PowerLaw , 2.272e-10 , 3.400e-11 , <7.214e-12 , 8.373e-12 , 5.377e-13 , 2.292e-13 , 3.399e-15 , 4.198e-13
918 , 4FGL J0509.1+1943 , 2.231e-10 , 6.576e-11 , 4.876e-12 , 1.078e-12 , PowerLaw , 2.421e-10 , 2.894e-11 , <6.689e-12 , <6.593e-12 , 5.402e-13 , 1.819e-13 , 4.134e-16 , 7.459e-19
919 , 4FGL J0509.2+5550 , 3.764e-10 , 5.863e-11 , 4.610e-12 , 8.091e-13 , PowerLaw , 3.023e-10 , 1.048e-10 , 8.352e-12 , <3.968e-12 , 7.047e-13 , 6.939e-13 , 1.947e-13 , 9.853e-19
920 , 4FGL J0509.3-2917 , 1.597e-10 , 3.249e-11 , 2.100e-12 , 3.958e-13 , PowerLaw , 1.050e-10 , 3.937e-11 , 8.812e-12 , <5.095e-12 , 2.427e-13 , 2.582e-13 , 2.038e-13 , 5.170e-17
921 , 4FGL J0509.4+1012 , 6.516e-10 , 6.694e-11 , 8.812e-12 , 8.160e-13 , PowerLaw , 5.718e-10 , 8.548e-11 , 1.234e-11 , 4.035e-12 , 1.319e-12 , 5.588e-13 , 2.845e-13 , 1.832e-13
922 , 4FGL J0509.4+0542 , 5.993e-9 , 1.606e-10 , 5.723e-11 , 2.005e-12 , LogParabola , 4.141e-9 , 1.437e-9 , 2.795e-10 , 9.312e-11 , 9.918e-12 , 9.691e-12 , 6.542e-12 , 4.197e-12
923 , 4FGL J0509.6+8425 , 6.188e-11 , 2.783e-11 , 2.173e-12 , 4.400e-13 , PowerLaw , 7.038e-11 , 1.297e-11 , <4.738e-12 , <3.953e-12 , 1.532e-13 , 7.922e-14 , 6.207e-20 , 1.982e-17
924 , 4FGL J0509.6-0402 , 2.920e-10 , 5.178e-11 , 3.253e-12 , 5.617e-13 , PowerLaw , 1.249e-10 , 7.536e-11 , 2.575e-11 , 9.491e-12 , 2.997e-13 , 5.163e-13 , 6.177e-13 , 5.030e-13
