id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
2269 , 4FGL J1207.7-2229 , 3.140e-10 , 4.702e-11 , 3.488e-12 , 5.224e-13 , PowerLaw , 2.312e-10 , 8.642e-11 , 2.793e-11 , <5.021e-12 , 5.525e-13 , 5.894e-13 , 6.675e-13 , 3.164e-17
2270 , 4FGL J1207.9-6443c , 1.001e-9 , 1.368e-10 , 5.455e-12 , 1.293e-12 , LogParabola , 7.321e-10 , 1.553e-10 , <6.071e-12 , <4.684e-12 , 1.700e-12 , 9.032e-13 , 7.688e-17 , 3.207e-17
2271 , 4FGL J1208.0-6900 , 8.263e-10 , 7.962e-11 , 5.549e-12 , 7.227e-13 , LogParabola , 6.722e-10 , 1.402e-10 , <6.208e-12 , <4.362e-12 , 1.553e-12 , 8.445e-13 , 9.588e-17 , 6.289e-19
2272 , 4FGL J1208.1+3017 , 1.135e-10 , 3.121e-11 , 1.411e-12 , 3.658e-13 , PowerLaw , 6.559e-11 , 3.653e-11 , 1.121e-11 , 5.852e-12 , 1.609e-13 , 2.571e-13 , 2.750e-13 , 3.407e-13
2273 , 4FGL J1208.2-6237 , 5.084e-9 , 2.936e-10 , 3.926e-11 , 3.214e-12 , PLSuperExpCutoff , 3.965e-9 , 9.578e-10 , 6.081e-11 , 2.793e-12 , 9.367e-12 , 5.984e-12 , 1.206e-12 , 7.764e-14
2274 , 4FGL J1208.2-7810 , 2.121e-10 , 4.547e-11 , 2.457e-12 , 4.826e-13 , PowerLaw , 1.337e-10 , 7.240e-11 , 1.784e-11 , 4.783e-12 , 3.245e-13 , 5.030e-13 , 4.329e-13 , 2.663e-13
2275 , 4FGL J1208.2+1158 , 1.369e-10 , 3.384e-11 , 1.526e-12 , 3.803e-13 , PowerLaw , 7.367e-11 , 4.704e-11 , 1.233e-12 , 4.619e-12 , 1.752e-13 , 3.190e-13 , 2.933e-14 , 2.365e-13
2276 , 4FGL J1208.4+6121 , 1.304e-10 , 2.827e-11 , 1.463e-12 , 3.048e-13 , PowerLaw , 6.660e-11 , 2.450e-11 , 1.836e-11 , 2.280e-12 , 1.603e-13 , 1.686e-13 , 4.419e-13 , 1.227e-13
2277 , 4FGL J1208.5-5243e , 1.064e-9 , 9.517e-11 , 1.259e-11 , 1.140e-12 , PowerLaw , 5.285e-10 , 3.231e-10 , 9.624e-11 , 3.725e-11 , 1.287e-12 , 2.255e-12 , 2.345e-12 , 2.105e-12
2278 , 4FGL J1208.5-5512 , 2.290e-10 , 5.153e-11 , 2.873e-12 , 6.634e-13 , PowerLaw , 1.581e-10 , 6.162e-11 , 1.200e-12 , <4.343e-12 , 3.675e-13 , 4.065e-13 , 2.789e-14 , 6.202e-17
2279 , 4FGL J1208.8-1751 , 1.860e-10 , 4.304e-11 , 2.103e-12 , 4.912e-13 , PowerLaw , 9.856e-11 , 6.401e-11 , 4.027e-12 , <6.211e-12 , 2.330e-13 , 4.310e-13 , 9.520e-14 , 3.866e-16
2280 , 4FGL J1208.8-2754 , 2.186e-10 , 4.501e-11 , 2.453e-12 , 5.202e-13 , PowerLaw , 1.242e-10 , 8.446e-11 , 7.750e-12 , <5.118e-12 , 2.943e-13 , 5.702e-13 , 1.836e-13 , 5.828e-23
2281 , 4FGL J1208.9+5441 , 1.116e-9 , 5.511e-11 , 1.795e-11 , 5.742e-13 , LogParabola , 1.012e-9 , 1.550e-10 , 5.039e-12 , <3.936e-12 , 2.265e-12 , 9.609e-13 , 1.094e-13 , 2.290e-17
2282 , 4FGL J1209.0-4630 , 1.569e-10 , 3.985e-11 , 1.839e-12 , 5.042e-13 , PowerLaw , 6.507e-11 , 4.448e-11 , 7.627e-12 , <7.088e-12 , 1.526e-13 , 2.967e-13 , 1.789e-13 , 2.090e-19
2283 , 4FGL J1209.4+4118 , 5.783e-10 , 4.643e-11 , 6.677e-12 , 5.862e-13 , PowerLaw , 2.915e-10 , 2.140e-10 , 5.152e-11 , 6.555e-12 , 7.071e-13 , 1.486e-12 , 1.250e-12 , 3.638e-13
2284 , 4FGL J1209.4+7608 , 2.621e-10 , 3.155e-11 , 2.944e-12 , 3.515e-13 , PowerLaw , 1.984e-10 , 7.943e-11 , 8.386e-12 , <3.530e-12 , 4.701e-13 , 5.361e-13 , 1.986e-13 , 8.423e-20
